k,null_type,iteration,tau,in_expected_zone,output_cluster,n_ops,path
2,layer_permutation,2,13.0,False,0,27,O0 O1 O0 O0 O0 O1 O0 O1 O0 O0 O0 O1 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1
2,layer_permutation,3,14.0,False,0,27,O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O0 O1 O0 O0 O0 O1 O0 O1 O0 O0
2,layer_permutation,4,17.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O0 O1 O1 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0
2,layer_permutation,5,16.0,False,0,27,O0 O0 O1 O0 O1 O0 O0 O0 O0 O0 O1 O0 O1 O1 O0 O1 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0
2,layer_permutation,6,18.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O1 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0
2,layer_permutation,7,12.0,False,0,27,O0 O1 O1 O0 O0 O0 O0 O1 O0 O0 O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O0
2,layer_permutation,8,12.0,False,0,27,O0 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O1 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0
2,layer_permutation,9,15.0,False,0,27,O1 O1 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O1 O0 O0 O0
2,layer_permutation,10,12.0,False,0,27,O0 O1 O0 O0 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O0 O0 O0 O0 O1 O1 O0 O0 O0
2,layer_permutation,11,14.0,False,0,27,O1 O0 O1 O1 O0 O0 O1 O1 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1
2,layer_permutation,12,14.0,False,0,27,O0 O0 O1 O0 O1 O1 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O1 O1 O0 O1 O0 O0 O0
2,layer_permutation,13,12.0,False,0,27,O0 O0 O0 O1 O0 O1 O0 O0 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O0 O1 O0 O0
2,layer_permutation,14,12.0,False,0,27,O0 O1 O0 O0 O0 O1 O1 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O1 O0 O1 O0 O1 O0 O0 O0 O0 O0
2,layer_permutation,15,17.0,False,0,27,O0 O0 O1 O0 O0 O1 O0 O0 O0 O0 O1 O0 O0 O1 O0 O1 O1 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0
2,layer_permutation,16,23.0,False,1,27,O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O1 O1 O0 O1
2,layer_permutation,17,12.0,False,0,27,O0 O1 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0 O1 O1 O0 O0 O0
2,layer_permutation,18,14.0,False,0,27,O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O1 O1 O0 O1 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O0 O0 O0
2,layer_permutation,19,13.0,False,0,27,O0 O0 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O1 O0 O1 O0
2,layer_permutation,20,12.0,False,0,27,O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O1 O0 O0 O0 O0 O1 O1 O0 O0 O1 O1 O0 O0 O0 O0 O0 O1
2,layer_permutation,21,12.0,False,0,27,O0 O0 O1 O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O1 O1 O0 O0 O0 O1
2,layer_permutation,22,12.0,False,0,27,O1 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O1 O1 O0 O0 O0 O0 O0 O1 O0 O1
2,layer_permutation,23,14.0,False,0,27,O0 O1 O0 O0 O0 O0 O1 O0 O0 O0 O1 O1 O0 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O1 O0 O0
2,layer_permutation,24,12.0,False,0,27,O0 O1 O0 O0 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0 O1 O0 O0 O1 O0
2,layer_permutation,25,12.0,False,0,27,O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O1 O0 O1 O1 O0 O0 O0 O1
2,layer_permutation,26,12.0,False,0,27,O0 O0 O0 O0 O0 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O0 O0 O1 O1 O0 O0
2,layer_permutation,27,12.0,False,0,27,O0 O0 O1 O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O0 O0 O0 O1 O0 O1 O0
2,layer_permutation,28,15.0,False,0,27,O0 O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O1 O0 O1 O0 O0 O0 O1 O0 O0
2,layer_permutation,29,12.0,False,0,27,O0 O0 O1 O0 O0 O1 O0 O0 O0 O0 O1 O1 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O1 O0 O0 O0 O0
2,layer_permutation,30,12.0,False,0,27,O0 O1 O0 O0 O0 O1 O1 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O1
2,layer_permutation,31,15.0,False,1,27,O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1 O1 O0 O0 O0 O0 O0 O0 O1 O1 O0 O1
2,layer_permutation,32,14.0,False,0,27,O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0
2,layer_permutation,33,12.0,False,0,27,O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1 O1 O0 O0 O0 O1 O1 O0 O0 O1 O0
2,layer_permutation,34,12.0,False,0,27,O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0 O0 O1 O1 O0 O0 O0 O1
2,layer_permutation,35,12.0,False,0,27,O0 O1 O1 O0 O0 O1 O1 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0
2,layer_permutation,36,12.0,False,0,27,O0 O0 O0 O1 O0 O1 O0 O0 O0 O1 O0 O0 O0 O0 O1 O1 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0
2,layer_permutation,37,12.0,False,0,27,O1 O0 O1 O1 O0 O1 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0
2,layer_permutation,38,23.0,False,1,27,O0 O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1
2,layer_permutation,39,13.0,False,0,27,O0 O0 O0 O0 O1 O0 O0 O0 O0 O1 O1 O0 O1 O0 O0 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O1 O0
2,layer_permutation,40,12.0,False,0,27,O0 O1 O0 O0 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O0 O0 O0 O1 O1
2,layer_permutation,41,12.0,False,0,27,O1 O0 O0 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O0 O0 O0 O0 O1 O0 O1
2,layer_permutation,42,19.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1 O0 O1 O1 O1 O0 O1 O0 O0 O0 O0 O0 O1 O0 O0
2,layer_permutation,43,13.0,False,0,27,O0 O1 O0 O0 O0 O1 O0 O1 O1 O0 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1
2,layer_permutation,44,14.0,False,0,27,O0 O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O1 O1 O0 O0 O0 O0 O0 O1 O0 O0 O1 O1 O0 O0 O0
2,layer_permutation,45,14.0,False,0,27,O0 O0 O0 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O1 O1 O0 O0 O1 O1 O0 O0 O0
2,layer_permutation,46,13.0,False,0,27,O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O1 O1 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0 O0 O0 O1
2,layer_permutation,47,16.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1 O1 O0 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1
2,layer_permutation,48,14.0,False,0,27,O0 O1 O0 O0 O0 O0 O0 O1 O0 O0 O1 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O0
2,layer_permutation,49,15.0,False,0,27,O1 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O1 O1 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O1
2,layer_permutation,50,13.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0 O1 O1 O0 O1 O0 O0 O1 O0 O1 O0 O0 O0
2,layer_permutation,51,13.0,False,0,27,O0 O1 O0 O0 O1 O1 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0 O0 O1 O1 O0 O0 O0 O0 O0 O0
2,layer_permutation,52,14.0,False,0,27,O0 O0 O1 O0 O1 O0 O0 O0 O0 O1 O0 O0 O1 O1 O0 O0 O0 O0 O1 O0 O0 O0 O0 O1 O0 O0 O0
2,layer_permutation,53,12.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O1 O0 O0 O0 O1 O0
2,layer_permutation,54,16.0,False,0,27,O1 O0 O0 O0 O1 O0 O0 O1 O0 O1 O0 O0 O1 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0
2,layer_permutation,55,12.0,False,0,27,O1 O0 O1 O1 O0 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0
2,layer_permutation,56,14.0,False,0,27,O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O0 O1 O1 O0 O0 O0 O1 O0 O0 O0 O1 O0 O0 O0 O1 O0
2,layer_permutation,57,12.0,False,0,27,O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O1 O0 O1 O0 O0 O1 O0
2,layer_permutation,58,12.0,False,0,27,O1 O1 O0 O0 O0 O0 O1 O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0
2,layer_permutation,59,12.0,False,0,27,O0 O1 O1 O0 O0 O0 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0
2,layer_permutation,60,12.0,False,0,27,O0 O0 O0 O1 O1 O0 O0 O0 O1 O0 O0 O1 O0 O0 O1 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O0 O0
2,layer_permutation,61,12.0,False,0,27,O1 O0 O0 O0 O0 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O1 O0 O0 O0 O1 O1 O0
2,layer_permutation,62,12.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O1 O0 O0 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1
2,layer_permutation,63,16.0,False,0,27,O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O0 O1 O0 O1 O0 O0 O1 O0
2,layer_permutation,64,18.0,False,0,27,O0 O1 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1 O0 O1 O0 O1 O0 O1 O0 O0 O0 O0 O0 O1 O0 O0 O0
2,layer_permutation,65,13.0,False,0,27,O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0 O0 O0 O1 O1 O0 O1 O0 O0 O1
2,layer_permutation,66,13.0,False,0,27,O0 O0 O0 O1 O1 O1 O1 O0 O0 O0 O0 O0 O1 O0 O0 O0 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0
2,layer_permutation,67,14.0,False,0,27,O0 O1 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O1 O1 O0 O1 O0 O0 O1
2,layer_permutation,68,12.0,False,0,27,O1 O0 O1 O0 O0 O0 O1 O0 O0 O0 O1 O1 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O1 O0 O0
2,layer_permutation,69,14.0,False,0,27,O1 O0 O0 O0 O0 O1 O1 O1 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O0 O0
2,layer_permutation,70,14.0,False,0,27,O0 O0 O1 O0 O0 O1 O0 O0 O1 O1 O0 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0
2,layer_permutation,71,15.0,False,0,27,O0 O1 O0 O1 O0 O0 O1 O0 O0 O1 O0 O0 O0 O1 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0
2,layer_permutation,72,22.0,True,1,27,O0 O0 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O1 O0 O1 O0
2,layer_permutation,73,14.0,False,0,27,O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O1 O1 O0 O0 O0 O0 O0 O1 O0 O1
2,layer_permutation,74,13.0,False,0,27,O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O1 O0 O0 O0 O1 O0 O0 O0 O0 O1 O1
2,layer_permutation,75,12.0,False,0,27,O1 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O0 O0 O0 O0 O0 O0 O1 O1 O0 O0 O0 O0 O0 O1 O0 O0
2,layer_permutation,76,12.0,False,0,27,O0 O0 O0 O0 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1 O0 O1 O0 O0 O0 O0 O0 O1
2,layer_permutation,77,17.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O1 O1 O0 O1 O0 O0 O0 O0 O1 O0 O1 O1 O0 O0
2,layer_permutation,78,12.0,False,0,27,O1 O0 O1 O0 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1
2,layer_permutation,79,12.0,False,0,27,O1 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O0 O0 O0 O0 O1 O0 O0 O0
2,layer_permutation,80,,False,1,27,O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O1 O0 O0 O0 O0 O1 O0 O0 O0 O1 O0 O1 O0 O1 O0 O1
2,layer_permutation,81,13.0,False,0,27,O0 O0 O0 O0 O1 O0 O0 O1 O1 O0 O0 O0 O1 O0 O0 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O1 O0
2,layer_permutation,82,12.0,False,0,27,O1 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0 O1 O0 O0 O0 O0 O1
2,layer_permutation,83,12.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O1 O1 O1 O0 O0 O0
2,layer_permutation,84,12.0,False,0,27,O0 O0 O0 O1 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O1 O0 O1 O0 O0 O1
2,layer_permutation,85,,False,1,27,O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O1 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1 O0 O1
2,layer_permutation,86,12.0,False,0,27,O0 O0 O1 O0 O0 O1 O0 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O0 O0 O0 O0 O0 O0
2,layer_permutation,87,14.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1 O1 O0 O0 O0 O1 O0 O0 O1 O0 O0 O1 O0 O1 O0
2,layer_permutation,88,12.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O0 O0 O1 O0 O0 O0
2,layer_permutation,89,12.0,False,0,27,O0 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O1 O1 O0 O1 O0 O0 O1 O0 O0 O0
2,layer_permutation,90,25.0,False,1,27,O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O1 O0 O0 O1 O1
2,layer_permutation,91,12.0,False,0,27,O1 O1 O0 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1 O1 O0 O0 O0 O0 O0 O0 O1
2,layer_permutation,92,12.0,False,0,27,O0 O0 O1 O1 O0 O0 O1 O0 O1 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O0 O1 O0 O0 O0
2,layer_permutation,93,12.0,False,0,27,O0 O0 O0 O1 O1 O0 O1 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O0 O0 O0 O0 O0 O0
2,layer_permutation,94,12.0,False,0,27,O0 O0 O0 O0 O0 O0 O0 O0 O1 O1 O1 O0 O0 O0 O0 O0 O0 O0 O1 O0 O1 O1 O0 O0 O0 O0 O1
2,layer_permutation,95,12.0,False,0,27,O0 O0 O1 O1 O1 O0 O1 O0 O0 O0 O0 O0 O0 O0 O0 O1 O0 O0 O1 O0 O0 O1 O0 O0 O0 O0 O0
2,layer_permutation,96,13.0,False,0,27,O0 O0 O0 O0 O0 O1 O0 O1 O0 O0 O0 O0 O1 O0 O0 O1 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O1
2,layer_permutation,97,12.0,False,0,27,O1 O0 O0 O0 O1 O0 O1 O0 O1 O0 O0 O0 O0 O0 O1 O1 O0 O0 O0 O1 O0 O0 O0 O0 O0 O0 O0
