prompt_id,baseline_margin,final_margin,margin_shift,crossed,strict_conflict_to_clean,top1_class,candidate_crossed_recomputed,strict_top1_flip,boundary_headroom
g018_closure_override,-6.96875,-1.03125,5.9375,False,False,conflict,False,False,-1.03125
g018_exception_override,-5.03125,-0.46875,4.5625,False,False,conflict,False,False,-0.46875
g022_closure_update,-3.640625,-1.375,2.265625,False,False,conflict,False,False,-1.375
g022_closure_override,-8.703125,-2.859375,5.84375,False,False,conflict,False,False,-2.859375
g022_exception_override,-5.09375,-1.953125,3.140625,False,False,conflict,False,False,-1.953125
g026_closure_update,-3.75,-2.1875,1.5625,False,False,conflict,False,False,-2.1875
g026_closure_override,-4.25,-1.21875,3.03125,False,False,conflict,False,False,-1.21875
g026_exception_override,-4.125,-0.203125,3.921875,False,False,conflict,False,False,-0.203125
g030_closure_update,-6.5625,-2.75,3.8125,False,False,conflict,False,False,-2.75
g030_closure_override,-6.546875,-0.890625,5.65625,False,False,conflict,False,False,-0.890625
g030_exception_override,-4.484375,-0.5,3.984375,False,False,conflict,False,False,-0.5
g031_closure_update,-5.59375,-1.953125,3.640625,False,False,conflict,False,False,-1.953125
g031_closure_override,-4.921875,0.609375,5.53125,True,True,clean,True,True,0.609375
g031_exception_override,-2.453125,-2.453125,0.0,False,False,conflict,False,False,-2.453125
g033_closure_update,-6.34375,-2.1875,4.15625,False,False,conflict,False,False,-2.1875
g033_closure_override,-3.1875,0.796875,3.984375,True,True,clean,True,True,0.796875
g033_exception_override,-2.703125,0.765625,3.46875,True,True,clean,True,True,0.765625
g039_closure_update,-6.1875,-0.890625,5.296875,False,False,conflict,False,False,-0.890625
g039_closure_override,-4.671875,0.921875,5.59375,True,True,clean,True,True,0.921875
g039_exception_override,-3.671875,0.609375,4.28125,True,True,clean,True,True,0.609375
g040_closure_update,-6.0,-1.4375,4.5625,False,False,conflict,False,False,-1.4375
g040_closure_override,-8.515625,-1.765625,6.75,False,False,conflict,False,False,-1.765625
g040_exception_override,-5.75,-0.984375,4.765625,False,False,conflict,False,False,-0.984375
g042_closure_update,-5.703125,-2.34375,3.359375,False,False,conflict,False,False,-2.34375
g042_closure_override,-6.453125,-1.0,5.453125,False,False,conflict,False,False,-1.0
g042_exception_override,-5.046875,-0.1875,4.859375,False,False,conflict,False,False,-0.1875
g045_closure_update,-5.21875,-1.4375,3.78125,False,False,conflict,False,False,-1.4375
g045_closure_override,-3.578125,0.8125,4.390625,True,True,clean,True,True,0.8125
g045_exception_override,-3.953125,1.015625,4.96875,True,True,clean,True,True,1.015625
g053_closure_update,-8.734375,-2.765625,5.96875,False,False,conflict,False,False,-2.765625
g053_closure_override,-6.609375,-0.515625,6.09375,False,False,conflict,False,False,-0.515625
g053_exception_override,-5.171875,-0.609375,4.5625,False,False,conflict,False,False,-0.609375
g064_closure_update,-1.609375,-0.53125,1.078125,False,False,conflict,False,False,-0.53125
g064_closure_override,-6.859375,-2.203125,4.65625,False,False,conflict,False,False,-2.203125
g064_exception_override,-4.515625,-1.15625,3.359375,False,False,conflict,False,False,-1.15625
g067_closure_update,-5.578125,-2.546875,3.03125,False,False,conflict,False,False,-2.546875
g067_closure_override,-5.84375,0.3125,6.15625,True,True,clean,True,True,0.3125
g067_exception_override,-2.046875,-2.046875,0.0,False,False,conflict,False,False,-2.046875
g068_closure_update,-4.25,-2.171875,2.078125,False,False,conflict,False,False,-2.171875
g068_closure_override,-4.875,-1.4375,3.4375,False,False,conflict,False,False,-1.4375
g068_exception_override,-3.296875,-0.453125,2.84375,False,False,conflict,False,False,-0.453125
g069_closure_update,-6.140625,-1.46875,4.671875,False,False,conflict,False,False,-1.46875
g069_closure_override,-3.671875,0.359375,4.03125,True,True,clean,True,True,0.359375
g069_exception_override,-2.578125,-1.15625,1.421875,False,False,conflict,False,False,-1.15625
g073_closure_update,-5.5,-2.515625,2.984375,False,False,conflict,False,False,-2.515625
g073_closure_override,-5.078125,0.4375,5.515625,True,True,clean,True,True,0.4375
g073_exception_override,-2.96875,1.046875,4.015625,True,True,clean,True,True,1.046875
g077_closure_update,-10.1875,-3.6875,6.5,False,False,conflict,False,False,-3.6875
g077_closure_override,-7.203125,-1.46875,5.734375,False,False,conflict,False,False,-1.46875
g077_exception_override,-6.921875,-1.3125,5.609375,False,False,conflict,False,False,-1.3125
g079_closure_update,-2.953125,-0.890625,2.0625,False,False,conflict,False,False,-0.890625
g079_closure_override,-5.0625,0.8125,5.875,True,True,clean,True,True,0.8125
g079_exception_override,-2.859375,-2.859375,0.0,False,False,conflict,False,False,-2.859375
g080_closure_update,-3.109375,-1.8125,1.296875,False,False,conflict,False,False,-1.8125
g080_closure_override,-4.03125,-0.9375,3.09375,False,False,conflict,False,False,-0.9375
g080_exception_override,-3.40625,-0.296875,3.109375,False,False,conflict,False,False,-0.296875
g085_closure_update,-4.8125,-2.015625,2.796875,False,False,conflict,False,False,-2.015625
g085_closure_override,-5.15625,0.609375,5.765625,True,True,clean,True,True,0.609375
g085_exception_override,-2.59375,1.15625,3.75,True,True,clean,True,True,1.15625
g088_closure_update,-3.1875,-1.125,2.0625,False,False,conflict,False,False,-1.125
g088_closure_override,-6.703125,-1.90625,4.796875,False,False,conflict,False,False,-1.90625
g088_exception_override,-4.21875,-0.90625,3.3125,False,False,conflict,False,False,-0.90625
g094_closure_update,-1.71875,-1.03125,0.6875,False,False,conflict,False,False,-1.03125
g094_closure_override,-6.671875,-2.25,4.421875,False,False,conflict,False,False,-2.25
g094_exception_override,-5.390625,-1.25,4.140625,False,False,conflict,False,False,-1.25
