model,fold,graph_id,split
qwen,1,8,train
qwen,1,9,test
qwen,1,10,train
qwen,1,11,train
qwen,1,12,train
qwen,1,13,train
qwen,1,14,test
qwen,1,15,train
qwen,1,16,train
qwen,1,17,train
qwen,1,18,train
qwen,1,19,test
qwen,1,20,train
qwen,1,21,train
qwen,1,22,train
qwen,1,23,train
qwen,1,24,test
qwen,1,25,train
qwen,1,26,train
qwen,1,27,train
qwen,1,28,train
qwen,1,29,test
qwen,1,30,train
qwen,1,31,train
qwen,1,32,train
qwen,1,33,train
qwen,1,34,test
qwen,1,35,train
qwen,1,36,train
qwen,1,37,train
qwen,1,38,train
qwen,1,39,test
qwen,1,40,train
qwen,1,41,train
qwen,1,42,train
qwen,1,43,train
qwen,1,44,test
qwen,1,45,train
qwen,1,46,train
qwen,1,47,train
qwen,1,48,train
qwen,1,49,test
qwen,1,50,train
qwen,1,51,train
qwen,1,52,train
qwen,1,53,train
qwen,1,54,test
qwen,1,55,train
qwen,1,56,train
qwen,1,57,train
qwen,1,58,train
qwen,1,59,test
qwen,1,60,train
qwen,1,61,train
qwen,1,62,train
qwen,1,63,train
qwen,1,64,test
qwen,1,65,train
qwen,1,66,train
qwen,1,67,train
qwen,1,68,train
qwen,1,69,test
qwen,1,70,train
qwen,1,71,train
qwen,1,72,train
qwen,1,73,train
qwen,1,74,test
qwen,1,75,train
qwen,1,76,train
qwen,1,77,train
qwen,1,78,train
qwen,1,79,test
qwen,1,80,train
qwen,1,81,train
qwen,1,82,train
qwen,1,83,train
qwen,1,84,test
qwen,1,85,train
qwen,1,86,train
qwen,1,87,train
qwen,1,88,train
qwen,1,89,test
qwen,1,90,train
qwen,1,91,train
qwen,1,92,train
qwen,1,93,train
qwen,1,94,test
qwen,1,95,train
qwen,2,0,train
qwen,2,1,train
qwen,2,2,train
qwen,2,3,test
qwen,2,4,train
qwen,2,5,train
qwen,2,6,train
qwen,2,7,train
qwen,2,8,test
qwen,2,9,train
qwen,2,10,train
qwen,2,11,train
qwen,2,12,train
qwen,2,13,test
qwen,2,14,train
qwen,2,15,train
qwen,2,16,train
qwen,2,17,train
qwen,2,18,test
qwen,2,19,train
qwen,2,20,train
qwen,2,21,train
qwen,2,22,train
qwen,2,23,test
qwen,2,24,train
qwen,2,25,train
qwen,2,26,train
qwen,2,27,train
qwen,2,28,test
qwen,2,29,train
qwen,2,30,train
qwen,2,31,train
qwen,2,32,train
qwen,2,33,test
qwen,2,34,train
qwen,2,35,train
qwen,2,36,train
qwen,2,37,train
qwen,2,38,test
qwen,2,39,train
qwen,2,40,train
qwen,2,41,train
qwen,2,42,train
qwen,2,43,test
qwen,2,44,train
qwen,2,45,train
qwen,2,46,train
qwen,2,47,train
qwen,2,48,test
qwen,2,49,train
qwen,2,50,train
qwen,2,51,train
qwen,2,52,train
qwen,2,53,test
qwen,2,54,train
qwen,2,55,train
qwen,2,56,train
qwen,2,57,train
qwen,2,58,test
qwen,2,59,train
qwen,2,60,train
qwen,2,61,train
qwen,2,62,train
qwen,2,63,test
qwen,2,64,train
qwen,2,65,train
qwen,2,66,train
qwen,2,67,train
qwen,2,68,test
qwen,2,69,train
qwen,2,70,train
qwen,2,71,train
qwen,2,72,train
qwen,2,73,test
qwen,2,74,train
qwen,2,75,train
qwen,2,76,train
qwen,2,77,train
qwen,2,78,test
qwen,2,79,train
qwen,2,80,train
qwen,2,81,train
qwen,2,82,train
qwen,2,83,test
qwen,2,84,train
qwen,2,85,train
qwen,2,86,train
qwen,2,87,train
qwen,2,88,test
qwen,2,89,train
qwen,2,90,train
qwen,2,91,train
qwen,2,92,train
qwen,2,93,test
qwen,2,94,train
qwen,2,95,train
qwen,3,0,train
qwen,3,1,train
qwen,3,2,test
qwen,3,3,train
qwen,3,4,train
qwen,3,5,train
qwen,3,6,train
qwen,3,7,test
qwen,3,8,train
qwen,3,9,train
qwen,3,10,train
qwen,3,11,train
qwen,3,12,test
qwen,3,13,train
qwen,3,14,train
qwen,3,15,train
qwen,3,16,train
qwen,3,17,test
qwen,3,18,train
qwen,3,19,train
qwen,3,20,train
qwen,3,21,train
qwen,3,22,test
qwen,3,23,train
qwen,3,24,train
qwen,3,25,train
qwen,3,26,train
qwen,3,27,test
qwen,3,28,train
qwen,3,29,train
qwen,3,30,train
qwen,3,31,train
qwen,3,32,test
qwen,3,33,train
qwen,3,34,train
qwen,3,35,train
qwen,3,36,train
qwen,3,37,test
qwen,3,38,train
qwen,3,39,train
qwen,3,40,train
qwen,3,41,train
qwen,3,42,test
qwen,3,43,train
qwen,3,44,train
qwen,3,45,train
qwen,3,46,train
qwen,3,47,test
qwen,3,48,train
qwen,3,49,train
qwen,3,50,train
qwen,3,51,train
qwen,3,52,test
qwen,3,53,train
qwen,3,54,train
qwen,3,55,train
qwen,3,56,train
qwen,3,57,test
qwen,3,58,train
qwen,3,59,train
qwen,3,60,train
qwen,3,61,train
qwen,3,62,test
qwen,3,63,train
qwen,3,64,train
qwen,3,65,train
qwen,3,66,train
qwen,3,67,test
qwen,3,68,train
qwen,3,69,train
qwen,3,70,train
qwen,3,71,train
qwen,3,72,test
qwen,3,73,train
qwen,3,74,train
qwen,3,75,train
qwen,3,76,train
qwen,3,77,test
qwen,3,78,train
qwen,3,79,train
qwen,3,80,train
qwen,3,81,train
qwen,3,82,test
qwen,3,83,train
qwen,3,84,train
qwen,3,85,train
qwen,3,86,train
qwen,3,87,test
qwen,3,88,train
qwen,3,89,train
qwen,3,90,train
qwen,3,91,train
qwen,3,92,test
qwen,3,93,train
qwen,3,94,train
qwen,3,95,train
qwen,4,0,train
qwen,4,1,test
qwen,4,2,train
qwen,4,3,train
qwen,4,4,train
qwen,4,5,train
qwen,4,6,test
qwen,4,7,train
qwen,4,8,train
qwen,4,9,train
qwen,4,10,train
qwen,4,11,test
qwen,4,12,train
qwen,4,13,train
qwen,4,14,train
qwen,4,15,train
qwen,4,16,test
qwen,4,17,train
qwen,4,18,train
qwen,4,19,train
qwen,4,20,train
qwen,4,21,test
qwen,4,22,train
qwen,4,23,train
qwen,4,24,train
qwen,4,25,train
qwen,4,26,test
qwen,4,27,train
qwen,4,28,train
qwen,4,29,train
qwen,4,30,train
qwen,4,31,test
qwen,4,32,train
qwen,4,33,train
qwen,4,34,train
qwen,4,35,train
qwen,4,36,test
qwen,4,37,train
qwen,4,38,train
qwen,4,39,train
qwen,4,40,train
qwen,4,41,test
qwen,4,42,train
qwen,4,43,train
qwen,4,44,train
qwen,4,45,train
qwen,4,46,test
qwen,4,47,train
qwen,4,48,train
qwen,4,49,train
qwen,4,50,train
qwen,4,51,test
qwen,4,52,train
qwen,4,53,train
qwen,4,54,train
qwen,4,55,train
qwen,4,56,test
qwen,4,57,train
qwen,4,58,train
qwen,4,59,train
qwen,4,60,train
qwen,4,61,test
qwen,4,62,train
qwen,4,63,train
qwen,4,64,train
qwen,4,65,train
qwen,4,66,test
qwen,4,67,train
qwen,4,68,train
qwen,4,69,train
qwen,4,70,train
qwen,4,71,test
qwen,4,72,train
qwen,4,73,train
qwen,4,74,train
qwen,4,75,train
qwen,4,76,test
qwen,4,77,train
qwen,4,78,train
qwen,4,79,train
qwen,4,80,train
qwen,4,81,test
qwen,4,82,train
qwen,4,83,train
qwen,4,84,train
qwen,4,85,train
qwen,4,86,test
qwen,4,87,train
qwen,4,88,train
qwen,4,89,train
qwen,4,90,train
qwen,4,91,test
qwen,4,92,train
qwen,4,93,train
qwen,4,94,train
qwen,4,95,train
llama,0,0,test
llama,0,1,train
llama,0,2,train
llama,0,3,train
llama,0,4,train
llama,0,5,test
llama,0,6,train
llama,0,7,train
llama,0,8,train
llama,0,9,train
llama,0,10,test
llama,0,11,train
llama,0,12,train
llama,0,13,train
llama,0,14,train
llama,0,15,test
llama,0,16,train
llama,0,17,train
llama,0,18,train
llama,0,19,train
llama,0,20,test
llama,0,21,train
llama,0,22,train
llama,0,23,train
llama,0,24,train
llama,0,25,test
llama,0,26,train
llama,0,27,train
llama,0,28,train
llama,0,29,train
llama,0,30,test
llama,0,31,train
llama,0,32,train
llama,0,33,train
llama,0,34,train
llama,0,35,test
llama,0,36,train
llama,0,37,train
llama,0,38,train
llama,0,39,train
llama,0,40,test
llama,0,41,train
llama,0,42,train
llama,0,43,train
llama,0,44,train
llama,0,45,test
llama,0,46,train
llama,0,47,train
llama,0,48,train
llama,0,49,train
llama,0,50,test
llama,0,51,train
llama,0,52,train
llama,0,53,train
llama,0,54,train
llama,0,55,test
llama,0,56,train
llama,0,57,train
llama,0,58,train
llama,0,59,train
llama,0,60,test
llama,0,61,train
llama,0,62,train
llama,0,63,train
llama,0,64,train
llama,0,65,test
llama,0,66,train
llama,0,67,train
llama,0,68,train
llama,0,69,train
llama,0,70,test
llama,0,71,train
llama,0,72,train
llama,0,73,train
llama,0,74,train
llama,0,75,test
llama,0,76,train
llama,0,77,train
llama,0,78,train
llama,0,79,train
llama,0,80,test
llama,0,81,train
llama,0,82,train
llama,0,83,train
llama,0,84,train
llama,0,85,test
llama,0,86,train
llama,0,87,train
llama,0,88,train
llama,0,89,train
llama,0,90,test
llama,0,91,train
llama,0,92,train
llama,0,93,train
llama,0,94,train
llama,0,95,test
llama,1,0,train
llama,1,1,train
llama,1,2,train
llama,1,3,train
llama,1,4,test
llama,1,5,train
llama,1,6,train
llama,1,7,train
llama,1,8,train
llama,1,9,test
llama,1,10,train
llama,1,11,train
llama,1,12,train
llama,1,13,train
llama,1,14,test
llama,1,15,train
llama,1,16,train
llama,1,17,train
llama,1,18,train
llama,1,19,test
llama,1,20,train
llama,1,21,train
llama,1,22,train
llama,1,23,train
llama,1,24,test
llama,1,25,train
llama,1,26,train
llama,1,27,train
llama,1,28,train
llama,1,29,test
llama,1,30,train
llama,1,31,train
llama,1,32,train
llama,1,33,train
llama,1,34,test
llama,1,35,train
llama,1,36,train
llama,1,37,train
llama,1,38,train
llama,1,39,test
llama,1,40,train
llama,1,41,train
llama,1,42,train
llama,1,43,train
llama,1,44,test
llama,1,45,train
llama,1,46,train
llama,1,47,train
llama,1,48,train
llama,1,49,test
llama,1,50,train
llama,1,51,train
llama,1,52,train
llama,1,53,train
llama,1,54,test
llama,1,55,train
llama,1,56,train
llama,1,57,train
llama,1,58,train
llama,1,59,test
llama,1,60,train
llama,1,61,train
llama,1,62,train
llama,1,63,train
llama,1,64,test
llama,1,65,train
llama,1,66,train
llama,1,67,train
llama,1,68,train
llama,1,69,test
llama,1,70,train
llama,1,71,train
llama,1,72,train
llama,1,73,train
llama,1,74,test
llama,1,75,train
llama,1,76,train
llama,1,77,train
llama,1,78,train
llama,1,79,test
llama,1,80,train
llama,1,81,train
llama,1,82,train
llama,1,83,train
llama,1,84,test
llama,1,85,train
llama,1,86,train
llama,1,87,train
llama,1,88,train
llama,1,89,test
llama,1,90,train
llama,1,91,train
llama,1,92,train
llama,1,93,train
llama,1,94,test
llama,1,95,train
llama,2,0,train
llama,2,1,train
llama,2,2,train
llama,2,3,test
llama,2,4,train
llama,2,5,train
llama,2,6,train
llama,2,7,train
llama,2,8,test
llama,2,9,train
llama,2,10,train
llama,2,11,train
llama,2,12,train
llama,2,13,test
llama,2,14,train
llama,2,15,train
llama,2,16,train
llama,2,17,train
llama,2,18,test
llama,2,19,train
llama,2,20,train
llama,2,21,train
llama,2,22,train
llama,2,23,test
llama,2,24,train
llama,2,25,train
llama,2,26,train
llama,2,27,train
llama,2,28,test
llama,2,29,train
llama,2,30,train
llama,2,31,train
llama,2,32,train
llama,2,33,test
llama,2,34,train
llama,2,35,train
llama,2,36,train
llama,2,37,train
llama,2,38,test
llama,2,39,train
llama,2,40,train
llama,2,41,train
llama,2,42,train
llama,2,43,test
llama,2,44,train
llama,2,45,train
llama,2,46,train
llama,2,47,train
llama,2,48,test
llama,2,49,train
llama,2,50,train
llama,2,51,train
llama,2,52,train
llama,2,53,test
llama,2,54,train
llama,2,55,train
llama,2,56,train
llama,2,57,train
llama,2,58,test
llama,2,59,train
llama,2,60,train
llama,2,61,train
llama,2,62,train
llama,2,63,test
llama,2,64,train
llama,2,65,train
llama,2,66,train
llama,2,67,train
llama,2,68,test
llama,2,69,train
llama,2,70,train
llama,2,71,train
llama,2,72,train
llama,2,73,test
llama,2,74,train
llama,2,75,train
llama,2,76,train
llama,2,77,train
llama,2,78,test
llama,2,79,train
llama,2,80,train
llama,2,81,train
llama,2,82,train
llama,2,83,test
llama,2,84,train
llama,2,85,train
llama,2,86,train
llama,2,87,train
llama,2,88,test
llama,2,89,train
llama,2,90,train
llama,2,91,train
llama,2,92,train
llama,2,93,test
llama,2,94,train
llama,2,95,train
llama,3,0,train
llama,3,1,train
llama,3,2,test
llama,3,3,train
llama,3,4,train
llama,3,5,train
llama,3,6,train
llama,3,7,test
llama,3,8,train
llama,3,9,train
llama,3,10,train
llama,3,11,train
llama,3,12,test
llama,3,13,train
llama,3,14,train
llama,3,15,train
llama,3,16,train
llama,3,17,test
llama,3,18,train
llama,3,19,train
llama,3,20,train
llama,3,21,train
llama,3,22,test
llama,3,23,train
llama,3,24,train
llama,3,25,train
llama,3,26,train
llama,3,27,test
llama,3,28,train
llama,3,29,train
llama,3,30,train
llama,3,31,train
llama,3,32,test
llama,3,33,train
llama,3,34,train
llama,3,35,train
llama,3,36,train
llama,3,37,test
llama,3,38,train
llama,3,39,train
llama,3,40,train
llama,3,41,train
llama,3,42,test
llama,3,43,train
llama,3,44,train
llama,3,45,train
llama,3,46,train
llama,3,47,test
llama,3,48,train
llama,3,49,train
llama,3,50,train
llama,3,51,train
llama,3,52,test
llama,3,53,train
llama,3,54,train
llama,3,55,train
llama,3,56,train
llama,3,57,test
llama,3,58,train
llama,3,59,train
llama,3,60,train
llama,3,61,train
llama,3,62,test
llama,3,63,train
llama,3,64,train
llama,3,65,train
llama,3,66,train
llama,3,67,test
llama,3,68,train
llama,3,69,train
llama,3,70,train
llama,3,71,train
llama,3,72,test
llama,3,73,train
llama,3,74,train
llama,3,75,train
llama,3,76,train
llama,3,77,test
llama,3,78,train
llama,3,79,train
llama,3,80,train
llama,3,81,train
llama,3,82,test
llama,3,83,train
llama,3,84,train
llama,3,85,train
llama,3,86,train
llama,3,87,test
llama,3,88,train
llama,3,89,train
llama,3,90,train
llama,3,91,train
llama,3,92,test
llama,3,93,train
llama,3,94,train
llama,3,95,train
llama,4,0,train
llama,4,1,test
llama,4,2,train
llama,4,3,train
llama,4,4,train
llama,4,5,train
llama,4,6,test
llama,4,7,train
llama,4,8,train
llama,4,9,train
llama,4,10,train
llama,4,11,test
llama,4,12,train
llama,4,13,train
llama,4,14,train
llama,4,15,train
llama,4,16,test
llama,4,17,train
llama,4,18,train
llama,4,19,train
llama,4,20,train
llama,4,21,test
llama,4,22,train
llama,4,23,train
llama,4,24,train
llama,4,25,train
llama,4,26,test
llama,4,27,train
llama,4,28,train
llama,4,29,train
llama,4,30,train
llama,4,31,test
llama,4,32,train
llama,4,33,train
llama,4,34,train
llama,4,35,train
llama,4,36,test
llama,4,37,train
llama,4,38,train
llama,4,39,train
llama,4,40,train
llama,4,41,test
llama,4,42,train
llama,4,43,train
llama,4,44,train
llama,4,45,train
llama,4,46,test
llama,4,47,train
llama,4,48,train
llama,4,49,train
llama,4,50,train
llama,4,51,test
llama,4,52,train
llama,4,53,train
llama,4,54,train
llama,4,55,train
llama,4,56,test
llama,4,57,train
llama,4,58,train
llama,4,59,train
llama,4,60,train
llama,4,61,test
llama,4,62,train
llama,4,63,train
llama,4,64,train
llama,4,65,train
llama,4,66,test
llama,4,67,train
llama,4,68,train
llama,4,69,train
llama,4,70,train
llama,4,71,test
llama,4,72,train
llama,4,73,train
llama,4,74,train
llama,4,75,train
llama,4,76,test
llama,4,77,train
llama,4,78,train
llama,4,79,train
llama,4,80,train
llama,4,81,test
llama,4,82,train
llama,4,83,train
llama,4,84,train
llama,4,85,train
llama,4,86,test
llama,4,87,train
llama,4,88,train
llama,4,89,train
llama,4,90,train
llama,4,91,test
llama,4,92,train
llama,4,93,train
llama,4,94,train
llama,4,95,train
gemma,0,0,test
gemma,0,1,train
gemma,0,2,train
gemma,0,3,train
gemma,0,4,train
gemma,0,5,test
gemma,0,6,train
gemma,0,7,train
gemma,0,8,train
gemma,0,9,train
gemma,0,10,test
gemma,0,11,train
gemma,0,12,train
gemma,0,13,train
gemma,0,14,train
gemma,0,15,test
gemma,0,16,train
gemma,0,17,train
gemma,0,18,train
gemma,0,19,train
gemma,0,20,test
gemma,0,21,train
gemma,0,22,train
gemma,0,23,train
gemma,0,24,train
gemma,0,25,test
gemma,0,26,train
gemma,0,27,train
gemma,0,28,train
gemma,0,29,train
gemma,0,30,test
gemma,0,31,train
gemma,0,32,train
gemma,0,33,train
gemma,0,34,train
gemma,0,35,test
gemma,0,36,train
gemma,0,37,train
gemma,0,38,train
gemma,0,39,train
gemma,0,40,test
gemma,0,41,train
gemma,0,42,train
gemma,0,43,train
gemma,0,44,train
gemma,0,45,test
gemma,0,46,train
gemma,0,47,train
gemma,0,48,train
gemma,0,49,train
gemma,0,50,test
gemma,0,51,train
gemma,0,52,train
gemma,0,53,train
gemma,0,54,train
gemma,0,55,test
gemma,0,56,train
gemma,0,57,train
gemma,0,58,train
gemma,0,59,train
gemma,0,60,test
gemma,0,61,train
gemma,0,62,train
gemma,0,63,train
gemma,0,64,train
gemma,0,65,test
gemma,0,66,train
gemma,0,67,train
gemma,0,68,train
gemma,0,69,train
gemma,0,70,test
gemma,0,71,train
gemma,0,72,train
gemma,0,73,train
gemma,0,74,train
gemma,0,75,test
gemma,0,76,train
gemma,0,77,train
gemma,0,78,train
gemma,0,79,train
gemma,0,80,test
gemma,0,81,train
gemma,0,82,train
gemma,0,83,train
gemma,0,84,train
gemma,0,85,test
gemma,0,86,train
gemma,0,87,train
gemma,0,88,train
gemma,0,89,train
gemma,0,90,test
gemma,0,91,train
gemma,0,92,train
gemma,0,93,train
gemma,0,94,train
gemma,0,95,test
gemma,1,0,train
gemma,1,1,train
gemma,1,2,train
gemma,1,3,train
gemma,1,4,test
gemma,1,5,train
gemma,1,6,train
gemma,1,7,train
gemma,1,8,train
gemma,1,9,test
gemma,1,10,train
gemma,1,11,train
gemma,1,12,train
gemma,1,13,train
gemma,1,14,test
gemma,1,15,train
gemma,1,16,train
gemma,1,17,train
gemma,1,18,train
gemma,1,19,test
gemma,1,20,train
gemma,1,21,train
gemma,1,22,train
gemma,1,23,train
gemma,1,24,test
gemma,1,25,train
gemma,1,26,train
gemma,1,27,train
gemma,1,28,train
gemma,1,29,test
gemma,1,30,train
gemma,1,31,train
gemma,1,32,train
gemma,1,33,train
gemma,1,34,test
gemma,1,35,train
gemma,1,36,train
gemma,1,37,train
gemma,1,38,train
gemma,1,39,test
gemma,1,40,train
gemma,1,41,train
gemma,1,42,train
gemma,1,43,train
gemma,1,44,test
gemma,1,45,train
gemma,1,46,train
gemma,1,47,train
gemma,1,48,train
gemma,1,49,test
gemma,1,50,train
gemma,1,51,train
gemma,1,52,train
gemma,1,53,train
gemma,1,54,test
gemma,1,55,train
gemma,1,56,train
gemma,1,57,train
gemma,1,58,train
gemma,1,59,test
gemma,1,60,train
gemma,1,61,train
gemma,1,62,train
gemma,1,63,train
gemma,1,64,test
gemma,1,65,train
gemma,1,66,train
gemma,1,67,train
gemma,1,68,train
gemma,1,69,test
gemma,1,70,train
gemma,1,71,train
gemma,1,72,train
gemma,1,73,train
gemma,1,74,test
gemma,1,75,train
gemma,1,76,train
gemma,1,77,train
gemma,1,78,train
gemma,1,79,test
gemma,1,80,train
gemma,1,81,train
gemma,1,82,train
gemma,1,83,train
gemma,1,84,test
gemma,1,85,train
gemma,1,86,train
gemma,1,87,train
gemma,1,88,train
gemma,1,89,test
gemma,1,90,train
gemma,1,91,train
gemma,1,92,train
gemma,1,93,train
gemma,1,94,test
gemma,1,95,train
gemma,2,0,train
gemma,2,1,train
gemma,2,2,train
gemma,2,3,test
gemma,2,4,train
gemma,2,5,train
gemma,2,6,train
gemma,2,7,train
gemma,2,8,test
gemma,2,9,train
gemma,2,10,train
gemma,2,11,train
gemma,2,12,train
gemma,2,13,test
gemma,2,14,train
gemma,2,15,train
gemma,2,16,train
gemma,2,17,train
gemma,2,18,test
gemma,2,19,train
gemma,2,20,train
gemma,2,21,train
gemma,2,22,train
gemma,2,23,test
gemma,2,24,train
gemma,2,25,train
gemma,2,26,train
gemma,2,27,train
gemma,2,28,test
gemma,2,29,train
gemma,2,30,train
gemma,2,31,train
gemma,2,32,train
gemma,2,33,test
gemma,2,34,train
gemma,2,35,train
gemma,2,36,train
gemma,2,37,train
gemma,2,38,test
gemma,2,39,train
gemma,2,40,train
gemma,2,41,train
gemma,2,42,train
gemma,2,43,test
gemma,2,44,train
gemma,2,45,train
gemma,2,46,train
gemma,2,47,train
gemma,2,48,test
gemma,2,49,train
gemma,2,50,train
gemma,2,51,train
gemma,2,52,train
gemma,2,53,test
gemma,2,54,train
gemma,2,55,train
gemma,2,56,train
gemma,2,57,train
gemma,2,58,test
gemma,2,59,train
gemma,2,60,train
gemma,2,61,train
gemma,2,62,train
gemma,2,63,test
gemma,2,64,train
gemma,2,65,train
gemma,2,66,train
gemma,2,67,train
gemma,2,68,test
gemma,2,69,train
gemma,2,70,train
gemma,2,71,train
gemma,2,72,train
gemma,2,73,test
gemma,2,74,train
gemma,2,75,train
gemma,2,76,train
gemma,2,77,train
gemma,2,78,test
gemma,2,79,train
gemma,2,80,train
gemma,2,81,train
gemma,2,82,train
gemma,2,83,test
gemma,2,84,train
gemma,2,85,train
gemma,2,86,train
gemma,2,87,train
gemma,2,88,test
gemma,2,89,train
gemma,2,90,train
gemma,2,91,train
gemma,2,92,train
gemma,2,93,test
gemma,2,94,train
gemma,2,95,train
gemma,3,0,train
gemma,3,1,train
gemma,3,2,test
gemma,3,3,train
gemma,3,4,train
gemma,3,5,train
gemma,3,6,train
gemma,3,7,test
gemma,3,8,train
gemma,3,9,train
gemma,3,10,train
gemma,3,11,train
gemma,3,12,test
gemma,3,13,train
gemma,3,14,train
gemma,3,15,train
gemma,3,16,train
gemma,3,17,test
gemma,3,18,train
gemma,3,19,train
gemma,3,20,train
gemma,3,21,train
gemma,3,22,test
gemma,3,23,train
gemma,3,24,train
gemma,3,25,train
gemma,3,26,train
gemma,3,27,test
gemma,3,28,train
gemma,3,29,train
gemma,3,30,train
gemma,3,31,train
gemma,3,32,test
gemma,3,33,train
gemma,3,34,train
gemma,3,35,train
gemma,3,36,train
gemma,3,37,test
gemma,3,38,train
gemma,3,39,train
gemma,3,40,train
gemma,3,41,train
gemma,3,42,test
gemma,3,43,train
gemma,3,44,train
gemma,3,45,train
gemma,3,46,train
gemma,3,47,test
gemma,3,48,train
gemma,3,49,train
gemma,3,50,train
gemma,3,51,train
gemma,3,52,test
gemma,3,53,train
gemma,3,54,train
gemma,3,55,train
gemma,3,56,train
gemma,3,57,test
gemma,3,58,train
gemma,3,59,train
gemma,3,60,train
gemma,3,61,train
gemma,3,62,test
gemma,3,63,train
gemma,3,64,train
gemma,3,65,train
gemma,3,66,train
gemma,3,67,test
gemma,3,68,train
gemma,3,69,train
gemma,3,70,train
gemma,3,71,train
gemma,3,72,test
gemma,3,73,train
gemma,3,74,train
gemma,3,75,train
gemma,3,76,train
gemma,3,77,test
gemma,3,78,train
gemma,3,79,train
gemma,3,80,train
gemma,3,81,train
gemma,3,82,test
gemma,3,83,train
gemma,3,84,train
gemma,3,85,train
gemma,3,86,train
gemma,3,87,test
gemma,3,88,train
gemma,3,89,train
gemma,3,90,train
gemma,3,91,train
gemma,3,92,test
gemma,3,93,train
gemma,3,94,train
gemma,3,95,train
gemma,4,0,train
gemma,4,1,test
gemma,4,2,train
gemma,4,3,train
gemma,4,4,train
gemma,4,5,train
gemma,4,6,test
gemma,4,7,train
gemma,4,8,train
gemma,4,9,train
gemma,4,10,train
gemma,4,11,test
gemma,4,12,train
gemma,4,13,train
gemma,4,14,train
gemma,4,15,train
gemma,4,16,test
gemma,4,17,train
gemma,4,18,train
gemma,4,19,train
gemma,4,20,train
gemma,4,21,test
gemma,4,22,train
gemma,4,23,train
gemma,4,24,train
gemma,4,25,train
gemma,4,26,test
gemma,4,27,train
gemma,4,28,train
gemma,4,29,train
gemma,4,30,train
gemma,4,31,test
gemma,4,32,train
gemma,4,33,train
gemma,4,34,train
gemma,4,35,train
gemma,4,36,test
gemma,4,37,train
gemma,4,38,train
gemma,4,39,train
gemma,4,40,train
gemma,4,41,test
gemma,4,42,train
gemma,4,43,train
gemma,4,44,train
gemma,4,45,train
gemma,4,46,test
gemma,4,47,train
gemma,4,48,train
gemma,4,49,train
gemma,4,50,train
gemma,4,51,test
gemma,4,52,train
gemma,4,53,train
gemma,4,54,train
gemma,4,55,train
gemma,4,56,test
gemma,4,57,train
gemma,4,58,train
gemma,4,59,train
gemma,4,60,train
gemma,4,61,test
gemma,4,62,train
gemma,4,63,train
gemma,4,64,train
gemma,4,65,train
gemma,4,66,test
gemma,4,67,train
gemma,4,68,train
gemma,4,69,train
gemma,4,70,train
gemma,4,71,test
gemma,4,72,train
gemma,4,73,train
gemma,4,74,train
gemma,4,75,train
gemma,4,76,test
gemma,4,77,train
gemma,4,78,train
gemma,4,79,train
gemma,4,80,train
gemma,4,81,test
gemma,4,82,train
gemma,4,83,train
gemma,4,84,train
gemma,4,85,train
gemma,4,86,test
gemma,4,87,train
gemma,4,88,train
gemma,4,89,train
gemma,4,90,train
gemma,4,91,test
gemma,4,92,train
gemma,4,93,train
gemma,4,94,train
gemma,4,95,train
