"condition_a","condition_b","cosine","model","condition_a_short","condition_b_short"
"Update negative","Exception negative",-0.081140770327577,"Qwen","Update","Exception-"
"Stable positive","Update negative",-0.112124427081277,"Qwen","Stable+","Update"
"Weak positive","Update negative",-0.100923833153765,"Qwen","Weak+","Update"
"Balanced competition","Update negative",0.497235623486693,"Qwen","Balanced","Update"
"Direct negative","Update negative",0.306176658351753,"Qwen","Direct-","Update"
"Exception negative","Update negative",-0.081140770327577,"Qwen","Exception-","Update"
"Update negative","Update negative",1,"Qwen","Update","Update"
"Stable positive","Stable positive",1,"Llama","Stable+","Stable+"
"Weak positive","Stable positive",0.810442455809498,"Llama","Weak+","Stable+"
"Balanced competition","Stable positive",0.92290580429913,"Llama","Balanced","Stable+"
"Direct negative","Stable positive",0.970603524328602,"Llama","Direct-","Stable+"
"Exception negative","Stable positive",0.945019387587271,"Llama","Exception-","Stable+"
"Update negative","Stable positive",0.315726965024509,"Llama","Update","Stable+"
"Stable positive","Weak positive",0.810442455809498,"Llama","Stable+","Weak+"
"Weak positive","Weak positive",1,"Llama","Weak+","Weak+"
"Balanced competition","Weak positive",0.967416801800818,"Llama","Balanced","Weak+"
"Direct negative","Weak positive",0.661660676409617,"Llama","Direct-","Weak+"
"Exception negative","Weak positive",0.615742873540718,"Llama","Exception-","Weak+"
"Update negative","Weak positive",-0.282123772664247,"Llama","Update","Weak+"
"Stable positive","Balanced competition",0.92290580429913,"Llama","Stable+","Balanced"
"Weak positive","Balanced competition",0.967416801800818,"Llama","Weak+","Balanced"
"Balanced competition","Balanced competition",1,"Llama","Balanced","Balanced"
"Direct negative","Balanced competition",0.819128740829641,"Llama","Direct-","Balanced"
"Exception negative","Balanced competition",0.786952825329573,"Llama","Exception-","Balanced"
"Update negative","Balanced competition",-0.0387542356689609,"Llama","Update","Balanced"
"Stable positive","Direct negative",0.970603524328602,"Llama","Stable+","Direct-"
"Weak positive","Direct negative",0.661660676409617,"Llama","Weak+","Direct-"
"Balanced competition","Direct negative",0.819128740829641,"Llama","Balanced","Direct-"
"Direct negative","Direct negative",1,"Llama","Direct-","Direct-"
"Exception negative","Direct negative",0.988333069125885,"Llama","Exception-","Direct-"
"Update negative","Direct negative",0.517312709995925,"Llama","Update","Direct-"
"Stable positive","Exception negative",0.945019387587271,"Llama","Stable+","Exception-"
"Weak positive","Exception negative",0.615742873540718,"Llama","Weak+","Exception-"
"Balanced competition","Exception negative",0.786952825329573,"Llama","Balanced","Exception-"
"Direct negative","Exception negative",0.988333069125885,"Llama","Direct-","Exception-"
"Exception negative","Exception negative",1,"Llama","Exception-","Exception-"
"Update negative","Exception negative",0.577366163233781,"Llama","Update","Exception-"
"Stable positive","Update negative",0.315726965024509,"Llama","Stable+","Update"
"Weak positive","Update negative",-0.282123772664247,"Llama","Weak+","Update"
"Balanced competition","Update negative",-0.0387542356689609,"Llama","Balanced","Update"
"Direct negative","Update negative",0.517312709995925,"Llama","Direct-","Update"
"Exception negative","Update negative",0.577366163233781,"Llama","Exception-","Update"
"Update negative","Update negative",1,"Llama","Update","Update"
"Stable positive","Stable positive",1,"Gemma","Stable+","Stable+"
"Weak positive","Stable positive",-0.00300446507223439,"Gemma","Weak+","Stable+"
"Balanced competition","Stable positive",0.960490515849595,"Gemma","Balanced","Stable+"
"Direct negative","Stable positive",0.961769111684924,"Gemma","Direct-","Stable+"
"Exception negative","Stable positive",0.934580657951008,"Gemma","Exception-","Stable+"
"Update negative","Stable positive",0.712449186061162,"Gemma","Update","Stable+"
"Stable positive","Weak positive",-0.00300446507223439,"Gemma","Stable+","Weak+"
"Weak positive","Weak positive",1,"Gemma","Weak+","Weak+"
"Balanced competition","Weak positive",-0.235910052297059,"Gemma","Balanced","Weak+"
"Direct negative","Weak positive",-0.258576489338239,"Gemma","Direct-","Weak+"
"Exception negative","Weak positive",-0.344995049935448,"Gemma","Exception-","Weak+"
"Update negative","Weak positive",0.575832383426442,"Gemma","Update","Weak+"
"Stable positive","Balanced competition",0.960490515849595,"Gemma","Stable+","Balanced"
"Weak positive","Balanced competition",-0.235910052297059,"Gemma","Weak+","Balanced"
"Balanced competition","Balanced competition",1,"Gemma","Balanced","Balanced"
"Direct negative","Balanced competition",0.997290730743928,"Gemma","Direct-","Balanced"
"Exception negative","Balanced competition",0.984150579681446,"Gemma","Exception-","Balanced"
"Update negative","Balanced competition",0.590657940346413,"Gemma","Update","Balanced"
"Stable positive","Direct negative",0.961769111684924,"Gemma","Stable+","Direct-"
"Weak positive","Direct negative",-0.258576489338239,"Gemma","Weak+","Direct-"
"Balanced competition","Direct negative",0.997290730743928,"Gemma","Balanced","Direct-"
"Direct negative","Direct negative",1,"Gemma","Direct-","Direct-"
"Exception negative","Direct negative",0.990190978226055,"Gemma","Exception-","Direct-"
"Update negative","Direct negative",0.565039654457238,"Gemma","Update","Direct-"
"Stable positive","Exception negative",0.934580657951008,"Gemma","Stable+","Exception-"
"Weak positive","Exception negative",-0.344995049935448,"Gemma","Weak+","Exception-"
"Balanced competition","Exception negative",0.984150579681446,"Gemma","Balanced","Exception-"
"Direct negative","Exception negative",0.990190978226055,"Gemma","Direct-","Exception-"
"Exception negative","Exception negative",1,"Gemma","Exception-","Exception-"
"Update negative","Exception negative",0.470567680124291,"Gemma","Update","Exception-"
"Stable positive","Update negative",0.712449186061162,"Gemma","Stable+","Update"
"Weak positive","Update negative",0.575832383426442,"Gemma","Weak+","Update"
"Balanced competition","Update negative",0.590657940346413,"Gemma","Balanced","Update"
"Direct negative","Update negative",0.565039654457238,"Gemma","Direct-","Update"
"Exception negative","Update negative",0.470567680124291,"Gemma","Exception-","Update"
"Update negative","Update negative",1,"Gemma","Update","Update"
