prompt_id,graph_id,condition,mechanism,control,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,baseline_top1_token_id,baseline_top1_class,baseline_margin,strict_conflict_to_clean,nonclosure_top1_changed,margin_shift,model,random_seed
g010_clean,10,clean,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,2.40625,42540,clean,2.40625,False,False,0.0,qwen,
g010_redundant,10,redundant,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,3.046875,42540,clean,3.046875,False,False,0.0,qwen,
g010_irrelevant,10,irrelevant,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,0.28125,42540,clean,0.28125,False,False,0.0,qwen,
g010_paraphrase,10,paraphrase,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,2.203125,42540,clean,2.203125,False,False,0.0,qwen,
g010_weak_distractor,10,weak_distractor,competition,structured_guarded,42540,14997,42540, Copper,clean,1,2,0.453125,42540,clean,0.453125,False,False,0.0,qwen,
g010_competition_balanced,10,competition_balanced,competition,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-1.921875,14997,conflict,-1.921875,False,False,0.0,qwen,
g010_direct_conflict,10,direct_conflict,competition,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-2.5625,14997,conflict,-2.5625,False,False,0.0,qwen,
g010_closure_update,10,closure_update,closure,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-1.515625,14997,conflict,-3.671875,False,False,2.15625,qwen,
g010_closure_override,10,closure_override,closure,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-2.484375,14997,conflict,-7.25,False,False,4.765625,qwen,
g010_exception_override,10,exception_override,closure,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-1.765625,14997,conflict,-6.484375,False,False,4.71875,qwen,
g011_clean,11,clean,stable,structured_guarded,7421,16570,7421, Gold,clean,1,2,0.46875,7421,clean,0.46875,False,False,0.0,qwen,
g011_redundant,11,redundant,stable,structured_guarded,7421,16570,7421, Gold,clean,1,2,2.625,7421,clean,2.625,False,False,0.0,qwen,
g011_irrelevant,11,irrelevant,stable,structured_guarded,7421,16570,16570, Iron,conflict,2,1,-0.75,16570,conflict,-0.75,False,False,0.0,qwen,
g011_paraphrase,11,paraphrase,stable,structured_guarded,7421,16570,7421, Gold,clean,1,2,3.671875,7421,clean,3.671875,False,False,0.0,qwen,
g011_weak_distractor,11,weak_distractor,competition,structured_guarded,7421,16570,16570, Iron,conflict,2,1,-2.65625,16570,conflict,-2.65625,False,False,0.0,qwen,
g011_competition_balanced,11,competition_balanced,competition,structured_guarded,7421,16570,16570, Iron,conflict,2,1,-4.65625,16570,conflict,-4.65625,False,False,0.0,qwen,
g011_direct_conflict,11,direct_conflict,competition,structured_guarded,7421,16570,16570, Iron,conflict,2,1,-5.6875,16570,conflict,-5.6875,False,False,0.0,qwen,
g011_closure_update,11,closure_update,closure,structured_guarded,7421,16570,16570, Iron,conflict,2,1,-1.46875,16570,conflict,-6.171875,False,False,4.703125,qwen,
g011_closure_override,11,closure_override,closure,structured_guarded,7421,16570,7421, Gold,clean,1,2,0.65625,16570,conflict,-6.34375,True,True,7.0,qwen,
g011_exception_override,11,exception_override,closure,structured_guarded,7421,16570,16570, Iron,conflict,2,1,-0.25,16570,conflict,-6.015625,False,False,5.765625,qwen,
g012_clean,12,clean,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-2.578125,8697,conflict,-2.578125,False,False,0.0,qwen,
g012_redundant,12,redundant,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.78125,8697,conflict,-0.78125,False,False,0.0,qwen,
g012_irrelevant,12,irrelevant,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-1.453125,8697,conflict,-1.453125,False,False,0.0,qwen,
g012_paraphrase,12,paraphrase,stable,structured_guarded,3731,8697,3731, Red,clean,1,2,2.0,3731,clean,2.0,False,False,0.0,qwen,
g012_weak_distractor,12,weak_distractor,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-1.90625,8697,conflict,-1.90625,False,False,0.0,qwen,
g012_competition_balanced,12,competition_balanced,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-4.78125,8697,conflict,-4.78125,False,False,0.0,qwen,
g012_direct_conflict,12,direct_conflict,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-4.15625,8697,conflict,-4.15625,False,False,0.0,qwen,
g012_closure_update,12,closure_update,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-2.3125,8697,conflict,-6.328125,False,False,4.015625,qwen,
g012_closure_override,12,closure_override,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-1.078125,8697,conflict,-6.65625,False,False,5.578125,qwen,
g012_exception_override,12,exception_override,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.78125,8697,conflict,-5.28125,False,False,4.5,qwen,
g015_clean,15,clean,stable,structured_guarded,6326,4312,4312, West,conflict,2,1,-1.625,4312,conflict,-1.625,False,False,0.0,qwen,
g015_redundant,15,redundant,stable,structured_guarded,6326,4312,6326, East,clean,1,2,0.390625,6326,clean,0.390625,False,False,0.0,qwen,
g015_irrelevant,15,irrelevant,stable,structured_guarded,6326,4312,4312, West,conflict,2,1,-1.546875,4312,conflict,-1.546875,False,False,0.0,qwen,
g015_paraphrase,15,paraphrase,stable,structured_guarded,6326,4312,6326, East,clean,1,2,2.359375,6326,clean,2.359375,False,False,0.0,qwen,
g015_weak_distractor,15,weak_distractor,competition,structured_guarded,6326,4312,4312, West,conflict,2,1,-0.203125,4312,conflict,-0.203125,False,False,0.0,qwen,
g015_competition_balanced,15,competition_balanced,competition,structured_guarded,6326,4312,4312, West,conflict,2,1,-3.046875,4312,conflict,-3.046875,False,False,0.0,qwen,
g015_direct_conflict,15,direct_conflict,competition,structured_guarded,6326,4312,4312, West,conflict,2,1,-4.734375,4312,conflict,-4.734375,False,False,0.0,qwen,
g015_closure_update,15,closure_update,closure,structured_guarded,6326,4312,4312, West,conflict,2,1,-1.78125,4312,conflict,-5.234375,False,False,3.453125,qwen,
g015_closure_override,15,closure_override,closure,structured_guarded,6326,4312,4312, West,conflict,2,1,-2.0,4312,conflict,-3.90625,False,False,1.90625,qwen,
g015_exception_override,15,exception_override,closure,structured_guarded,6326,4312,4312, West,conflict,2,1,-2.28125,4312,conflict,-4.46875,False,False,2.1875,qwen,
g018_clean,18,clean,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.5625,8697,conflict,-0.5625,False,False,0.0,qwen,
g018_redundant,18,redundant,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.296875,8697,conflict,-0.296875,False,False,0.0,qwen,
g018_irrelevant,18,irrelevant,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.9375,8697,conflict,-0.9375,False,False,0.0,qwen,
g018_paraphrase,18,paraphrase,stable,structured_guarded,3731,8697,3731, Red,clean,1,2,1.578125,3731,clean,1.578125,False,False,0.0,qwen,
g018_weak_distractor,18,weak_distractor,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.9375,8697,conflict,-0.9375,False,False,0.0,qwen,
g018_competition_balanced,18,competition_balanced,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-4.5,8697,conflict,-4.5,False,False,0.0,qwen,
g018_direct_conflict,18,direct_conflict,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-4.328125,8697,conflict,-4.328125,False,False,0.0,qwen,
g018_closure_update,18,closure_update,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-2.453125,8697,conflict,-5.8125,False,False,3.359375,qwen,
g018_closure_override,18,closure_override,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-1.03125,8697,conflict,-6.9375,False,False,5.90625,qwen,
g018_exception_override,18,exception_override,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.46875,8697,conflict,-5.046875,False,False,4.578125,qwen,
g022_clean,22,clean,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,2.140625,42540,clean,2.140625,False,False,0.0,qwen,
g022_redundant,22,redundant,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,3.09375,42540,clean,3.09375,False,False,0.0,qwen,
g022_irrelevant,22,irrelevant,stable,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-2.0,14997,conflict,-2.0,False,False,0.0,qwen,
g022_paraphrase,22,paraphrase,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,2.8125,42540,clean,2.8125,False,False,0.0,qwen,
g022_weak_distractor,22,weak_distractor,competition,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-0.421875,14997,conflict,-0.421875,False,False,0.0,qwen,
g022_competition_balanced,22,competition_balanced,competition,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-3.90625,14997,conflict,-3.90625,False,False,0.0,qwen,
g022_direct_conflict,22,direct_conflict,competition,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-4.484375,14997,conflict,-4.484375,False,False,0.0,qwen,
g022_closure_update,22,closure_update,closure,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-1.375,14997,conflict,-3.640625,False,False,2.265625,qwen,
g022_closure_override,22,closure_override,closure,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-2.859375,14997,conflict,-8.65625,False,False,5.796875,qwen,
g022_exception_override,22,exception_override,closure,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-1.953125,14997,conflict,-5.109375,False,False,3.15625,qwen,
g026_clean,26,clean,stable,structured_guarded,4787,4882,4787, North,clean,1,2,0.359375,4787,clean,0.359375,False,False,0.0,qwen,
g026_redundant,26,redundant,stable,structured_guarded,4787,4882,4882, South,conflict,2,1,-0.1875,4882,conflict,-0.1875,False,False,0.0,qwen,
g026_irrelevant,26,irrelevant,stable,structured_guarded,4787,4882,4882, South,conflict,2,1,-0.171875,4882,conflict,-0.171875,False,False,0.0,qwen,
g026_paraphrase,26,paraphrase,stable,structured_guarded,4787,4882,4787, North,clean,1,2,2.453125,4787,clean,2.453125,False,False,0.0,qwen,
g026_weak_distractor,26,weak_distractor,competition,structured_guarded,4787,4882,4882, South,conflict,2,1,-0.453125,4882,conflict,-0.453125,False,False,0.0,qwen,
g026_competition_balanced,26,competition_balanced,competition,structured_guarded,4787,4882,4882, South,conflict,2,1,-1.859375,4882,conflict,-1.859375,False,False,0.0,qwen,
g026_direct_conflict,26,direct_conflict,competition,structured_guarded,4787,4882,4882, South,conflict,2,1,-2.984375,4882,conflict,-2.984375,False,False,0.0,qwen,
g026_closure_update,26,closure_update,closure,structured_guarded,4787,4882,4882, South,conflict,2,1,-2.1875,4882,conflict,-3.765625,False,False,1.578125,qwen,
g026_closure_override,26,closure_override,closure,structured_guarded,4787,4882,4882, South,conflict,2,1,-1.21875,4882,conflict,-4.25,False,False,3.03125,qwen,
g026_exception_override,26,exception_override,closure,structured_guarded,4787,4882,4882, South,conflict,2,1,-0.203125,4882,conflict,-4.125,False,False,3.921875,qwen,
g030_clean,30,clean,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-1.140625,8697,conflict,-1.140625,False,False,0.0,qwen,
g030_redundant,30,redundant,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.453125,8697,conflict,-0.453125,False,False,0.0,qwen,
g030_irrelevant,30,irrelevant,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.75,8697,conflict,-0.75,False,False,0.0,qwen,
g030_paraphrase,30,paraphrase,stable,structured_guarded,3731,8697,3731, Red,clean,1,2,1.375,3731,clean,1.375,False,False,0.0,qwen,
g030_weak_distractor,30,weak_distractor,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.03125,8697,conflict,-0.03125,False,False,0.0,qwen,
g030_competition_balanced,30,competition_balanced,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-2.796875,8697,conflict,-2.796875,False,False,0.0,qwen,
g030_direct_conflict,30,direct_conflict,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-3.296875,8697,conflict,-3.296875,False,False,0.0,qwen,
g030_closure_update,30,closure_update,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-2.75,8697,conflict,-6.5625,False,False,3.8125,qwen,
g030_closure_override,30,closure_override,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.890625,8697,conflict,-6.546875,False,False,5.65625,qwen,
g030_exception_override,30,exception_override,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.5,8697,conflict,-4.484375,False,False,3.984375,qwen,
g031_clean,31,clean,stable,structured_guarded,7840,25462,25462, Yellow,conflict,2,1,-0.84375,25462,conflict,-0.84375,False,False,0.0,qwen,
g031_redundant,31,redundant,stable,structured_guarded,7840,25462,7840, Green,clean,1,2,0.03125,7840,clean,0.03125,False,False,0.0,qwen,
g031_irrelevant,31,irrelevant,stable,structured_guarded,7840,25462,25462, Yellow,conflict,2,1,-0.6875,25462,conflict,-0.6875,False,False,0.0,qwen,
g031_paraphrase,31,paraphrase,stable,structured_guarded,7840,25462,7840, Green,clean,1,2,2.140625,7840,clean,2.140625,False,False,0.0,qwen,
g031_weak_distractor,31,weak_distractor,competition,structured_guarded,7840,25462,25462, Yellow,conflict,2,1,-0.96875,25462,conflict,-0.96875,False,False,0.0,qwen,
g031_competition_balanced,31,competition_balanced,competition,structured_guarded,7840,25462,25462, Yellow,conflict,2,1,-3.09375,25462,conflict,-3.09375,False,False,0.0,qwen,
g031_direct_conflict,31,direct_conflict,competition,structured_guarded,7840,25462,25462, Yellow,conflict,2,1,-5.5,25462,conflict,-5.5,False,False,0.0,qwen,
g031_closure_update,31,closure_update,closure,structured_guarded,7840,25462,25462, Yellow,conflict,2,1,-1.953125,25462,conflict,-5.59375,False,False,3.640625,qwen,
g031_closure_override,31,closure_override,closure,structured_guarded,7840,25462,7840, Green,clean,1,2,0.609375,25462,conflict,-4.921875,True,True,5.53125,qwen,
g031_exception_override,31,exception_override,closure,structured_guarded,7840,25462,25462, Yellow,conflict,2,1,-2.453125,25462,conflict,-2.453125,False,False,0.0,qwen,
g033_clean,33,clean,stable,structured_guarded,6326,4312,4312, West,conflict,2,1,-0.59375,4312,conflict,-0.59375,False,False,0.0,qwen,
g033_redundant,33,redundant,stable,structured_guarded,6326,4312,6326, East,clean,1,2,0.640625,6326,clean,0.640625,False,False,0.0,qwen,
g033_irrelevant,33,irrelevant,stable,structured_guarded,6326,4312,6326, East,clean,1,2,0.484375,6326,clean,0.484375,False,False,0.0,qwen,
g033_paraphrase,33,paraphrase,stable,structured_guarded,6326,4312,6326, East,clean,1,2,2.203125,6326,clean,2.203125,False,False,0.0,qwen,
g033_weak_distractor,33,weak_distractor,competition,structured_guarded,6326,4312,4312, West,conflict,2,1,-0.109375,4312,conflict,-0.109375,False,False,0.0,qwen,
g033_competition_balanced,33,competition_balanced,competition,structured_guarded,6326,4312,4312, West,conflict,2,1,-1.296875,4312,conflict,-1.296875,False,False,0.0,qwen,
g033_direct_conflict,33,direct_conflict,competition,structured_guarded,6326,4312,4312, West,conflict,2,1,-3.28125,4312,conflict,-3.28125,False,False,0.0,qwen,
g033_closure_update,33,closure_update,closure,structured_guarded,6326,4312,4312, West,conflict,2,1,-2.1875,4312,conflict,-6.3125,False,False,4.125,qwen,
g033_closure_override,33,closure_override,closure,structured_guarded,6326,4312,6326, East,clean,1,2,0.796875,4312,conflict,-3.1875,True,True,3.984375,qwen,
g033_exception_override,33,exception_override,closure,structured_guarded,6326,4312,6326, East,clean,1,2,0.765625,4312,conflict,-2.71875,True,True,3.484375,qwen,
g039_clean,39,clean,stable,structured_guarded,6326,4312,4312, West,conflict,2,1,-0.390625,4312,conflict,-0.390625,False,False,0.0,qwen,
g039_redundant,39,redundant,stable,structured_guarded,6326,4312,6326, East,clean,1,2,1.140625,6326,clean,1.140625,False,False,0.0,qwen,
g039_irrelevant,39,irrelevant,stable,structured_guarded,6326,4312,6326, East,clean,1,2,0.921875,6326,clean,0.921875,False,False,0.0,qwen,
g039_paraphrase,39,paraphrase,stable,structured_guarded,6326,4312,6326, East,clean,1,2,2.703125,6326,clean,2.703125,False,False,0.0,qwen,
g039_weak_distractor,39,weak_distractor,competition,structured_guarded,6326,4312,4312, West,conflict,2,1,-0.75,4312,conflict,-0.75,False,False,0.0,qwen,
g039_competition_balanced,39,competition_balanced,competition,structured_guarded,6326,4312,4312, West,conflict,2,1,-1.078125,4312,conflict,-1.078125,False,False,0.0,qwen,
g039_direct_conflict,39,direct_conflict,competition,structured_guarded,6326,4312,4312, West,conflict,2,1,-4.03125,4312,conflict,-4.03125,False,False,0.0,qwen,
g039_closure_update,39,closure_update,closure,structured_guarded,6326,4312,4312, West,conflict,2,1,-0.890625,4312,conflict,-6.1875,False,False,5.296875,qwen,
g039_closure_override,39,closure_override,closure,structured_guarded,6326,4312,6326, East,clean,1,2,0.921875,4312,conflict,-4.671875,True,True,5.59375,qwen,
g039_exception_override,39,exception_override,closure,structured_guarded,6326,4312,6326, East,clean,1,2,0.609375,4312,conflict,-3.671875,True,True,4.28125,qwen,
g040_clean,40,clean,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,2.078125,42540,clean,2.078125,False,False,0.0,qwen,
g040_redundant,40,redundant,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,2.46875,42540,clean,2.46875,False,False,0.0,qwen,
g040_irrelevant,40,irrelevant,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,0.296875,42540,clean,0.296875,False,False,0.0,qwen,
g040_paraphrase,40,paraphrase,stable,structured_guarded,42540,14997,42540, Copper,clean,1,2,2.96875,42540,clean,2.96875,False,False,0.0,qwen,
g040_weak_distractor,40,weak_distractor,competition,structured_guarded,42540,14997,42540, Copper,clean,1,2,0.0625,42540,clean,0.0625,False,False,0.0,qwen,
g040_competition_balanced,40,competition_balanced,competition,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-3.046875,14997,conflict,-3.046875,False,False,0.0,qwen,
g040_direct_conflict,40,direct_conflict,competition,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-4.09375,14997,conflict,-4.09375,False,False,0.0,qwen,
g040_closure_update,40,closure_update,closure,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-1.4375,14997,conflict,-6.0,False,False,4.5625,qwen,
g040_closure_override,40,closure_override,closure,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-1.765625,14997,conflict,-8.53125,False,False,6.765625,qwen,
g040_exception_override,40,exception_override,closure,structured_guarded,42540,14997,14997, Silver,conflict,2,1,-0.984375,14997,conflict,-5.75,False,False,4.765625,qwen,
g042_clean,42,clean,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-2.015625,8697,conflict,-2.015625,False,False,0.0,qwen,
g042_redundant,42,redundant,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.953125,8697,conflict,-0.953125,False,False,0.0,qwen,
g042_irrelevant,42,irrelevant,stable,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-1.0625,8697,conflict,-1.0625,False,False,0.0,qwen,
g042_paraphrase,42,paraphrase,stable,structured_guarded,3731,8697,3731, Red,clean,1,2,1.53125,3731,clean,1.53125,False,False,0.0,qwen,
g042_weak_distractor,42,weak_distractor,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.421875,8697,conflict,-0.421875,False,False,0.0,qwen,
g042_competition_balanced,42,competition_balanced,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-2.515625,8697,conflict,-2.515625,False,False,0.0,qwen,
g042_direct_conflict,42,direct_conflict,competition,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-3.484375,8697,conflict,-3.484375,False,False,0.0,qwen,
g042_closure_update,42,closure_update,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-2.34375,8697,conflict,-5.71875,False,False,3.375,qwen,
g042_closure_override,42,closure_override,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-1.0,8697,conflict,-6.46875,False,False,5.46875,qwen,
g042_exception_override,42,exception_override,closure,structured_guarded,3731,8697,8697, Blue,conflict,2,1,-0.1875,8697,conflict,-5.03125,False,False,4.84375,qwen,
g045_clean,45,clean,stable,structured_guarded,6326,4312,4312, West,conflict,2,1,-0.234375,4312,conflict,-0.234375,False,False,0.0,qwen,
g045_redundant,45,redundant,stable,structured_guarded,6326,4312,6326, East,clean,1,2,0.625,6326,clean,0.625,False,False,0.0,qwen,
g045_irrelevant,45,irrelevant,stable,structured_guarded,6326,4312,4312, West,conflict,2,1,-0.515625,4312,conflict,-0.515625,False,False,0.0,qwen,
g045_paraphrase,45,paraphrase,stable,structured_guarded,6326,4312,6326, East,clean,1,2,2.0625,6326,clean,2.0625,False,False,0.0,qwen,
g045_weak_distractor,45,weak_distractor,competition,structured_guarded,6326,4312,6326, East,clean,1,2,0.28125,6326,clean,0.28125,False,False,0.0,qwen,
g045_competition_balanced,45,competition_balanced,competition,structured_guarded,6326,4312,4312, West,conflict,2,1,-0.875,4312,conflict,-0.875,False,False,0.0,qwen,
g045_direct_conflict,45,direct_conflict,competition,structured_guarded,6326,4312,4312, West,conflict,2,1,-4.25,4312,conflict,-4.25,False,False,0.0,qwen,
g045_closure_update,45,closure_update,closure,structured_guarded,6326,4312,4312, West,conflict,2,1,-1.4375,4312,conflict,-5.203125,False,False,3.765625,qwen,
g045_closure_override,45,closure_override,closure,structured_guarded,6326,4312,6326, East,clean,1,2,0.8125,4312,conflict,-3.59375,True,True,4.40625,qwen,
g045_exception_override,45,exception_override,closure,structured_guarded,6326,4312,6326, East,clean,1,2,1.015625,4312,conflict,-3.953125,True,True,4.96875,qwen,
g053_clean,53,clean,stable,structured_guarded,7421,16570,16570, Iron,conflict,2,1,-2.390625,16570,conflict,-2.390625,False,False,0.0,qwen,
g053_redundant,53,redundant,stable,structured_guarded,7421,16570,16570, Iron,conflict,2,1,-1.796875,16570,conflict,-1.796875,False,False,0.0,qwen,
g053_irrelevant,53,irrelevant,stable,structured_guarded,7421,16570,16570, Iron,conflict,2,1,-3.5625,16570,conflict,-3.5625,False,False,0.0,qwen,
g053_paraphrase,53,paraphrase,stable,structured_guarded,7421,16570,7421, Gold,clean,1,2,3.640625,7421,clean,3.640625,False,False,0.0,qwen,
g053_weak_distractor,53,weak_distractor,competition,structured_guarded,7421,16570,16570, Iron,conflict,2,1,-5.5,16570,conflict,-5.5,False,False,0.0,qwen,
g053_competition_balanced,53,competition_balanced,competition,structured_guarded,7421,16570,16570, Iron,conflict,2,1,-7.203125,16570,conflict,-7.203125,False,False,0.0,qwen,
g053_direct_conflict,53,direct_conflict,competition,structured_guarded,7421,16570,16570, Iron,conflict,2,1,-9.046875,16570,conflict,-9.046875,False,False,0.0,qwen,
