prompt_id,graph_id,condition,mechanism,split
g008_irrelevant,8,irrelevant,stable,train
g008_paraphrase,8,paraphrase,stable,train
g008_weak_distractor,8,weak_distractor,competition,train
g008_competition_balanced,8,competition_balanced,competition,train
g008_direct_conflict,8,direct_conflict,competition,train
g008_closure_update,8,closure_update,closure,train
g008_closure_override,8,closure_override,closure,train
g008_exception_override,8,exception_override,closure,train
g009_clean,9,clean,stable,test
g009_redundant,9,redundant,stable,test
g009_irrelevant,9,irrelevant,stable,test
g009_paraphrase,9,paraphrase,stable,test
g009_weak_distractor,9,weak_distractor,competition,test
g009_competition_balanced,9,competition_balanced,competition,test
g009_direct_conflict,9,direct_conflict,competition,test
g009_closure_update,9,closure_update,closure,test
g009_closure_override,9,closure_override,closure,test
g009_exception_override,9,exception_override,closure,test
g010_clean,10,clean,stable,test
g010_redundant,10,redundant,stable,test
g010_irrelevant,10,irrelevant,stable,test
g010_paraphrase,10,paraphrase,stable,test
g010_weak_distractor,10,weak_distractor,competition,test
g010_competition_balanced,10,competition_balanced,competition,test
g010_direct_conflict,10,direct_conflict,competition,test
g010_closure_update,10,closure_update,closure,test
g010_closure_override,10,closure_override,closure,test
g010_exception_override,10,exception_override,closure,test
g011_clean,11,clean,stable,test
g011_redundant,11,redundant,stable,test
g011_irrelevant,11,irrelevant,stable,test
g011_paraphrase,11,paraphrase,stable,test
g011_weak_distractor,11,weak_distractor,competition,test
g011_competition_balanced,11,competition_balanced,competition,test
g011_direct_conflict,11,direct_conflict,competition,test
g011_closure_update,11,closure_update,closure,test
g011_closure_override,11,closure_override,closure,test
g011_exception_override,11,exception_override,closure,test
g012_clean,12,clean,stable,test
g012_redundant,12,redundant,stable,test
g012_irrelevant,12,irrelevant,stable,test
g012_paraphrase,12,paraphrase,stable,test
g012_weak_distractor,12,weak_distractor,competition,test
g012_competition_balanced,12,competition_balanced,competition,test
g012_direct_conflict,12,direct_conflict,competition,test
g012_closure_update,12,closure_update,closure,test
g012_closure_override,12,closure_override,closure,test
g012_exception_override,12,exception_override,closure,test
g013_clean,13,clean,stable,train
g013_redundant,13,redundant,stable,train
g013_irrelevant,13,irrelevant,stable,train
g013_paraphrase,13,paraphrase,stable,train
g013_weak_distractor,13,weak_distractor,competition,train
g013_competition_balanced,13,competition_balanced,competition,train
g013_direct_conflict,13,direct_conflict,competition,train
g013_closure_update,13,closure_update,closure,train
g013_closure_override,13,closure_override,closure,train
g013_exception_override,13,exception_override,closure,train
g014_clean,14,clean,stable,train
g014_redundant,14,redundant,stable,train
g014_irrelevant,14,irrelevant,stable,train
g014_paraphrase,14,paraphrase,stable,train
g014_weak_distractor,14,weak_distractor,competition,train
g014_competition_balanced,14,competition_balanced,competition,train
g014_direct_conflict,14,direct_conflict,competition,train
g014_closure_update,14,closure_update,closure,train
g014_closure_override,14,closure_override,closure,train
g014_exception_override,14,exception_override,closure,train
g015_clean,15,clean,stable,test
g015_redundant,15,redundant,stable,test
g015_irrelevant,15,irrelevant,stable,test
g015_paraphrase,15,paraphrase,stable,test
g015_weak_distractor,15,weak_distractor,competition,test
g015_competition_balanced,15,competition_balanced,competition,test
g015_direct_conflict,15,direct_conflict,competition,test
g015_closure_update,15,closure_update,closure,test
g015_closure_override,15,closure_override,closure,test
g015_exception_override,15,exception_override,closure,test
g016_clean,16,clean,stable,train
g016_redundant,16,redundant,stable,train
g016_irrelevant,16,irrelevant,stable,train
g016_paraphrase,16,paraphrase,stable,train
g016_weak_distractor,16,weak_distractor,competition,train
g016_competition_balanced,16,competition_balanced,competition,train
g016_direct_conflict,16,direct_conflict,competition,train
g016_closure_update,16,closure_update,closure,train
g016_closure_override,16,closure_override,closure,train
g016_exception_override,16,exception_override,closure,train
g017_clean,17,clean,stable,train
g017_redundant,17,redundant,stable,train
g017_irrelevant,17,irrelevant,stable,train
g017_paraphrase,17,paraphrase,stable,train
g017_weak_distractor,17,weak_distractor,competition,train
g017_competition_balanced,17,competition_balanced,competition,train
g017_direct_conflict,17,direct_conflict,competition,train
g017_closure_update,17,closure_update,closure,train
g017_closure_override,17,closure_override,closure,train
g017_exception_override,17,exception_override,closure,train
g018_clean,18,clean,stable,test
g018_redundant,18,redundant,stable,test
g018_irrelevant,18,irrelevant,stable,test
g018_paraphrase,18,paraphrase,stable,test
g018_weak_distractor,18,weak_distractor,competition,test
g018_competition_balanced,18,competition_balanced,competition,test
g018_direct_conflict,18,direct_conflict,competition,test
g018_closure_update,18,closure_update,closure,test
g018_closure_override,18,closure_override,closure,test
g018_exception_override,18,exception_override,closure,test
g019_clean,19,clean,stable,train
g019_redundant,19,redundant,stable,train
g019_irrelevant,19,irrelevant,stable,train
g019_paraphrase,19,paraphrase,stable,train
g019_weak_distractor,19,weak_distractor,competition,train
g019_competition_balanced,19,competition_balanced,competition,train
g019_direct_conflict,19,direct_conflict,competition,train
g019_closure_update,19,closure_update,closure,train
g019_closure_override,19,closure_override,closure,train
g019_exception_override,19,exception_override,closure,train
g020_clean,20,clean,stable,train
g020_redundant,20,redundant,stable,train
g020_irrelevant,20,irrelevant,stable,train
g020_paraphrase,20,paraphrase,stable,train
g020_weak_distractor,20,weak_distractor,competition,train
g020_competition_balanced,20,competition_balanced,competition,train
g020_direct_conflict,20,direct_conflict,competition,train
g020_closure_update,20,closure_update,closure,train
g020_closure_override,20,closure_override,closure,train
g020_exception_override,20,exception_override,closure,train
g021_clean,21,clean,stable,train
g021_redundant,21,redundant,stable,train
g021_irrelevant,21,irrelevant,stable,train
g021_paraphrase,21,paraphrase,stable,train
g021_weak_distractor,21,weak_distractor,competition,train
g021_competition_balanced,21,competition_balanced,competition,train
g021_direct_conflict,21,direct_conflict,competition,train
g021_closure_update,21,closure_update,closure,train
g021_closure_override,21,closure_override,closure,train
g021_exception_override,21,exception_override,closure,train
g022_clean,22,clean,stable,test
g022_redundant,22,redundant,stable,test
g022_irrelevant,22,irrelevant,stable,test
g022_paraphrase,22,paraphrase,stable,test
g022_weak_distractor,22,weak_distractor,competition,test
g022_competition_balanced,22,competition_balanced,competition,test
g022_direct_conflict,22,direct_conflict,competition,test
g022_closure_update,22,closure_update,closure,test
g022_closure_override,22,closure_override,closure,test
g022_exception_override,22,exception_override,closure,test
g023_clean,23,clean,stable,train
g023_redundant,23,redundant,stable,train
g023_irrelevant,23,irrelevant,stable,train
g023_paraphrase,23,paraphrase,stable,train
g023_weak_distractor,23,weak_distractor,competition,train
g023_competition_balanced,23,competition_balanced,competition,train
g023_direct_conflict,23,direct_conflict,competition,train
g023_closure_update,23,closure_update,closure,train
g023_closure_override,23,closure_override,closure,train
g023_exception_override,23,exception_override,closure,train
g024_clean,24,clean,stable,train
g024_redundant,24,redundant,stable,train
g024_irrelevant,24,irrelevant,stable,train
g024_paraphrase,24,paraphrase,stable,train
g024_weak_distractor,24,weak_distractor,competition,train
g024_competition_balanced,24,competition_balanced,competition,train
g024_direct_conflict,24,direct_conflict,competition,train
g024_closure_update,24,closure_update,closure,train
g024_closure_override,24,closure_override,closure,train
g024_exception_override,24,exception_override,closure,train
g025_clean,25,clean,stable,train
g025_redundant,25,redundant,stable,train
g025_irrelevant,25,irrelevant,stable,train
g025_paraphrase,25,paraphrase,stable,train
g025_weak_distractor,25,weak_distractor,competition,train
g025_competition_balanced,25,competition_balanced,competition,train
g025_direct_conflict,25,direct_conflict,competition,train
g025_closure_update,25,closure_update,closure,train
g025_closure_override,25,closure_override,closure,train
g025_exception_override,25,exception_override,closure,train
g026_clean,26,clean,stable,test
g026_redundant,26,redundant,stable,test
g026_irrelevant,26,irrelevant,stable,test
g026_paraphrase,26,paraphrase,stable,test
g026_weak_distractor,26,weak_distractor,competition,test
g026_competition_balanced,26,competition_balanced,competition,test
g026_direct_conflict,26,direct_conflict,competition,test
g026_closure_update,26,closure_update,closure,test
g026_closure_override,26,closure_override,closure,test
g026_exception_override,26,exception_override,closure,test
g027_clean,27,clean,stable,train
g027_redundant,27,redundant,stable,train
g027_irrelevant,27,irrelevant,stable,train
g027_paraphrase,27,paraphrase,stable,train
g027_weak_distractor,27,weak_distractor,competition,train
g027_competition_balanced,27,competition_balanced,competition,train
g027_direct_conflict,27,direct_conflict,competition,train
g027_closure_update,27,closure_update,closure,train
g027_closure_override,27,closure_override,closure,train
g027_exception_override,27,exception_override,closure,train
g028_clean,28,clean,stable,train
g028_redundant,28,redundant,stable,train
g028_irrelevant,28,irrelevant,stable,train
g028_paraphrase,28,paraphrase,stable,train
g028_weak_distractor,28,weak_distractor,competition,train
g028_competition_balanced,28,competition_balanced,competition,train
g028_direct_conflict,28,direct_conflict,competition,train
g028_closure_update,28,closure_update,closure,train
g028_closure_override,28,closure_override,closure,train
g028_exception_override,28,exception_override,closure,train
g029_clean,29,clean,stable,train
g029_redundant,29,redundant,stable,train
g029_irrelevant,29,irrelevant,stable,train
g029_paraphrase,29,paraphrase,stable,train
g029_weak_distractor,29,weak_distractor,competition,train
g029_competition_balanced,29,competition_balanced,competition,train
g029_direct_conflict,29,direct_conflict,competition,train
g029_closure_update,29,closure_update,closure,train
g029_closure_override,29,closure_override,closure,train
g029_exception_override,29,exception_override,closure,train
g030_clean,30,clean,stable,test
g030_redundant,30,redundant,stable,test
g030_irrelevant,30,irrelevant,stable,test
g030_paraphrase,30,paraphrase,stable,test
g030_weak_distractor,30,weak_distractor,competition,test
g030_competition_balanced,30,competition_balanced,competition,test
g030_direct_conflict,30,direct_conflict,competition,test
g030_closure_update,30,closure_update,closure,test
g030_closure_override,30,closure_override,closure,test
g030_exception_override,30,exception_override,closure,test
g031_clean,31,clean,stable,test
g031_redundant,31,redundant,stable,test
g031_irrelevant,31,irrelevant,stable,test
g031_paraphrase,31,paraphrase,stable,test
g031_weak_distractor,31,weak_distractor,competition,test
g031_competition_balanced,31,competition_balanced,competition,test
g031_direct_conflict,31,direct_conflict,competition,test
g031_closure_update,31,closure_update,closure,test
g031_closure_override,31,closure_override,closure,test
g031_exception_override,31,exception_override,closure,test
g032_clean,32,clean,stable,train
g032_redundant,32,redundant,stable,train
g032_irrelevant,32,irrelevant,stable,train
g032_paraphrase,32,paraphrase,stable,train
g032_weak_distractor,32,weak_distractor,competition,train
g032_competition_balanced,32,competition_balanced,competition,train
g032_direct_conflict,32,direct_conflict,competition,train
g032_closure_update,32,closure_update,closure,train
g032_closure_override,32,closure_override,closure,train
g032_exception_override,32,exception_override,closure,train
g033_clean,33,clean,stable,test
g033_redundant,33,redundant,stable,test
g033_irrelevant,33,irrelevant,stable,test
g033_paraphrase,33,paraphrase,stable,test
g033_weak_distractor,33,weak_distractor,competition,test
g033_competition_balanced,33,competition_balanced,competition,test
g033_direct_conflict,33,direct_conflict,competition,test
g033_closure_update,33,closure_update,closure,test
g033_closure_override,33,closure_override,closure,test
g033_exception_override,33,exception_override,closure,test
g034_clean,34,clean,stable,train
g034_redundant,34,redundant,stable,train
g034_irrelevant,34,irrelevant,stable,train
g034_paraphrase,34,paraphrase,stable,train
g034_weak_distractor,34,weak_distractor,competition,train
g034_competition_balanced,34,competition_balanced,competition,train
g034_direct_conflict,34,direct_conflict,competition,train
g034_closure_update,34,closure_update,closure,train
g034_closure_override,34,closure_override,closure,train
g034_exception_override,34,exception_override,closure,train
g035_clean,35,clean,stable,train
g035_redundant,35,redundant,stable,train
g035_irrelevant,35,irrelevant,stable,train
g035_paraphrase,35,paraphrase,stable,train
g035_weak_distractor,35,weak_distractor,competition,train
g035_competition_balanced,35,competition_balanced,competition,train
g035_direct_conflict,35,direct_conflict,competition,train
g035_closure_update,35,closure_update,closure,train
g035_closure_override,35,closure_override,closure,train
g035_exception_override,35,exception_override,closure,train
g036_clean,36,clean,stable,train
g036_redundant,36,redundant,stable,train
g036_irrelevant,36,irrelevant,stable,train
g036_paraphrase,36,paraphrase,stable,train
g036_weak_distractor,36,weak_distractor,competition,train
g036_competition_balanced,36,competition_balanced,competition,train
g036_direct_conflict,36,direct_conflict,competition,train
g036_closure_update,36,closure_update,closure,train
g036_closure_override,36,closure_override,closure,train
g036_exception_override,36,exception_override,closure,train
g037_clean,37,clean,stable,train
g037_redundant,37,redundant,stable,train
g037_irrelevant,37,irrelevant,stable,train
g037_paraphrase,37,paraphrase,stable,train
g037_weak_distractor,37,weak_distractor,competition,train
g037_competition_balanced,37,competition_balanced,competition,train
g037_direct_conflict,37,direct_conflict,competition,train
g037_closure_update,37,closure_update,closure,train
g037_closure_override,37,closure_override,closure,train
g037_exception_override,37,exception_override,closure,train
g038_clean,38,clean,stable,train
g038_redundant,38,redundant,stable,train
g038_irrelevant,38,irrelevant,stable,train
g038_paraphrase,38,paraphrase,stable,train
g038_weak_distractor,38,weak_distractor,competition,train
g038_competition_balanced,38,competition_balanced,competition,train
g038_direct_conflict,38,direct_conflict,competition,train
g038_closure_update,38,closure_update,closure,train
g038_closure_override,38,closure_override,closure,train
g038_exception_override,38,exception_override,closure,train
g039_clean,39,clean,stable,test
g039_redundant,39,redundant,stable,test
g039_irrelevant,39,irrelevant,stable,test
g039_paraphrase,39,paraphrase,stable,test
g039_weak_distractor,39,weak_distractor,competition,test
g039_competition_balanced,39,competition_balanced,competition,test
g039_direct_conflict,39,direct_conflict,competition,test
g039_closure_update,39,closure_update,closure,test
g039_closure_override,39,closure_override,closure,test
g039_exception_override,39,exception_override,closure,test
g040_clean,40,clean,stable,test
g040_redundant,40,redundant,stable,test
g040_irrelevant,40,irrelevant,stable,test
g040_paraphrase,40,paraphrase,stable,test
g040_weak_distractor,40,weak_distractor,competition,test
g040_competition_balanced,40,competition_balanced,competition,test
g040_direct_conflict,40,direct_conflict,competition,test
g040_closure_update,40,closure_update,closure,test
g040_closure_override,40,closure_override,closure,test
g040_exception_override,40,exception_override,closure,test
g041_clean,41,clean,stable,train
g041_redundant,41,redundant,stable,train
g041_irrelevant,41,irrelevant,stable,train
g041_paraphrase,41,paraphrase,stable,train
g041_weak_distractor,41,weak_distractor,competition,train
g041_competition_balanced,41,competition_balanced,competition,train
g041_direct_conflict,41,direct_conflict,competition,train
g041_closure_update,41,closure_update,closure,train
g041_closure_override,41,closure_override,closure,train
g041_exception_override,41,exception_override,closure,train
g042_clean,42,clean,stable,test
g042_redundant,42,redundant,stable,test
g042_irrelevant,42,irrelevant,stable,test
g042_paraphrase,42,paraphrase,stable,test
g042_weak_distractor,42,weak_distractor,competition,test
g042_competition_balanced,42,competition_balanced,competition,test
g042_direct_conflict,42,direct_conflict,competition,test
g042_closure_update,42,closure_update,closure,test
g042_closure_override,42,closure_override,closure,test
g042_exception_override,42,exception_override,closure,test
g043_clean,43,clean,stable,train
g043_redundant,43,redundant,stable,train
g043_irrelevant,43,irrelevant,stable,train
g043_paraphrase,43,paraphrase,stable,train
g043_weak_distractor,43,weak_distractor,competition,train
g043_competition_balanced,43,competition_balanced,competition,train
g043_direct_conflict,43,direct_conflict,competition,train
g043_closure_update,43,closure_update,closure,train
g043_closure_override,43,closure_override,closure,train
g043_exception_override,43,exception_override,closure,train
g044_clean,44,clean,stable,train
g044_redundant,44,redundant,stable,train
g044_irrelevant,44,irrelevant,stable,train
g044_paraphrase,44,paraphrase,stable,train
g044_weak_distractor,44,weak_distractor,competition,train
g044_competition_balanced,44,competition_balanced,competition,train
g044_direct_conflict,44,direct_conflict,competition,train
g044_closure_update,44,closure_update,closure,train
g044_closure_override,44,closure_override,closure,train
g044_exception_override,44,exception_override,closure,train
g045_clean,45,clean,stable,test
g045_redundant,45,redundant,stable,test
g045_irrelevant,45,irrelevant,stable,test
g045_paraphrase,45,paraphrase,stable,test
g045_weak_distractor,45,weak_distractor,competition,test
g045_competition_balanced,45,competition_balanced,competition,test
g045_direct_conflict,45,direct_conflict,competition,test
g045_closure_update,45,closure_update,closure,test
g045_closure_override,45,closure_override,closure,test
g045_exception_override,45,exception_override,closure,test
g046_clean,46,clean,stable,train
g046_redundant,46,redundant,stable,train
g046_irrelevant,46,irrelevant,stable,train
g046_paraphrase,46,paraphrase,stable,train
g046_weak_distractor,46,weak_distractor,competition,train
g046_competition_balanced,46,competition_balanced,competition,train
g046_direct_conflict,46,direct_conflict,competition,train
g046_closure_update,46,closure_update,closure,train
g046_closure_override,46,closure_override,closure,train
g046_exception_override,46,exception_override,closure,train
g047_clean,47,clean,stable,train
g047_redundant,47,redundant,stable,train
g047_irrelevant,47,irrelevant,stable,train
g047_paraphrase,47,paraphrase,stable,train
g047_weak_distractor,47,weak_distractor,competition,train
g047_competition_balanced,47,competition_balanced,competition,train
g047_direct_conflict,47,direct_conflict,competition,train
g047_closure_update,47,closure_update,closure,train
g047_closure_override,47,closure_override,closure,train
g047_exception_override,47,exception_override,closure,train
g048_clean,48,clean,stable,train
g048_redundant,48,redundant,stable,train
g048_irrelevant,48,irrelevant,stable,train
g048_paraphrase,48,paraphrase,stable,train
g048_weak_distractor,48,weak_distractor,competition,train
g048_competition_balanced,48,competition_balanced,competition,train
g048_direct_conflict,48,direct_conflict,competition,train
g048_closure_update,48,closure_update,closure,train
g048_closure_override,48,closure_override,closure,train
g048_exception_override,48,exception_override,closure,train
g049_clean,49,clean,stable,train
g049_redundant,49,redundant,stable,train
g049_irrelevant,49,irrelevant,stable,train
g049_paraphrase,49,paraphrase,stable,train
g049_weak_distractor,49,weak_distractor,competition,train
g049_competition_balanced,49,competition_balanced,competition,train
g049_direct_conflict,49,direct_conflict,competition,train
g049_closure_update,49,closure_update,closure,train
g049_closure_override,49,closure_override,closure,train
g049_exception_override,49,exception_override,closure,train
g050_clean,50,clean,stable,train
g050_redundant,50,redundant,stable,train
g050_irrelevant,50,irrelevant,stable,train
g050_paraphrase,50,paraphrase,stable,train
g050_weak_distractor,50,weak_distractor,competition,train
g050_competition_balanced,50,competition_balanced,competition,train
g050_direct_conflict,50,direct_conflict,competition,train
g050_closure_update,50,closure_update,closure,train
g050_closure_override,50,closure_override,closure,train
g050_exception_override,50,exception_override,closure,train
g051_clean,51,clean,stable,train
g051_redundant,51,redundant,stable,train
g051_irrelevant,51,irrelevant,stable,train
g051_paraphrase,51,paraphrase,stable,train
g051_weak_distractor,51,weak_distractor,competition,train
g051_competition_balanced,51,competition_balanced,competition,train
g051_direct_conflict,51,direct_conflict,competition,train
g051_closure_update,51,closure_update,closure,train
g051_closure_override,51,closure_override,closure,train
g051_exception_override,51,exception_override,closure,train
g052_clean,52,clean,stable,train
g052_redundant,52,redundant,stable,train
g052_irrelevant,52,irrelevant,stable,train
g052_paraphrase,52,paraphrase,stable,train
g052_weak_distractor,52,weak_distractor,competition,train
g052_competition_balanced,52,competition_balanced,competition,train
g052_direct_conflict,52,direct_conflict,competition,train
g052_closure_update,52,closure_update,closure,train
g052_closure_override,52,closure_override,closure,train
g052_exception_override,52,exception_override,closure,train
g053_clean,53,clean,stable,test
g053_redundant,53,redundant,stable,test
g053_irrelevant,53,irrelevant,stable,test
g053_paraphrase,53,paraphrase,stable,test
g053_weak_distractor,53,weak_distractor,competition,test
g053_competition_balanced,53,competition_balanced,competition,test
g053_direct_conflict,53,direct_conflict,competition,test
g053_closure_update,53,closure_update,closure,test
g053_closure_override,53,closure_override,closure,test
g053_exception_override,53,exception_override,closure,test
g054_clean,54,clean,stable,train
g054_redundant,54,redundant,stable,train
g054_irrelevant,54,irrelevant,stable,train
g054_paraphrase,54,paraphrase,stable,train
g054_weak_distractor,54,weak_distractor,competition,train
g054_competition_balanced,54,competition_balanced,competition,train
g054_direct_conflict,54,direct_conflict,competition,train
g054_closure_update,54,closure_update,closure,train
g054_closure_override,54,closure_override,closure,train
g054_exception_override,54,exception_override,closure,train
g055_clean,55,clean,stable,train
g055_redundant,55,redundant,stable,train
g055_irrelevant,55,irrelevant,stable,train
g055_paraphrase,55,paraphrase,stable,train
g055_weak_distractor,55,weak_distractor,competition,train
g055_competition_balanced,55,competition_balanced,competition,train
g055_direct_conflict,55,direct_conflict,competition,train
g055_closure_update,55,closure_update,closure,train
g055_closure_override,55,closure_override,closure,train
g055_exception_override,55,exception_override,closure,train
g056_clean,56,clean,stable,train
g056_redundant,56,redundant,stable,train
g056_irrelevant,56,irrelevant,stable,train
g056_paraphrase,56,paraphrase,stable,train
g056_weak_distractor,56,weak_distractor,competition,train
g056_competition_balanced,56,competition_balanced,competition,train
g056_direct_conflict,56,direct_conflict,competition,train
g056_closure_update,56,closure_update,closure,train
g056_closure_override,56,closure_override,closure,train
g056_exception_override,56,exception_override,closure,train
g057_clean,57,clean,stable,train
g057_redundant,57,redundant,stable,train
g057_irrelevant,57,irrelevant,stable,train
g057_paraphrase,57,paraphrase,stable,train
g057_weak_distractor,57,weak_distractor,competition,train
g057_competition_balanced,57,competition_balanced,competition,train
g057_direct_conflict,57,direct_conflict,competition,train
g057_closure_update,57,closure_update,closure,train
g057_closure_override,57,closure_override,closure,train
g057_exception_override,57,exception_override,closure,train
g058_clean,58,clean,stable,train
g058_redundant,58,redundant,stable,train
g058_irrelevant,58,irrelevant,stable,train
g058_paraphrase,58,paraphrase,stable,train
g058_weak_distractor,58,weak_distractor,competition,train
g058_competition_balanced,58,competition_balanced,competition,train
g058_direct_conflict,58,direct_conflict,competition,train
g058_closure_update,58,closure_update,closure,train
g058_closure_override,58,closure_override,closure,train
g058_exception_override,58,exception_override,closure,train
g059_clean,59,clean,stable,train
g059_redundant,59,redundant,stable,train
g059_irrelevant,59,irrelevant,stable,train
g059_paraphrase,59,paraphrase,stable,train
g059_weak_distractor,59,weak_distractor,competition,train
g059_competition_balanced,59,competition_balanced,competition,train
g059_direct_conflict,59,direct_conflict,competition,train
g059_closure_update,59,closure_update,closure,train
g059_closure_override,59,closure_override,closure,train
g059_exception_override,59,exception_override,closure,train
g060_clean,60,clean,stable,train
g060_redundant,60,redundant,stable,train
g060_irrelevant,60,irrelevant,stable,train
g060_paraphrase,60,paraphrase,stable,train
g060_weak_distractor,60,weak_distractor,competition,train
g060_competition_balanced,60,competition_balanced,competition,train
g060_direct_conflict,60,direct_conflict,competition,train
g060_closure_update,60,closure_update,closure,train
g060_closure_override,60,closure_override,closure,train
g060_exception_override,60,exception_override,closure,train
g061_clean,61,clean,stable,train
g061_redundant,61,redundant,stable,train
g061_irrelevant,61,irrelevant,stable,train
g061_paraphrase,61,paraphrase,stable,train
g061_weak_distractor,61,weak_distractor,competition,train
g061_competition_balanced,61,competition_balanced,competition,train
g061_direct_conflict,61,direct_conflict,competition,train
g061_closure_update,61,closure_update,closure,train
g061_closure_override,61,closure_override,closure,train
g061_exception_override,61,exception_override,closure,train
g062_clean,62,clean,stable,train
g062_redundant,62,redundant,stable,train
g062_irrelevant,62,irrelevant,stable,train
g062_paraphrase,62,paraphrase,stable,train
g062_weak_distractor,62,weak_distractor,competition,train
g062_competition_balanced,62,competition_balanced,competition,train
g062_direct_conflict,62,direct_conflict,competition,train
g062_closure_update,62,closure_update,closure,train
g062_closure_override,62,closure_override,closure,train
g062_exception_override,62,exception_override,closure,train
g063_clean,63,clean,stable,train
g063_redundant,63,redundant,stable,train
g063_irrelevant,63,irrelevant,stable,train
g063_paraphrase,63,paraphrase,stable,train
g063_weak_distractor,63,weak_distractor,competition,train
g063_competition_balanced,63,competition_balanced,competition,train
g063_direct_conflict,63,direct_conflict,competition,train
g063_closure_update,63,closure_update,closure,train
g063_closure_override,63,closure_override,closure,train
g063_exception_override,63,exception_override,closure,train
g064_clean,64,clean,stable,test
g064_redundant,64,redundant,stable,test
g064_irrelevant,64,irrelevant,stable,test
g064_paraphrase,64,paraphrase,stable,test
g064_weak_distractor,64,weak_distractor,competition,test
g064_competition_balanced,64,competition_balanced,competition,test
g064_direct_conflict,64,direct_conflict,competition,test
g064_closure_update,64,closure_update,closure,test
g064_closure_override,64,closure_override,closure,test
g064_exception_override,64,exception_override,closure,test
g065_clean,65,clean,stable,train
g065_redundant,65,redundant,stable,train
g065_irrelevant,65,irrelevant,stable,train
g065_paraphrase,65,paraphrase,stable,train
g065_weak_distractor,65,weak_distractor,competition,train
g065_competition_balanced,65,competition_balanced,competition,train
g065_direct_conflict,65,direct_conflict,competition,train
g065_closure_update,65,closure_update,closure,train
g065_closure_override,65,closure_override,closure,train
g065_exception_override,65,exception_override,closure,train
g066_clean,66,clean,stable,train
g066_redundant,66,redundant,stable,train
g066_irrelevant,66,irrelevant,stable,train
g066_paraphrase,66,paraphrase,stable,train
