"model_f","prompt_id","graph_id","control","margin"
"Qwen","g042_closure_update",42,"Mechanism-aware policy",-3.546875
"Qwen","g042_closure_override",42,"No intervention",-6.46875
"Qwen","g042_closure_override",42,"Mechanism-aware policy",-3.359375
"Qwen","g042_exception_override",42,"No intervention",-5.03125
"Qwen","g042_exception_override",42,"Mechanism-aware policy",-1.84375
"Qwen","g045_closure_update",45,"No intervention",-5.203125
"Qwen","g045_closure_update",45,"Mechanism-aware policy",-3.109375
"Qwen","g045_closure_override",45,"No intervention",-3.59375
"Qwen","g045_closure_override",45,"Mechanism-aware policy",-2.640625
"Qwen","g045_exception_override",45,"No intervention",-3.953125
"Qwen","g045_exception_override",45,"Mechanism-aware policy",-1.984375
"Qwen","g053_closure_update",53,"No intervention",-8.734375
"Qwen","g053_closure_update",53,"Mechanism-aware policy",-5.890625
"Qwen","g053_closure_override",53,"No intervention",-6.609375
"Qwen","g053_closure_override",53,"Mechanism-aware policy",-3.09375
"Qwen","g053_exception_override",53,"No intervention",-5.171875
"Qwen","g053_exception_override",53,"Mechanism-aware policy",-2.125
"Qwen","g064_closure_update",64,"No intervention",-1.609375
"Qwen","g064_closure_update",64,"Mechanism-aware policy",-0.5625
"Qwen","g064_closure_override",64,"No intervention",-6.859375
"Qwen","g064_closure_override",64,"Mechanism-aware policy",-2.921875
"Qwen","g064_exception_override",64,"No intervention",-4.515625
"Qwen","g064_exception_override",64,"Mechanism-aware policy",-1.78125
"Qwen","g067_closure_update",67,"No intervention",-5.578125
"Qwen","g067_closure_update",67,"Mechanism-aware policy",-3.21875
"Qwen","g067_closure_override",67,"No intervention",-5.84375
"Qwen","g067_closure_override",67,"Mechanism-aware policy",-2.75
"Qwen","g067_exception_override",67,"No intervention",-2.046875
"Qwen","g067_exception_override",67,"Mechanism-aware policy",-2.046875
"Qwen","g068_closure_update",68,"No intervention",-4.25
"Qwen","g068_closure_update",68,"Mechanism-aware policy",-2.375
"Qwen","g068_closure_override",68,"No intervention",-4.875
"Qwen","g068_closure_override",68,"Mechanism-aware policy",-3.015625
"Qwen","g068_exception_override",68,"No intervention",-3.296875
"Qwen","g068_exception_override",68,"Mechanism-aware policy",-1.703125
"Qwen","g069_closure_update",69,"No intervention",-6.140625
"Qwen","g069_closure_update",69,"Mechanism-aware policy",-3.015625
"Qwen","g069_closure_override",69,"No intervention",-3.671875
"Qwen","g069_closure_override",69,"Mechanism-aware policy",-1.875
"Qwen","g069_exception_override",69,"No intervention",-2.578125
"Qwen","g069_exception_override",69,"Mechanism-aware policy",-1.875
"Qwen","g073_closure_update",73,"No intervention",-5.546875
"Qwen","g073_closure_update",73,"Mechanism-aware policy",-3.234375
"Qwen","g073_closure_override",73,"No intervention",-5.078125
"Qwen","g073_closure_override",73,"Mechanism-aware policy",-2.5625
"Qwen","g073_exception_override",73,"No intervention",-2.96875
"Qwen","g073_exception_override",73,"Mechanism-aware policy",-1.234375
"Qwen","g077_closure_update",77,"No intervention",-10.1875
"Qwen","g077_closure_update",77,"Mechanism-aware policy",-5.984375
"Qwen","g077_closure_override",77,"No intervention",-7.203125
"Qwen","g077_closure_override",77,"Mechanism-aware policy",-3.765625
"Qwen","g077_exception_override",77,"No intervention",-6.921875
"Qwen","g077_exception_override",77,"Mechanism-aware policy",-2.96875
"Qwen","g079_closure_update",79,"No intervention",-2.96875
"Qwen","g079_closure_update",79,"Mechanism-aware policy",-1.546875
"Qwen","g079_closure_override",79,"No intervention",-5.0625
"Qwen","g079_closure_override",79,"Mechanism-aware policy",-2.078125
"Qwen","g079_exception_override",79,"No intervention",-2.859375
"Qwen","g079_exception_override",79,"Mechanism-aware policy",-1.1875
"Qwen","g080_closure_update",80,"No intervention",-3.171875
"Qwen","g080_closure_update",80,"Mechanism-aware policy",-1.8125
"Qwen","g080_closure_override",80,"No intervention",-4.03125
"Qwen","g080_closure_override",80,"Mechanism-aware policy",-2.375
"Qwen","g080_exception_override",80,"No intervention",-3.40625
"Qwen","g080_exception_override",80,"Mechanism-aware policy",-1.6875
"Qwen","g085_closure_update",85,"No intervention",-4.828125
"Qwen","g085_closure_update",85,"Mechanism-aware policy",-2.8125
"Qwen","g085_closure_override",85,"No intervention",-5.15625
"Qwen","g085_closure_override",85,"Mechanism-aware policy",-2.4375
"Qwen","g085_exception_override",85,"No intervention",-2.59375
"Qwen","g085_exception_override",85,"Mechanism-aware policy",-1.53125
"Qwen","g088_closure_update",88,"No intervention",-3.1875
"Qwen","g088_closure_update",88,"Mechanism-aware policy",-1.34375
"Qwen","g088_closure_override",88,"No intervention",-6.6875
"Qwen","g088_closure_override",88,"Mechanism-aware policy",-2.921875
"Qwen","g088_exception_override",88,"No intervention",-4.25
"Qwen","g088_exception_override",88,"Mechanism-aware policy",-1.8125
"Qwen","g094_closure_update",94,"No intervention",-1.71875
"Qwen","g094_closure_update",94,"Mechanism-aware policy",-1.140625
"Qwen","g094_closure_override",94,"No intervention",-6.640625
"Qwen","g094_closure_override",94,"Mechanism-aware policy",-3.171875
"Qwen","g094_exception_override",94,"No intervention",-5.421875
"Qwen","g094_exception_override",94,"Mechanism-aware policy",-2.46875
"Llama","g000_closure_update",0,"No intervention",-0.296875
"Llama","g000_closure_update",0,"Mechanism-aware policy",0.34375
"Llama","g000_closure_override",0,"No intervention",0.4375
"Llama","g000_closure_override",0,"Mechanism-aware policy",0.53125
"Llama","g000_exception_override",0,"No intervention",-0.46875
"Llama","g000_exception_override",0,"Mechanism-aware policy",0.078125
"Llama","g004_closure_update",4,"No intervention",0.421875
"Llama","g004_closure_update",4,"Mechanism-aware policy",0.734375
"Llama","g004_closure_override",4,"No intervention",0.703125
"Llama","g004_closure_override",4,"Mechanism-aware policy",0.75
"Llama","g004_exception_override",4,"No intervention",-0.015625
"Llama","g004_exception_override",4,"Mechanism-aware policy",0.34375
"Llama","g009_closure_update",9,"No intervention",-2.046875
"Llama","g009_closure_update",9,"Mechanism-aware policy",-2.203125
"Llama","g009_closure_override",9,"No intervention",-1.8125
"Llama","g009_closure_override",9,"Mechanism-aware policy",-1.78125
"Llama","g009_exception_override",9,"No intervention",-1.765625
"Llama","g009_exception_override",9,"Mechanism-aware policy",-1.890625
"Llama","g010_closure_update",10,"No intervention",0.015625
"Llama","g010_closure_update",10,"Mechanism-aware policy",0.375
"Llama","g010_closure_override",10,"No intervention",0.328125
"Llama","g010_closure_override",10,"Mechanism-aware policy",0.53125
"Llama","g010_exception_override",10,"No intervention",0.796875
"Llama","g010_exception_override",10,"Mechanism-aware policy",0.6875
"Llama","g011_closure_update",11,"No intervention",0.671875
"Llama","g011_closure_update",11,"Mechanism-aware policy",0.8125
"Llama","g011_closure_override",11,"No intervention",0.875
"Llama","g011_closure_override",11,"Mechanism-aware policy",0.84375
"Llama","g011_exception_override",11,"No intervention",1.546875
"Llama","g011_exception_override",11,"Mechanism-aware policy",1.390625
"Llama","g012_closure_update",12,"No intervention",-1.609375
"Llama","g012_closure_update",12,"Mechanism-aware policy",-0.9375
"Llama","g012_closure_override",12,"No intervention",-1.15625
"Llama","g012_closure_override",12,"Mechanism-aware policy",-1.125
"Llama","g012_exception_override",12,"No intervention",-1.125
"Llama","g012_exception_override",12,"Mechanism-aware policy",-1
"Llama","g015_closure_update",15,"No intervention",-1.046875
"Llama","g015_closure_update",15,"Mechanism-aware policy",-0.625
"Llama","g015_closure_override",15,"No intervention",-0.375
"Llama","g015_closure_override",15,"Mechanism-aware policy",-0.328125
"Llama","g015_exception_override",15,"No intervention",-0.65625
"Llama","g015_exception_override",15,"Mechanism-aware policy",-0.71875
"Llama","g018_closure_update",18,"No intervention",-1.703125
"Llama","g018_closure_update",18,"Mechanism-aware policy",-1.0625
"Llama","g018_closure_override",18,"No intervention",-0.796875
"Llama","g018_closure_override",18,"Mechanism-aware policy",-0.59375
"Llama","g018_exception_override",18,"No intervention",-1.40625
"Llama","g018_exception_override",18,"Mechanism-aware policy",-0.890625
"Llama","g022_closure_update",22,"No intervention",1
"Llama","g022_closure_update",22,"Mechanism-aware policy",1.3125
"Llama","g022_closure_override",22,"No intervention",1.21875
"Llama","g022_closure_override",22,"Mechanism-aware policy",1.265625
"Llama","g022_exception_override",22,"No intervention",0.8125
"Llama","g022_exception_override",22,"Mechanism-aware policy",1.25
"Llama","g026_closure_update",26,"No intervention",0.4375
"Llama","g026_closure_update",26,"Mechanism-aware policy",0.484375
"Llama","g026_closure_override",26,"No intervention",0.875
"Llama","g026_closure_override",26,"Mechanism-aware policy",0.90625
"Llama","g026_exception_override",26,"No intervention",0.40625
"Llama","g026_exception_override",26,"Mechanism-aware policy",0.5625
"Llama","g030_closure_update",30,"No intervention",-1.046875
"Llama","g030_closure_update",30,"Mechanism-aware policy",-0.265625
"Llama","g030_closure_override",30,"No intervention",-0.046875
"Llama","g030_closure_override",30,"Mechanism-aware policy",0.09375
"Llama","g030_exception_override",30,"No intervention",-0.765625
"Llama","g030_exception_override",30,"Mechanism-aware policy",-0.34375
"Llama","g031_closure_update",31,"No intervention",-1.28125
"Llama","g031_closure_update",31,"Mechanism-aware policy",-0.640625
"Llama","g031_closure_override",31,"No intervention",-0.28125
"Llama","g031_closure_override",31,"Mechanism-aware policy",-0.21875
"Llama","g031_exception_override",31,"No intervention",-1.328125
"Llama","g031_exception_override",31,"Mechanism-aware policy",-0.578125
"Llama","g033_closure_update",33,"No intervention",-0.4375
"Llama","g033_closure_update",33,"Mechanism-aware policy",-0.375
"Llama","g033_closure_override",33,"No intervention",0.125
"Llama","g033_closure_override",33,"Mechanism-aware policy",0.171875
"Llama","g033_exception_override",33,"No intervention",-1.078125
"Llama","g033_exception_override",33,"Mechanism-aware policy",-0.8125
"Llama","g039_closure_update",39,"No intervention",-0.34375
"Llama","g039_closure_update",39,"Mechanism-aware policy",-0.28125
"Llama","g039_closure_override",39,"No intervention",0.703125
"Llama","g039_closure_override",39,"Mechanism-aware policy",0.6875
"Llama","g039_exception_override",39,"No intervention",-0.3125
"Llama","g039_exception_override",39,"Mechanism-aware policy",-0.046875
"Llama","g040_closure_update",40,"No intervention",0.25
"Llama","g040_closure_update",40,"Mechanism-aware policy",0.671875
"Llama","g040_closure_override",40,"No intervention",0.515625
"Llama","g040_closure_override",40,"Mechanism-aware policy",0.640625
"Llama","g040_exception_override",40,"No intervention",0.140625
"Llama","g040_exception_override",40,"Mechanism-aware policy",0.28125
"Llama","g042_closure_update",42,"No intervention",-1.84375
"Llama","g042_closure_update",42,"Mechanism-aware policy",-1.328125
"Llama","g042_closure_override",42,"No intervention",-1.421875
"Llama","g042_closure_override",42,"Mechanism-aware policy",-1.34375
"Llama","g042_exception_override",42,"No intervention",-1.671875
"Llama","g042_exception_override",42,"Mechanism-aware policy",-1.15625
"Llama","g045_closure_update",45,"No intervention",-2.21875
"Llama","g045_closure_update",45,"Mechanism-aware policy",-1.6875
"Llama","g045_closure_override",45,"No intervention",-1.75
"Llama","g045_closure_override",45,"Mechanism-aware policy",-1.703125
"Llama","g045_exception_override",45,"No intervention",-2
"Llama","g045_exception_override",45,"Mechanism-aware policy",-1.734375
"Llama","g053_closure_update",53,"No intervention",1.1875
"Llama","g053_closure_update",53,"Mechanism-aware policy",1.234375
"Llama","g053_closure_override",53,"No intervention",0.9375
"Llama","g053_closure_override",53,"Mechanism-aware policy",1.125
"Llama","g053_exception_override",53,"No intervention",1.09375
"Llama","g053_exception_override",53,"Mechanism-aware policy",1.28125
"Llama","g064_closure_update",64,"No intervention",1.6640625
"Llama","g064_closure_update",64,"Mechanism-aware policy",1.453125
"Llama","g064_closure_override",64,"No intervention",1.34375
"Llama","g064_closure_override",64,"Mechanism-aware policy",1.265625
"Llama","g064_exception_override",64,"No intervention",0.640625
"Llama","g064_exception_override",64,"Mechanism-aware policy",0.8125
"Llama","g067_closure_update",67,"No intervention",-0.296875
"Llama","g067_closure_update",67,"Mechanism-aware policy",0.171875
"Llama","g067_closure_override",67,"No intervention",0.296875
"Llama","g067_closure_override",67,"Mechanism-aware policy",0.671875
"Llama","g067_exception_override",67,"No intervention",-0.640625
"Llama","g067_exception_override",67,"Mechanism-aware policy",0.234375
"Llama","g068_closure_update",68,"No intervention",0.453125
"Llama","g068_closure_update",68,"Mechanism-aware policy",0.671875
"Llama","g068_closure_override",68,"No intervention",0.9375
"Llama","g068_closure_override",68,"Mechanism-aware policy",0.984375
"Llama","g068_exception_override",68,"No intervention",0.390625
"Llama","g068_exception_override",68,"Mechanism-aware policy",0.765625
"Llama","g069_closure_update",69,"No intervention",-0.328125
"Llama","g069_closure_update",69,"Mechanism-aware policy",-0.265625
"Llama","g069_closure_override",69,"No intervention",-0.390625
"Llama","g069_closure_override",69,"Mechanism-aware policy",-0.375
"Llama","g069_exception_override",69,"No intervention",-0.96875
"Llama","g069_exception_override",69,"Mechanism-aware policy",-0.765625
"Llama","g073_closure_update",73,"No intervention",-0.8125
"Llama","g073_closure_update",73,"Mechanism-aware policy",-0.171875
"Llama","g073_closure_override",73,"No intervention",0
"Llama","g073_closure_override",73,"Mechanism-aware policy",-0.046875
"Llama","g073_exception_override",73,"No intervention",-0.953125
"Llama","g073_exception_override",73,"Mechanism-aware policy",-0.171875
"Llama","g077_closure_update",77,"No intervention",1.171875
"Llama","g077_closure_update",77,"Mechanism-aware policy",1.578125
"Llama","g077_closure_override",77,"No intervention",1.3125
"Llama","g077_closure_override",77,"Mechanism-aware policy",1.609375
"Llama","g077_exception_override",77,"No intervention",1.453125
"Llama","g077_exception_override",77,"Mechanism-aware policy",1.84375
"Llama","g079_closure_update",79,"No intervention",-0.53125
"Llama","g079_closure_update",79,"Mechanism-aware policy",-0.328125
"Llama","g079_closure_override",79,"No intervention",-0.328125
"Llama","g079_closure_override",79,"Mechanism-aware policy",-0.03125
"Llama","g079_exception_override",79,"No intervention",-0.921875
"Llama","g079_exception_override",79,"Mechanism-aware policy",-0.265625
"Llama","g080_closure_update",80,"No intervention",-0.25
"Llama","g080_closure_update",80,"Mechanism-aware policy",-0.03125
"Llama","g080_closure_override",80,"No intervention",0.171875
"Llama","g080_closure_override",80,"Mechanism-aware policy",0.21875
"Llama","g080_exception_override",80,"No intervention",-0.28125
"Llama","g080_exception_override",80,"Mechanism-aware policy",0.015625
"Llama","g085_closure_update",85,"No intervention",-0.203125
"Llama","g085_closure_update",85,"Mechanism-aware policy",0.40625
"Llama","g085_closure_override",85,"No intervention",0.421875
"Llama","g085_closure_override",85,"Mechanism-aware policy",0.859375
"Llama","g085_exception_override",85,"No intervention",-0.59375
"Llama","g085_exception_override",85,"Mechanism-aware policy",0.5625
"Llama","g088_closure_update",88,"No intervention",0.984375
"Llama","g088_closure_update",88,"Mechanism-aware policy",0.828125
"Llama","g088_closure_override",88,"No intervention",0.578125
"Llama","g088_closure_override",88,"Mechanism-aware policy",0.78125
"Llama","g088_exception_override",88,"No intervention",0.359375
"Llama","g088_exception_override",88,"Mechanism-aware policy",0.671875
"Llama","g094_closure_update",94,"No intervention",0.671875
"Llama","g094_closure_update",94,"Mechanism-aware policy",0.765625
"Llama","g094_closure_override",94,"No intervention",0.65625
"Llama","g094_closure_override",94,"Mechanism-aware policy",0.8125
"Llama","g094_exception_override",94,"No intervention",0.140625
"Llama","g094_exception_override",94,"Mechanism-aware policy",0.5625
"Gemma","g000_closure_update",0,"No intervention",0.859375
"Gemma","g000_closure_update",0,"Mechanism-aware policy",0.734375
"Gemma","g000_closure_override",0,"No intervention",-2.03125
"Gemma","g000_closure_override",0,"Mechanism-aware policy",-1.40625
"Gemma","g000_exception_override",0,"No intervention",-2.7578125
"Gemma","g000_exception_override",0,"Mechanism-aware policy",-2.3125
"Gemma","g004_closure_update",4,"No intervention",2.4765625
"Gemma","g004_closure_update",4,"Mechanism-aware policy",2.890625
"Gemma","g004_closure_override",4,"No intervention",0.1875
"Gemma","g004_closure_override",4,"Mechanism-aware policy",0.5
"Gemma","g004_exception_override",4,"No intervention",-0.734375
"Gemma","g004_exception_override",4,"Mechanism-aware policy",-0.4375
"Gemma","g009_closure_update",9,"No intervention",2.875
"Gemma","g009_closure_update",9,"Mechanism-aware policy",2.8828125
"Gemma","g009_closure_override",9,"No intervention",0.21875
"Gemma","g009_closure_override",9,"Mechanism-aware policy",0.859375
"Gemma","g009_exception_override",9,"No intervention",0.0703125
"Gemma","g009_exception_override",9,"Mechanism-aware policy",0.6796875
"Gemma","g010_closure_update",10,"No intervention",3.296875
"Gemma","g010_closure_update",10,"Mechanism-aware policy",3.21875
"Gemma","g010_closure_override",10,"No intervention",-0.3828125
"Gemma","g010_closure_override",10,"Mechanism-aware policy",-0.8515625
"Gemma","g010_exception_override",10,"No intervention",-0.1875
"Gemma","g010_exception_override",10,"Mechanism-aware policy",-0.0390625
"Gemma","g011_closure_update",11,"No intervention",0.921875
"Gemma","g011_closure_update",11,"Mechanism-aware policy",0.9296875
"Gemma","g011_closure_override",11,"No intervention",-1.328125
"Gemma","g011_closure_override",11,"Mechanism-aware policy",-0.6171875
"Gemma","g011_exception_override",11,"No intervention",-1.8203125
"Gemma","g011_exception_override",11,"Mechanism-aware policy",-1.25
"Gemma","g012_closure_update",12,"No intervention",1.6328125
"Gemma","g012_closure_update",12,"Mechanism-aware policy",1.6640625
"Gemma","g012_closure_override",12,"No intervention",-2.2578125
"Gemma","g012_closure_override",12,"Mechanism-aware policy",-1.8203125
"Gemma","g012_exception_override",12,"No intervention",-2.171875
"Gemma","g012_exception_override",12,"Mechanism-aware policy",-1.7578125
"Gemma","g015_closure_update",15,"No intervention",1.2265625
"Gemma","g015_closure_update",15,"Mechanism-aware policy",0.9609375
"Gemma","g015_closure_override",15,"No intervention",-2.7109375
"Gemma","g015_closure_override",15,"Mechanism-aware policy",-1.953125
"Gemma","g015_exception_override",15,"No intervention",-1.796875
"Gemma","g015_exception_override",15,"Mechanism-aware policy",-1.2109375
"Gemma","g018_closure_update",18,"No intervention",0.84375
"Gemma","g018_closure_update",18,"Mechanism-aware policy",0.8828125
"Gemma","g018_closure_override",18,"No intervention",-2.765625
"Gemma","g018_closure_override",18,"Mechanism-aware policy",-2.078125
"Gemma","g018_exception_override",18,"No intervention",-2.609375
"Gemma","g018_exception_override",18,"Mechanism-aware policy",-2.109375
"Gemma","g022_closure_update",22,"No intervention",2.0234375
"Gemma","g022_closure_update",22,"Mechanism-aware policy",1.9296875
"Gemma","g022_closure_override",22,"No intervention",-1.484375
"Gemma","g022_closure_override",22,"Mechanism-aware policy",-1.34375
"Gemma","g022_exception_override",22,"No intervention",-0.9140625
"Gemma","g022_exception_override",22,"Mechanism-aware policy",-0.703125
"Gemma","g026_closure_update",26,"No intervention",-0.1875
"Gemma","g026_closure_update",26,"Mechanism-aware policy",-0.15625
"Gemma","g026_closure_override",26,"No intervention",-2.7578125
"Gemma","g026_closure_override",26,"Mechanism-aware policy",-1.9296875
"Gemma","g026_exception_override",26,"No intervention",-1.8203125
"Gemma","g026_exception_override",26,"Mechanism-aware policy",-1.4609375
"Gemma","g030_closure_update",30,"No intervention",1.0390625
"Gemma","g030_closure_update",30,"Mechanism-aware policy",0.8984375
"Gemma","g030_closure_override",30,"No intervention",-2.5
"Gemma","g030_closure_override",30,"Mechanism-aware policy",-1.8125
"Gemma","g030_exception_override",30,"No intervention",-2.4140625
"Gemma","g030_exception_override",30,"Mechanism-aware policy",-1.9609375
"Gemma","g031_closure_update",31,"No intervention",2.203125
"Gemma","g031_closure_update",31,"Mechanism-aware policy",2.3671875
"Gemma","g031_closure_override",31,"No intervention",-1.453125
"Gemma","g031_closure_override",31,"Mechanism-aware policy",-0.1953125
"Gemma","g031_exception_override",31,"No intervention",-2.328125
"Gemma","g031_exception_override",31,"Mechanism-aware policy",-1.171875
"Gemma","g033_closure_update",33,"No intervention",2.734375
"Gemma","g033_closure_update",33,"Mechanism-aware policy",2.7578125
"Gemma","g033_closure_override",33,"No intervention",-1.15625
"Gemma","g033_closure_override",33,"Mechanism-aware policy",-0.0390625
"Gemma","g033_exception_override",33,"No intervention",-0.3125
"Gemma","g033_exception_override",33,"Mechanism-aware policy",0.2890625
"Gemma","g039_closure_update",39,"No intervention",2.1875
"Gemma","g039_closure_update",39,"Mechanism-aware policy",2.3359375
"Gemma","g039_closure_override",39,"No intervention",-1.6328125
"Gemma","g039_closure_override",39,"Mechanism-aware policy",-0.5234375
"Gemma","g039_exception_override",39,"No intervention",-1.1015625
"Gemma","g039_exception_override",39,"Mechanism-aware policy",-0.546875
"Gemma","g040_closure_update",40,"No intervention",2.015625
"Gemma","g040_closure_update",40,"Mechanism-aware policy",2.0625
"Gemma","g040_closure_override",40,"No intervention",-1.375
"Gemma","g040_closure_override",40,"Mechanism-aware policy",-1.71875
"Gemma","g040_exception_override",40,"No intervention",-0.5703125
"Gemma","g040_exception_override",40,"Mechanism-aware policy",-1.296875
"Gemma","g042_closure_update",42,"No intervention",1.1640625
"Gemma","g042_closure_update",42,"Mechanism-aware policy",1.1875
"Gemma","g042_closure_override",42,"No intervention",-2.375
"Gemma","g042_closure_override",42,"Mechanism-aware policy",-1.625
"Gemma","g042_exception_override",42,"No intervention",-2.453125
"Gemma","g042_exception_override",42,"Mechanism-aware policy",-1.9296875
"Gemma","g045_closure_update",45,"No intervention",2.9375
"Gemma","g045_closure_update",45,"Mechanism-aware policy",2.953125
"Gemma","g045_closure_override",45,"No intervention",-0.703125
"Gemma","g045_closure_override",45,"Mechanism-aware policy",0.34375
"Gemma","g045_exception_override",45,"No intervention",-0.0859375
"Gemma","g045_exception_override",45,"Mechanism-aware policy",0.546875
"Gemma","g053_closure_update",53,"No intervention",1.734375
"Gemma","g053_closure_update",53,"Mechanism-aware policy",1.796875
"Gemma","g053_closure_override",53,"No intervention",-0.8046875
"Gemma","g053_closure_override",53,"Mechanism-aware policy",0.0703125
"Gemma","g053_exception_override",53,"No intervention",-0.8125
"Gemma","g053_exception_override",53,"Mechanism-aware policy",-0.296875
"Gemma","g064_closure_update",64,"No intervention",1.625
"Gemma","g064_closure_update",64,"Mechanism-aware policy",1.671875
"Gemma","g064_closure_override",64,"No intervention",-0.7109375
"Gemma","g064_closure_override",64,"Mechanism-aware policy",-0.5234375
