prompt_id,graph_id,condition,mechanism,control,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,baseline_top1_class,baseline_top1_token_id,baseline_margin,strict_conflict_to_clean,top1_changed,margin_shift,model
g010_irrelevant,10,irrelevant,stable,none,38315,15934,38315, Copper,clean,1,4,3.84375,clean,38315,3.84375,False,False,0.0,gemma
g010_paraphrase,10,paraphrase,stable,none,38315,15934,5231, **,other,2,4,2.1875,other,5231,2.1875,False,False,0.0,gemma
g010_weak_distractor,10,weak_distractor,competition,none,38315,15934,5231, **,other,2,3,3.2734375,other,5231,3.2734375,False,False,0.0,gemma
g010_competition_balanced,10,competition_balanced,competition,none,38315,15934,38315, Copper,clean,1,4,3.859375,clean,38315,3.859375,False,False,0.0,gemma
g010_direct_conflict,10,direct_conflict,competition,none,38315,15934,5231, **,other,2,3,3.1484375,other,5231,3.1484375,False,False,0.0,gemma
g010_closure_update,10,closure_update,closure,none,38315,15934,5231, **,other,2,4,3.296875,other,5231,3.296875,False,False,0.0,gemma
g010_closure_override,10,closure_override,closure,none,38315,15934,5231, **,other,3,2,-0.3828125,other,5231,-0.3828125,False,False,0.0,gemma
g010_exception_override,10,exception_override,closure,none,38315,15934,5231, **,other,3,2,-0.1875,other,5231,-0.1875,False,False,0.0,gemma
g011_clean,11,clean,stable,none,6863,17186,5231, **,other,2,6,3.2109375,other,5231,3.2109375,False,False,0.0,gemma
g011_redundant,11,redundant,stable,none,6863,17186,5231, **,other,2,4,2.875,other,5231,2.875,False,False,0.0,gemma
g011_irrelevant,11,irrelevant,stable,none,6863,17186,5231, **,other,2,4,3.4140625,other,5231,3.4140625,False,False,0.0,gemma
g011_paraphrase,11,paraphrase,stable,none,6863,17186,6863, Gold,clean,1,4,2.46875,clean,6863,2.46875,False,False,0.0,gemma
g011_weak_distractor,11,weak_distractor,competition,none,6863,17186,5231, **,other,2,4,3.1875,other,5231,3.1875,False,False,0.0,gemma
g011_competition_balanced,11,competition_balanced,competition,none,6863,17186,5231, **,other,2,3,2.265625,other,5231,2.265625,False,False,0.0,gemma
g011_direct_conflict,11,direct_conflict,competition,none,6863,17186,5231, **,other,2,3,2.1640625,other,5231,2.1640625,False,False,0.0,gemma
g011_closure_update,11,closure_update,closure,none,6863,17186,5231, **,other,2,3,0.921875,other,5231,0.921875,False,False,0.0,gemma
g011_closure_override,11,closure_override,closure,none,6863,17186,5231, **,other,3,2,-1.328125,other,5231,-1.328125,False,False,0.0,gemma
g011_exception_override,11,exception_override,closure,none,6863,17186,5231, **,other,3,2,-1.8203125,other,5231,-1.8203125,False,False,0.0,gemma
g012_clean,12,clean,stable,none,4075,7640,5231, **,other,2,5,2.4453125,other,5231,2.4453125,False,False,0.0,gemma
g012_redundant,12,redundant,stable,none,4075,7640,5231, **,other,2,3,2.4765625,other,5231,2.4765625,False,False,0.0,gemma
g012_irrelevant,12,irrelevant,stable,none,4075,7640,5231, **,other,2,7,3.7265625,other,5231,3.7265625,False,False,0.0,gemma
g012_paraphrase,12,paraphrase,stable,none,4075,7640,5231, **,other,2,3,1.9140625,other,5231,1.9140625,False,False,0.0,gemma
g012_weak_distractor,12,weak_distractor,competition,none,4075,7640,5231, **,other,2,4,2.75,other,5231,2.75,False,False,0.0,gemma
g012_competition_balanced,12,competition_balanced,competition,none,4075,7640,5231, **,other,2,3,1.7421875,other,5231,1.7421875,False,False,0.0,gemma
g012_direct_conflict,12,direct_conflict,competition,none,4075,7640,5231, **,other,2,3,0.8828125,other,5231,0.8828125,False,False,0.0,gemma
g012_closure_update,12,closure_update,closure,none,4075,7640,5231, **,other,2,3,1.6328125,other,5231,1.6328125,False,False,0.0,gemma
g012_closure_override,12,closure_override,closure,none,4075,7640,7640, Blue,conflict,3,1,-2.2578125,conflict,7640,-2.2578125,False,False,0.0,gemma
g012_exception_override,12,exception_override,closure,none,4075,7640,5231, **,other,3,2,-2.171875,other,5231,-2.171875,False,False,0.0,gemma
g015_clean,15,clean,stable,none,5571,4589,5231, **,other,2,3,1.203125,other,5231,1.203125,False,False,0.0,gemma
g015_redundant,15,redundant,stable,none,5571,4589,5231, **,other,2,3,1.09375,other,5231,1.09375,False,False,0.0,gemma
g015_irrelevant,15,irrelevant,stable,none,5571,4589,5571, East,clean,1,3,2.9375,clean,5571,2.9375,False,False,0.0,gemma
g015_paraphrase,15,paraphrase,stable,none,5571,4589,5231, **,other,2,5,1.6640625,other,5231,1.6640625,False,False,0.0,gemma
g015_weak_distractor,15,weak_distractor,competition,none,5571,4589,5231, **,other,2,3,2.71875,other,5231,2.71875,False,False,0.0,gemma
g015_competition_balanced,15,competition_balanced,competition,none,5571,4589,5231, **,other,2,3,1.5078125,other,5231,1.5078125,False,False,0.0,gemma
g015_direct_conflict,15,direct_conflict,competition,none,5571,4589,5231, **,other,2,3,1.1796875,other,5231,1.1796875,False,False,0.0,gemma
g015_closure_update,15,closure_update,closure,none,5571,4589,5231, **,other,2,3,1.2265625,other,5231,1.2265625,False,False,0.0,gemma
g015_closure_override,15,closure_override,closure,none,5571,4589,4589, West,conflict,3,1,-2.7109375,conflict,4589,-2.7109375,False,False,0.0,gemma
g015_exception_override,15,exception_override,closure,none,5571,4589,5231, **,other,3,2,-1.796875,other,5231,-1.796875,False,False,0.0,gemma
g018_clean,18,clean,stable,none,4075,7640,5231, **,other,2,3,1.6796875,other,5231,1.6796875,False,False,0.0,gemma
g018_redundant,18,redundant,stable,none,4075,7640,5231, **,other,2,3,1.5234375,other,5231,1.5234375,False,False,0.0,gemma
g018_irrelevant,18,irrelevant,stable,none,4075,7640,5231, **,other,2,6,2.78125,other,5231,2.78125,False,False,0.0,gemma
g018_paraphrase,18,paraphrase,stable,none,4075,7640,5231, **,other,2,3,1.21875,other,5231,1.21875,False,False,0.0,gemma
g018_weak_distractor,18,weak_distractor,competition,none,4075,7640,5231, **,other,2,3,2.046875,other,5231,2.046875,False,False,0.0,gemma
g018_competition_balanced,18,competition_balanced,competition,none,4075,7640,5231, **,other,2,3,1.171875,other,5231,1.171875,False,False,0.0,gemma
g018_direct_conflict,18,direct_conflict,competition,none,4075,7640,5231, **,other,2,3,0.3671875,other,5231,0.3671875,False,False,0.0,gemma
g018_closure_update,18,closure_update,closure,none,4075,7640,5231, **,other,2,3,0.84375,other,5231,0.84375,False,False,0.0,gemma
g018_closure_override,18,closure_override,closure,none,4075,7640,7640, Blue,conflict,3,1,-2.765625,conflict,7640,-2.765625,False,False,0.0,gemma
g018_exception_override,18,exception_override,closure,none,4075,7640,5231, **,other,3,2,-2.609375,other,5231,-2.609375,False,False,0.0,gemma
g022_clean,22,clean,stable,none,38315,15934,5231, **,other,2,3,1.2734375,other,5231,1.2734375,False,False,0.0,gemma
g022_redundant,22,redundant,stable,none,38315,15934,5231, **,other,2,3,0.59375,other,5231,0.59375,False,False,0.0,gemma
g022_irrelevant,22,irrelevant,stable,none,38315,15934,5231, **,other,2,3,2.2421875,other,5231,2.2421875,False,False,0.0,gemma
g022_paraphrase,22,paraphrase,stable,none,38315,15934,5231, **,other,2,4,2.296875,other,5231,2.296875,False,False,0.0,gemma
g022_weak_distractor,22,weak_distractor,competition,none,38315,15934,5231, **,other,2,3,1.9765625,other,5231,1.9765625,False,False,0.0,gemma
g022_competition_balanced,22,competition_balanced,competition,none,38315,15934,5231, **,other,2,3,2.6875,other,5231,2.6875,False,False,0.0,gemma
g022_direct_conflict,22,direct_conflict,competition,none,38315,15934,5231, **,other,2,3,0.828125,other,5231,0.828125,False,False,0.0,gemma
g022_closure_update,22,closure_update,closure,none,38315,15934,5231, **,other,2,3,2.0234375,other,5231,2.0234375,False,False,0.0,gemma
g022_closure_override,22,closure_override,closure,none,38315,15934,15934, Silver,conflict,3,1,-1.484375,conflict,15934,-1.484375,False,False,0.0,gemma
g022_exception_override,22,exception_override,closure,none,38315,15934,5231, **,other,3,2,-0.9140625,other,5231,-0.9140625,False,False,0.0,gemma
g026_clean,26,clean,stable,none,4612,4316,5231, **,other,2,3,0.4296875,other,5231,0.4296875,False,False,0.0,gemma
g026_redundant,26,redundant,stable,none,4612,4316,5231, **,other,2,3,0.40625,other,5231,0.40625,False,False,0.0,gemma
g026_irrelevant,26,irrelevant,stable,none,4612,4316,5231, **,other,2,3,1.6328125,other,5231,1.6328125,False,False,0.0,gemma
g026_paraphrase,26,paraphrase,stable,none,4612,4316,5231, **,other,6,4,-0.6640625,other,5231,-0.6640625,False,False,0.0,gemma
g026_weak_distractor,26,weak_distractor,competition,none,4612,4316,5231, **,other,2,3,2.03125,other,5231,2.03125,False,False,0.0,gemma
g026_competition_balanced,26,competition_balanced,competition,none,4612,4316,5231, **,other,2,3,0.7578125,other,5231,0.7578125,False,False,0.0,gemma
g026_direct_conflict,26,direct_conflict,competition,none,4612,4316,5231, **,other,2,3,0.0859375,other,5231,0.0859375,False,False,0.0,gemma
g026_closure_update,26,closure_update,closure,none,4612,4316,5231, **,other,3,2,-0.1875,other,5231,-0.1875,False,False,0.0,gemma
g026_closure_override,26,closure_override,closure,none,4612,4316,4316, South,conflict,3,1,-2.7578125,conflict,4316,-2.7578125,False,False,0.0,gemma
g026_exception_override,26,exception_override,closure,none,4612,4316,5231, **,other,3,2,-1.8203125,other,5231,-1.8203125,False,False,0.0,gemma
g030_clean,30,clean,stable,none,4075,7640,5231, **,other,2,5,2.5,other,5231,2.5,False,False,0.0,gemma
g030_redundant,30,redundant,stable,none,4075,7640,5231, **,other,2,3,2.2265625,other,5231,2.2265625,False,False,0.0,gemma
g030_irrelevant,30,irrelevant,stable,none,4075,7640,5231, **,other,2,6,3.0078125,other,5231,3.0078125,False,False,0.0,gemma
g030_paraphrase,30,paraphrase,stable,none,4075,7640,5231, **,other,2,4,1.4765625,other,5231,1.4765625,False,False,0.0,gemma
g030_weak_distractor,30,weak_distractor,competition,none,4075,7640,5231, **,other,2,3,2.0390625,other,5231,2.0390625,False,False,0.0,gemma
g030_competition_balanced,30,competition_balanced,competition,none,4075,7640,5231, **,other,2,3,1.734375,other,5231,1.734375,False,False,0.0,gemma
g030_direct_conflict,30,direct_conflict,competition,none,4075,7640,5231, **,other,2,3,1.1640625,other,5231,1.1640625,False,False,0.0,gemma
g030_closure_update,30,closure_update,closure,none,4075,7640,5231, **,other,2,3,1.0390625,other,5231,1.0390625,False,False,0.0,gemma
g030_closure_override,30,closure_override,closure,none,4075,7640,7640, Blue,conflict,3,1,-2.5,conflict,7640,-2.5,False,False,0.0,gemma
g030_exception_override,30,exception_override,closure,none,4075,7640,5231, **,other,3,2,-2.4140625,other,5231,-2.4140625,False,False,0.0,gemma
g031_clean,31,clean,stable,none,6724,21730,5231, **,other,1,4,3.1640625,other,5231,3.1640625,False,False,0.0,gemma
g031_redundant,31,redundant,stable,none,6724,21730,5231, **,other,2,3,2.6015625,other,5231,2.6015625,False,False,0.0,gemma
g031_irrelevant,31,irrelevant,stable,none,6724,21730,6724, Green,clean,1,6,3.7265625,clean,6724,3.7265625,False,False,0.0,gemma
g031_paraphrase,31,paraphrase,stable,none,6724,21730,5231, **,other,2,3,2.0625,other,5231,2.0625,False,False,0.0,gemma
g031_weak_distractor,31,weak_distractor,competition,none,6724,21730,5231, **,other,2,5,3.4453125,other,5231,3.4453125,False,False,0.0,gemma
g031_competition_balanced,31,competition_balanced,competition,none,6724,21730,5231, **,other,2,4,2.953125,other,5231,2.953125,False,False,0.0,gemma
g031_direct_conflict,31,direct_conflict,competition,none,6724,21730,5231, **,other,2,3,2.6796875,other,5231,2.6796875,False,False,0.0,gemma
g031_closure_update,31,closure_update,closure,none,6724,21730,5231, **,other,2,3,2.203125,other,5231,2.203125,False,False,0.0,gemma
g031_closure_override,31,closure_override,closure,none,6724,21730,5231, **,other,3,2,-1.453125,other,5231,-1.453125,False,False,0.0,gemma
g031_exception_override,31,exception_override,closure,none,6724,21730,5231, **,other,3,2,-2.328125,other,5231,-2.328125,False,False,0.0,gemma
g033_clean,33,clean,stable,none,5571,4589,5571, East,clean,1,3,1.859375,clean,5571,1.859375,False,False,0.0,gemma
g033_redundant,33,redundant,stable,none,5571,4589,5231, **,other,2,3,1.6875,other,5231,1.6875,False,False,0.0,gemma
g033_irrelevant,33,irrelevant,stable,none,5571,4589,5571, East,clean,1,3,2.703125,clean,5571,2.703125,False,False,0.0,gemma
g033_paraphrase,33,paraphrase,stable,none,5571,4589,5231, **,other,2,3,0.828125,other,5231,0.828125,False,False,0.0,gemma
g033_weak_distractor,33,weak_distractor,competition,none,5571,4589,5231, **,other,2,3,2.890625,other,5231,2.890625,False,False,0.0,gemma
g033_competition_balanced,33,competition_balanced,competition,none,5571,4589,5231, **,other,2,3,1.9453125,other,5231,1.9453125,False,False,0.0,gemma
g033_direct_conflict,33,direct_conflict,competition,none,5571,4589,5231, **,other,2,3,1.65625,other,5231,1.65625,False,False,0.0,gemma
g033_closure_update,33,closure_update,closure,none,5571,4589,5571, East,clean,1,3,2.734375,clean,5571,2.734375,False,False,0.0,gemma
g033_closure_override,33,closure_override,closure,none,5571,4589,5231, **,other,3,2,-1.15625,other,5231,-1.15625,False,False,0.0,gemma
g033_exception_override,33,exception_override,closure,none,5571,4589,5231, **,other,3,2,-0.3125,other,5231,-0.3125,False,False,0.0,gemma
g039_clean,39,clean,stable,none,5571,4589,5231, **,other,2,3,1.2734375,other,5231,1.2734375,False,False,0.0,gemma
g039_redundant,39,redundant,stable,none,5571,4589,5231, **,other,2,3,1.3359375,other,5231,1.3359375,False,False,0.0,gemma
g039_irrelevant,39,irrelevant,stable,none,5571,4589,5571, East,clean,1,3,2.6171875,clean,5571,2.6171875,False,False,0.0,gemma
g039_paraphrase,39,paraphrase,stable,none,5571,4589,5231, **,other,2,3,0.71875,other,5231,0.71875,False,False,0.0,gemma
g039_weak_distractor,39,weak_distractor,competition,none,5571,4589,5571, East,clean,1,3,3.15625,clean,5571,3.15625,False,False,0.0,gemma
g039_competition_balanced,39,competition_balanced,competition,none,5571,4589,5231, **,other,1,3,2.171875,other,5231,2.171875,False,False,0.0,gemma
g039_direct_conflict,39,direct_conflict,competition,none,5571,4589,5231, **,other,2,3,1.671875,other,5231,1.671875,False,False,0.0,gemma
g039_closure_update,39,closure_update,closure,none,5571,4589,5231, **,other,2,3,2.1875,other,5231,2.1875,False,False,0.0,gemma
g039_closure_override,39,closure_override,closure,none,5571,4589,4589, West,conflict,3,1,-1.6328125,conflict,4589,-1.6328125,False,False,0.0,gemma
g039_exception_override,39,exception_override,closure,none,5571,4589,5231, **,other,3,2,-1.1015625,other,5231,-1.1015625,False,False,0.0,gemma
g040_clean,40,clean,stable,none,38315,15934,38315, Copper,clean,1,3,1.921875,clean,38315,1.921875,False,False,0.0,gemma
g040_redundant,40,redundant,stable,none,38315,15934,5231, **,other,2,3,0.90625,other,5231,0.90625,False,False,0.0,gemma
g040_irrelevant,40,irrelevant,stable,none,38315,15934,38315, Copper,clean,1,3,2.671875,clean,38315,2.671875,False,False,0.0,gemma
g040_paraphrase,40,paraphrase,stable,none,38315,15934,5231, **,other,2,3,1.8359375,other,5231,1.8359375,False,False,0.0,gemma
g040_weak_distractor,40,weak_distractor,competition,none,38315,15934,5231, **,other,2,3,2.734375,other,5231,2.734375,False,False,0.0,gemma
g040_competition_balanced,40,competition_balanced,competition,none,38315,15934,38315, Copper,clean,1,3,3.640625,clean,38315,3.640625,False,False,0.0,gemma
g040_direct_conflict,40,direct_conflict,competition,none,38315,15934,5231, **,other,2,3,1.65625,other,5231,1.65625,False,False,0.0,gemma
g040_closure_update,40,closure_update,closure,none,38315,15934,5231, **,other,2,3,2.015625,other,5231,2.015625,False,False,0.0,gemma
g040_closure_override,40,closure_override,closure,none,38315,15934,15934, Silver,conflict,3,1,-1.375,conflict,15934,-1.375,False,False,0.0,gemma
g040_exception_override,40,exception_override,closure,none,38315,15934,5231, **,other,3,2,-0.5703125,other,5231,-0.5703125,False,False,0.0,gemma
g042_clean,42,clean,stable,none,4075,7640,5231, **,other,2,3,2.5390625,other,5231,2.5390625,False,False,0.0,gemma
g042_redundant,42,redundant,stable,none,4075,7640,5231, **,other,2,4,2.4140625,other,5231,2.4140625,False,False,0.0,gemma
g042_irrelevant,42,irrelevant,stable,none,4075,7640,5231, **,other,2,6,3.0546875,other,5231,3.0546875,False,False,0.0,gemma
g042_paraphrase,42,paraphrase,stable,none,4075,7640,5231, **,other,2,4,1.7109375,other,5231,1.7109375,False,False,0.0,gemma
g042_weak_distractor,42,weak_distractor,competition,none,4075,7640,5231, **,other,2,3,2.2734375,other,5231,2.2734375,False,False,0.0,gemma
g042_competition_balanced,42,competition_balanced,competition,none,4075,7640,5231, **,other,2,3,1.9765625,other,5231,1.9765625,False,False,0.0,gemma
g042_direct_conflict,42,direct_conflict,competition,none,4075,7640,5231, **,other,2,3,1.3671875,other,5231,1.3671875,False,False,0.0,gemma
g042_closure_update,42,closure_update,closure,none,4075,7640,5231, **,other,2,3,1.1640625,other,5231,1.1640625,False,False,0.0,gemma
g042_closure_override,42,closure_override,closure,none,4075,7640,7640, Blue,conflict,3,1,-2.375,conflict,7640,-2.375,False,False,0.0,gemma
g042_exception_override,42,exception_override,closure,none,4075,7640,5231, **,other,3,2,-2.453125,other,5231,-2.453125,False,False,0.0,gemma
g045_clean,45,clean,stable,none,5571,4589,5231, **,other,2,3,2.1328125,other,5231,2.1328125,False,False,0.0,gemma
g045_redundant,45,redundant,stable,none,5571,4589,5231, **,other,2,3,2.109375,other,5231,2.109375,False,False,0.0,gemma
g045_irrelevant,45,irrelevant,stable,none,5571,4589,5571, East,clean,1,3,2.9296875,clean,5571,2.9296875,False,False,0.0,gemma
g045_paraphrase,45,paraphrase,stable,none,5571,4589,5231, **,other,2,3,0.9453125,other,5231,0.9453125,False,False,0.0,gemma
g045_weak_distractor,45,weak_distractor,competition,none,5571,4589,5571, East,clean,1,3,3.421875,clean,5571,3.421875,False,False,0.0,gemma
g045_competition_balanced,45,competition_balanced,competition,none,5571,4589,5571, East,clean,1,3,2.6015625,clean,5571,2.6015625,False,False,0.0,gemma
g045_direct_conflict,45,direct_conflict,competition,none,5571,4589,5231, **,other,2,3,2.421875,other,5231,2.421875,False,False,0.0,gemma
g045_closure_update,45,closure_update,closure,none,5571,4589,5231, **,other,2,4,2.9375,other,5231,2.9375,False,False,0.0,gemma
g045_closure_override,45,closure_override,closure,none,5571,4589,5231, **,other,3,2,-0.703125,other,5231,-0.703125,False,False,0.0,gemma
g045_exception_override,45,exception_override,closure,none,5571,4589,5231, **,other,3,2,-0.0859375,other,5231,-0.0859375,False,False,0.0,gemma
g053_clean,53,clean,stable,none,6863,17186,5231, **,other,2,3,1.671875,other,5231,1.671875,False,False,0.0,gemma
g053_redundant,53,redundant,stable,none,6863,17186,5231, **,other,2,3,1.421875,other,5231,1.421875,False,False,0.0,gemma
g053_irrelevant,53,irrelevant,stable,none,6863,17186,5231, **,other,2,4,2.546875,other,5231,2.546875,False,False,0.0,gemma
g053_paraphrase,53,paraphrase,stable,none,6863,17186,6863, Gold,clean,1,4,3.0,clean,6863,3.0,False,False,0.0,gemma
g053_weak_distractor,53,weak_distractor,competition,none,6863,17186,5231, **,other,2,3,2.453125,other,5231,2.453125,False,False,0.0,gemma
g053_competition_balanced,53,competition_balanced,competition,none,6863,17186,5231, **,other,2,3,1.46875,other,5231,1.46875,False,False,0.0,gemma
g053_direct_conflict,53,direct_conflict,competition,none,6863,17186,5231, **,other,2,3,0.7578125,other,5231,0.7578125,False,False,0.0,gemma
g053_closure_update,53,closure_update,closure,none,6863,17186,5231, **,other,2,3,1.734375,other,5231,1.734375,False,False,0.0,gemma
g053_closure_override,53,closure_override,closure,none,6863,17186,5231, **,other,3,2,-0.8046875,other,5231,-0.8046875,False,False,0.0,gemma
g053_exception_override,53,exception_override,closure,none,6863,17186,5231, **,other,3,2,-0.8125,other,5231,-0.8125,False,False,0.0,gemma
g064_clean,64,clean,stable,none,38315,15934,5231, **,other,2,3,1.984375,other,5231,1.984375,False,False,0.0,gemma
g064_redundant,64,redundant,stable,none,38315,15934,5231, **,other,2,3,0.9296875,other,5231,0.9296875,False,False,0.0,gemma
g064_irrelevant,64,irrelevant,stable,none,38315,15934,38315, Copper,clean,1,3,2.078125,clean,38315,2.078125,False,False,0.0,gemma
g064_paraphrase,64,paraphrase,stable,none,38315,15934,38315, Copper,clean,1,3,1.3203125,clean,38315,1.3203125,False,False,0.0,gemma
g064_weak_distractor,64,weak_distractor,competition,none,38315,15934,5231, **,other,2,3,1.7421875,other,5231,1.7421875,False,False,0.0,gemma
g064_competition_balanced,64,competition_balanced,competition,none,38315,15934,5231, **,other,2,3,2.3203125,other,5231,2.3203125,False,False,0.0,gemma
g064_direct_conflict,64,direct_conflict,competition,none,38315,15934,5231, **,other,2,3,1.25,other,5231,1.25,False,False,0.0,gemma
g064_closure_update,64,closure_update,closure,none,38315,15934,5231, **,other,2,3,1.625,other,5231,1.625,False,False,0.0,gemma
g064_closure_override,64,closure_override,closure,none,38315,15934,15934, Silver,conflict,3,1,-0.7109375,conflict,15934,-0.7109375,False,False,0.0,gemma
g064_exception_override,64,exception_override,closure,none,38315,15934,5231, **,other,3,2,-1.3125,other,5231,-1.3125,False,False,0.0,gemma
g067_clean,67,clean,stable,none,6724,21730,5231, **,other,2,4,3.015625,other,5231,3.015625,False,False,0.0,gemma
g067_redundant,67,redundant,stable,none,6724,21730,5231, **,other,2,3,2.6484375,other,5231,2.6484375,False,False,0.0,gemma
g067_irrelevant,67,irrelevant,stable,none,6724,21730,5231, **,other,2,6,3.90625,other,5231,3.90625,False,False,0.0,gemma
g067_paraphrase,67,paraphrase,stable,none,6724,21730,5231, **,other,2,3,1.7109375,other,5231,1.7109375,False,False,0.0,gemma
g067_weak_distractor,67,weak_distractor,competition,none,6724,21730,5231, **,other,2,7,4.0390625,other,5231,4.0390625,False,False,0.0,gemma
g067_competition_balanced,67,competition_balanced,competition,none,6724,21730,5231, **,other,2,6,3.7578125,other,5231,3.7578125,False,False,0.0,gemma
g067_direct_conflict,67,direct_conflict,competition,none,6724,21730,5231, **,other,2,4,3.125,other,5231,3.125,False,False,0.0,gemma
g067_closure_update,67,closure_update,closure,none,6724,21730,5231, **,other,2,3,1.6796875,other,5231,1.6796875,False,False,0.0,gemma
g067_closure_override,67,closure_override,closure,none,6724,21730,5231, **,other,3,2,-1.6953125,other,5231,-1.6953125,False,False,0.0,gemma
g067_exception_override,67,exception_override,closure,none,6724,21730,5231, **,other,3,2,-2.4609375,other,5231,-2.4609375,False,False,0.0,gemma
g068_clean,68,clean,stable,none,4612,4316,5231, **,other,2,3,1.7265625,other,5231,1.7265625,False,False,0.0,gemma
g068_redundant,68,redundant,stable,none,4612,4316,5231, **,other,2,3,2.0859375,other,5231,2.0859375,False,False,0.0,gemma
g068_irrelevant,68,irrelevant,stable,none,4612,4316,4612, North,clean,1,4,3.1875,clean,4612,3.1875,False,False,0.0,gemma
g068_paraphrase,68,paraphrase,stable,none,4612,4316,5231, **,other,2,3,0.046875,other,5231,0.046875,False,False,0.0,gemma
g068_weak_distractor,68,weak_distractor,competition,none,4612,4316,4612, North,clean,1,3,3.2265625,clean,4612,3.2265625,False,False,0.0,gemma
