prompt_id,graph_id,condition,mechanism,control,clean_label,conflict_label,clean_token_id,conflict_token_id,top1_token_id,top1_token,top1_class,clean_rank,conflict_rank,clean_minus_conflict_margin,null_id,null_seed,strict_conflict_to_clean
g011_exception_override,11,exception_override,closure,shuffle_matched_000,Gold,Iron,6863,17186,17186, Iron,conflict,3,1,-0.59375,0,3042,False
g012_closure_update,12,closure_update,closure,shuffle_matched_000,Red,Blue,4075,7640,5231, **,other,2,3,1.0703125,0,3042,False
g012_closure_override,12,closure_override,closure,shuffle_matched_000,Red,Blue,4075,7640,5231, **,other,3,2,-0.828125,0,3042,False
g012_exception_override,12,exception_override,closure,shuffle_matched_000,Red,Blue,4075,7640,5231, **,other,3,2,-0.96875,0,3042,False
g015_closure_update,15,closure_update,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,2,3,1.2265625,0,3042,False
g015_closure_override,15,closure_override,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,3,2,-1.2890625,0,3042,False
g015_exception_override,15,exception_override,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,3,2,-1.3828125,0,3042,False
g018_closure_update,18,closure_update,closure,shuffle_matched_000,Red,Blue,4075,7640,5231, **,other,2,3,0.84375,0,3042,False
g018_closure_override,18,closure_override,closure,shuffle_matched_000,Red,Blue,4075,7640,7640, Blue,conflict,3,1,-1.140625,0,3042,False
g018_exception_override,18,exception_override,closure,shuffle_matched_000,Red,Blue,4075,7640,5231, **,other,3,2,-0.5,0,3042,False
g022_closure_update,22,closure_update,closure,shuffle_matched_000,Copper,Silver,38315,15934,5231, **,other,2,3,2.0234375,0,3042,False
g022_closure_override,22,closure_override,closure,shuffle_matched_000,Copper,Silver,38315,15934,38315, Copper,clean,1,3,0.984375,0,3042,True
g022_exception_override,22,exception_override,closure,shuffle_matched_000,Copper,Silver,38315,15934,5231, **,other,2,3,0.3046875,0,3042,False
g026_closure_update,26,closure_update,closure,shuffle_matched_000,North,South,4612,4316,5231, **,other,3,2,-0.1796875,0,3042,False
g026_closure_override,26,closure_override,closure,shuffle_matched_000,North,South,4612,4316,5231, **,other,2,3,0.3359375,0,3042,False
g026_exception_override,26,exception_override,closure,shuffle_matched_000,North,South,4612,4316,5231, **,other,2,3,0.78125,0,3042,False
g030_closure_update,30,closure_update,closure,shuffle_matched_000,Red,Blue,4075,7640,5231, **,other,2,3,1.0625,0,3042,False
g030_closure_override,30,closure_override,closure,shuffle_matched_000,Red,Blue,4075,7640,7640, Blue,conflict,3,1,-0.6953125,0,3042,False
g030_exception_override,30,exception_override,closure,shuffle_matched_000,Red,Blue,4075,7640,5231, **,other,2,3,0.1328125,0,3042,False
g031_closure_update,31,closure_update,closure,shuffle_matched_000,Green,Yellow,6724,21730,5231, **,other,2,3,2.2421875,0,3042,False
g031_closure_override,31,closure_override,closure,shuffle_matched_000,Green,Yellow,6724,21730,5231, **,other,1,3,0.8203125,0,3042,False
g031_exception_override,31,exception_override,closure,shuffle_matched_000,Green,Yellow,6724,21730,5231, **,other,2,3,0.1640625,0,3042,False
g033_closure_update,33,closure_update,closure,shuffle_matched_000,East,West,5571,4589,5571, East,clean,1,3,2.75,0,3042,False
g033_closure_override,33,closure_override,closure,shuffle_matched_000,East,West,5571,4589,5571, East,clean,1,3,0.84375,0,3042,False
g033_exception_override,33,exception_override,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,2,3,0.6640625,0,3042,False
g039_closure_update,39,closure_update,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,2,3,2.1875,0,3042,False
g039_closure_override,39,closure_override,closure,shuffle_matched_000,East,West,5571,4589,5571, East,clean,1,3,0.2890625,0,3042,True
g039_exception_override,39,exception_override,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,3,2,-0.265625,0,3042,False
g040_closure_update,40,closure_update,closure,shuffle_matched_000,Copper,Silver,38315,15934,5231, **,other,2,3,2.03125,0,3042,False
g040_closure_override,40,closure_override,closure,shuffle_matched_000,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.375,0,3042,True
g040_exception_override,40,exception_override,closure,shuffle_matched_000,Copper,Silver,38315,15934,5231, **,other,2,3,0.875,0,3042,False
g042_closure_update,42,closure_update,closure,shuffle_matched_000,Red,Blue,4075,7640,5231, **,other,2,3,1.1640625,0,3042,False
g042_closure_override,42,closure_override,closure,shuffle_matched_000,Red,Blue,4075,7640,5231, **,other,3,1,-0.734375,0,3042,False
g042_exception_override,42,exception_override,closure,shuffle_matched_000,Red,Blue,4075,7640,5231, **,other,3,2,-0.03125,0,3042,False
g045_closure_update,45,closure_update,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,2,4,2.953125,0,3042,False
g045_closure_override,45,closure_override,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,2,3,0.765625,0,3042,False
g045_exception_override,45,exception_override,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,2,3,0.765625,0,3042,False
g053_closure_update,53,closure_update,closure,shuffle_matched_000,Gold,Iron,6863,17186,5231, **,other,2,3,1.734375,0,3042,False
g053_closure_override,53,closure_override,closure,shuffle_matched_000,Gold,Iron,6863,17186,5231, **,other,1,3,1.4375,0,3042,False
g053_exception_override,53,exception_override,closure,shuffle_matched_000,Gold,Iron,6863,17186,5231, **,other,2,3,0.9765625,0,3042,False
g064_closure_update,64,closure_update,closure,shuffle_matched_000,Copper,Silver,38315,15934,5231, **,other,2,3,1.6328125,0,3042,False
g064_closure_override,64,closure_override,closure,shuffle_matched_000,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.625,0,3042,True
g064_exception_override,64,exception_override,closure,shuffle_matched_000,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.75,0,3042,False
g067_closure_update,67,closure_update,closure,shuffle_matched_000,Green,Yellow,6724,21730,5231, **,other,2,3,2.171875,0,3042,False
g067_closure_override,67,closure_override,closure,shuffle_matched_000,Green,Yellow,6724,21730,6724, Green,clean,1,3,0.859375,0,3042,False
g067_exception_override,67,exception_override,closure,shuffle_matched_000,Green,Yellow,6724,21730,6724, Green,clean,1,3,1.25,0,3042,False
g068_closure_update,68,closure_update,closure,shuffle_matched_000,North,South,4612,4316,5231, **,other,2,3,0.8203125,0,3042,False
g068_closure_override,68,closure_override,closure,shuffle_matched_000,North,South,4612,4316,4612, North,clean,1,3,1.328125,0,3042,True
g068_exception_override,68,exception_override,closure,shuffle_matched_000,North,South,4612,4316,5231, **,other,2,3,0.515625,0,3042,False
g069_closure_update,69,closure_update,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,2,4,2.7109375,0,3042,False
g069_closure_override,69,closure_override,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,2,3,0.6875,0,3042,False
g069_exception_override,69,exception_override,closure,shuffle_matched_000,East,West,5571,4589,5231, **,other,2,3,0.453125,0,3042,False
g073_closure_update,73,closure_update,closure,shuffle_matched_000,Green,Yellow,6724,21730,5231, **,other,2,3,1.4765625,0,3042,False
g073_closure_override,73,closure_override,closure,shuffle_matched_000,Green,Yellow,6724,21730,5231, **,other,2,3,0.1796875,0,3042,False
g073_exception_override,73,exception_override,closure,shuffle_matched_000,Green,Yellow,6724,21730,5231, **,other,2,3,0.484375,0,3042,False
g077_closure_update,77,closure_update,closure,shuffle_matched_000,Gold,Iron,6863,17186,5231, **,other,2,3,2.1015625,0,3042,False
g077_closure_override,77,closure_override,closure,shuffle_matched_000,Gold,Iron,6863,17186,5231, **,other,2,3,0.71875,0,3042,False
g077_exception_override,77,exception_override,closure,shuffle_matched_000,Gold,Iron,6863,17186,5231, **,other,2,3,0.6796875,0,3042,False
g079_closure_update,79,closure_update,closure,shuffle_matched_000,Green,Yellow,6724,21730,5231, **,other,2,3,1.3984375,0,3042,False
g079_closure_override,79,closure_override,closure,shuffle_matched_000,Green,Yellow,6724,21730,5231, **,other,2,3,0.0390625,0,3042,False
g079_exception_override,79,exception_override,closure,shuffle_matched_000,Green,Yellow,6724,21730,6724, Green,clean,1,3,0.6171875,0,3042,False
g080_closure_update,80,closure_update,closure,shuffle_matched_000,North,South,4612,4316,5231, **,other,2,3,0.203125,0,3042,False
g080_closure_override,80,closure_override,closure,shuffle_matched_000,North,South,4612,4316,4612, North,clean,1,3,0.9296875,0,3042,True
g080_exception_override,80,exception_override,closure,shuffle_matched_000,North,South,4612,4316,5231, **,other,2,3,1.125,0,3042,False
g085_closure_update,85,closure_update,closure,shuffle_matched_000,Green,Yellow,6724,21730,5231, **,other,2,3,1.75,0,3042,False
g085_closure_override,85,closure_override,closure,shuffle_matched_000,Green,Yellow,6724,21730,6724, Green,clean,1,3,0.828125,0,3042,True
g085_exception_override,85,exception_override,closure,shuffle_matched_000,Green,Yellow,6724,21730,5231, **,other,2,3,0.375,0,3042,False
g088_closure_update,88,closure_update,closure,shuffle_matched_000,Copper,Silver,38315,15934,5231, **,other,2,3,2.8046875,0,3042,False
g088_closure_override,88,closure_override,closure,shuffle_matched_000,Copper,Silver,38315,15934,5231, **,other,2,3,0.53125,0,3042,False
g088_exception_override,88,exception_override,closure,shuffle_matched_000,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.6953125,0,3042,False
g094_closure_update,94,closure_update,closure,shuffle_matched_000,Copper,Silver,38315,15934,5231, **,other,2,4,3.0703125,0,3042,False
g094_closure_override,94,closure_override,closure,shuffle_matched_000,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.6171875,0,3042,True
g094_exception_override,94,exception_override,closure,shuffle_matched_000,Copper,Silver,38315,15934,5231, **,other,2,3,0.546875,0,3042,False
g000_closure_update,0,closure_update,closure,shuffle_matched_001,Red,Blue,4075,7640,5231, **,other,2,3,0.953125,1,3043,False
g000_closure_override,0,closure_override,closure,shuffle_matched_001,Red,Blue,4075,7640,5231, **,other,3,2,-0.7265625,1,3043,False
g000_exception_override,0,exception_override,closure,shuffle_matched_001,Red,Blue,4075,7640,5231, **,other,3,2,-0.625,1,3043,False
g004_closure_update,4,closure_update,closure,shuffle_matched_001,Copper,Silver,38315,15934,5231, **,other,2,3,2.4765625,1,3043,False
g004_closure_override,4,closure_override,closure,shuffle_matched_001,Copper,Silver,38315,15934,38315, Copper,clean,1,3,2.296875,1,3043,False
g004_exception_override,4,exception_override,closure,shuffle_matched_001,Copper,Silver,38315,15934,38315, Copper,clean,1,4,2.734375,1,3043,False
g009_closure_update,9,closure_update,closure,shuffle_matched_001,East,West,5571,4589,5231, **,other,2,3,2.875,1,3043,False
g009_closure_override,9,closure_override,closure,shuffle_matched_001,East,West,5571,4589,5231, **,other,2,3,0.6015625,1,3043,False
g009_exception_override,9,exception_override,closure,shuffle_matched_001,East,West,5571,4589,5231, **,other,2,3,0.3203125,1,3043,False
g010_closure_update,10,closure_update,closure,shuffle_matched_001,Copper,Silver,38315,15934,5231, **,other,2,4,3.296875,1,3043,False
g010_closure_override,10,closure_override,closure,shuffle_matched_001,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.7734375,1,3043,False
g010_exception_override,10,exception_override,closure,shuffle_matched_001,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.03125,1,3043,False
g011_closure_update,11,closure_update,closure,shuffle_matched_001,Gold,Iron,6863,17186,5231, **,other,2,3,2.1328125,1,3043,False
g011_closure_override,11,closure_override,closure,shuffle_matched_001,Gold,Iron,6863,17186,5231, **,other,2,3,0.21875,1,3043,False
g011_exception_override,11,exception_override,closure,shuffle_matched_001,Gold,Iron,6863,17186,17186, Iron,conflict,3,1,-0.59375,1,3043,False
g012_closure_update,12,closure_update,closure,shuffle_matched_001,Red,Blue,4075,7640,5231, **,other,2,3,1.0703125,1,3043,False
g012_closure_override,12,closure_override,closure,shuffle_matched_001,Red,Blue,4075,7640,7640, Blue,conflict,3,1,-1.015625,1,3043,False
g012_exception_override,12,exception_override,closure,shuffle_matched_001,Red,Blue,4075,7640,5231, **,other,3,2,-0.96875,1,3043,False
g015_closure_update,15,closure_update,closure,shuffle_matched_001,East,West,5571,4589,5231, **,other,2,3,1.2265625,1,3043,False
g015_closure_override,15,closure_override,closure,shuffle_matched_001,East,West,5571,4589,4589, West,conflict,3,1,-1.3359375,1,3043,False
g015_exception_override,15,exception_override,closure,shuffle_matched_001,East,West,5571,4589,4589, West,conflict,3,1,-1.515625,1,3043,False
g018_closure_update,18,closure_update,closure,shuffle_matched_001,Red,Blue,4075,7640,5231, **,other,2,3,0.84375,1,3043,False
g018_closure_override,18,closure_override,closure,shuffle_matched_001,Red,Blue,4075,7640,5231, **,other,3,2,-0.875,1,3043,False
g018_exception_override,18,exception_override,closure,shuffle_matched_001,Red,Blue,4075,7640,5231, **,other,3,2,-1.2734375,1,3043,False
g022_closure_update,22,closure_update,closure,shuffle_matched_001,Copper,Silver,38315,15934,5231, **,other,2,3,2.0234375,1,3043,False
g022_closure_override,22,closure_override,closure,shuffle_matched_001,Copper,Silver,38315,15934,38315, Copper,clean,1,3,0.5,1,3043,True
g022_exception_override,22,exception_override,closure,shuffle_matched_001,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.59375,1,3043,False
g026_closure_update,26,closure_update,closure,shuffle_matched_001,North,South,4612,4316,5231, **,other,3,2,-0.1796875,1,3043,False
g026_closure_override,26,closure_override,closure,shuffle_matched_001,North,South,4612,4316,5231, **,other,2,3,0.265625,1,3043,False
g026_exception_override,26,exception_override,closure,shuffle_matched_001,North,South,4612,4316,5231, **,other,3,2,-0.5546875,1,3043,False
g030_closure_update,30,closure_update,closure,shuffle_matched_001,Red,Blue,4075,7640,5231, **,other,2,3,1.03125,1,3043,False
g030_closure_override,30,closure_override,closure,shuffle_matched_001,Red,Blue,4075,7640,5231, **,other,3,2,-0.6171875,1,3043,False
g030_exception_override,30,exception_override,closure,shuffle_matched_001,Red,Blue,4075,7640,5231, **,other,3,2,-0.9453125,1,3043,False
g031_closure_update,31,closure_update,closure,shuffle_matched_001,Green,Yellow,6724,21730,5231, **,other,2,3,2.2421875,1,3043,False
g031_closure_override,31,closure_override,closure,shuffle_matched_001,Green,Yellow,6724,21730,5231, **,other,1,3,0.8203125,1,3043,False
g031_exception_override,31,exception_override,closure,shuffle_matched_001,Green,Yellow,6724,21730,5231, **,other,2,3,0.1640625,1,3043,False
g033_closure_update,33,closure_update,closure,shuffle_matched_001,East,West,5571,4589,5571, East,clean,1,3,2.75,1,3043,False
g033_closure_override,33,closure_override,closure,shuffle_matched_001,East,West,5571,4589,5571, East,clean,1,3,0.5234375,1,3043,False
g033_exception_override,33,exception_override,closure,shuffle_matched_001,East,West,5571,4589,5231, **,other,2,3,0.484375,1,3043,False
g039_closure_update,39,closure_update,closure,shuffle_matched_001,East,West,5571,4589,5231, **,other,2,3,2.1875,1,3043,False
g039_closure_override,39,closure_override,closure,shuffle_matched_001,East,West,5571,4589,5571, East,clean,1,3,0.2734375,1,3043,True
g039_exception_override,39,exception_override,closure,shuffle_matched_001,East,West,5571,4589,5231, **,other,3,2,-0.0859375,1,3043,False
g040_closure_update,40,closure_update,closure,shuffle_matched_001,Copper,Silver,38315,15934,5231, **,other,2,3,2.03125,1,3043,False
g040_closure_override,40,closure_override,closure,shuffle_matched_001,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.65625,1,3043,True
g040_exception_override,40,exception_override,closure,shuffle_matched_001,Copper,Silver,38315,15934,38315, Copper,clean,1,5,3.125,1,3043,False
g042_closure_update,42,closure_update,closure,shuffle_matched_001,Red,Blue,4075,7640,5231, **,other,2,3,1.1640625,1,3043,False
g042_closure_override,42,closure_override,closure,shuffle_matched_001,Red,Blue,4075,7640,5231, **,other,3,2,-0.390625,1,3043,False
g042_exception_override,42,exception_override,closure,shuffle_matched_001,Red,Blue,4075,7640,5231, **,other,3,2,-0.0234375,1,3043,False
g045_closure_update,45,closure_update,closure,shuffle_matched_001,East,West,5571,4589,5231, **,other,2,4,2.953125,1,3043,False
g045_closure_override,45,closure_override,closure,shuffle_matched_001,East,West,5571,4589,5231, **,other,2,3,0.8203125,1,3043,False
g045_exception_override,45,exception_override,closure,shuffle_matched_001,East,West,5571,4589,5231, **,other,2,3,0.5859375,1,3043,False
g053_closure_update,53,closure_update,closure,shuffle_matched_001,Gold,Iron,6863,17186,5231, **,other,2,3,1.734375,1,3043,False
g053_closure_override,53,closure_override,closure,shuffle_matched_001,Gold,Iron,6863,17186,6863, Gold,clean,1,3,1.4921875,1,3043,False
g053_exception_override,53,exception_override,closure,shuffle_matched_001,Gold,Iron,6863,17186,5231, **,other,2,3,0.4296875,1,3043,False
g064_closure_update,64,closure_update,closure,shuffle_matched_001,Copper,Silver,38315,15934,5231, **,other,2,3,1.6328125,1,3043,False
g064_closure_override,64,closure_override,closure,shuffle_matched_001,Copper,Silver,38315,15934,5231, **,other,2,3,0.515625,1,3043,False
g064_exception_override,64,exception_override,closure,shuffle_matched_001,Copper,Silver,38315,15934,38315, Copper,clean,1,3,2.1484375,1,3043,False
g067_closure_update,67,closure_update,closure,shuffle_matched_001,Green,Yellow,6724,21730,5231, **,other,2,3,2.171875,1,3043,False
g067_closure_override,67,closure_override,closure,shuffle_matched_001,Green,Yellow,6724,21730,6724, Green,clean,1,3,0.9140625,1,3043,False
g067_exception_override,67,exception_override,closure,shuffle_matched_001,Green,Yellow,6724,21730,6724, Green,clean,1,3,1.234375,1,3043,False
g068_closure_update,68,closure_update,closure,shuffle_matched_001,North,South,4612,4316,5231, **,other,2,3,0.8203125,1,3043,False
g068_closure_override,68,closure_override,closure,shuffle_matched_001,North,South,4612,4316,4612, North,clean,1,3,1.3125,1,3043,True
g068_exception_override,68,exception_override,closure,shuffle_matched_001,North,South,4612,4316,5231, **,other,2,3,1.4140625,1,3043,False
g069_closure_update,69,closure_update,closure,shuffle_matched_001,East,West,5571,4589,5231, **,other,2,4,2.7109375,1,3043,False
g069_closure_override,69,closure_override,closure,shuffle_matched_001,East,West,5571,4589,5231, **,other,2,3,0.6875,1,3043,False
g069_exception_override,69,exception_override,closure,shuffle_matched_001,East,West,5571,4589,5231, **,other,2,3,0.5234375,1,3043,False
g073_closure_update,73,closure_update,closure,shuffle_matched_001,Green,Yellow,6724,21730,5231, **,other,2,3,1.4765625,1,3043,False
g073_closure_override,73,closure_override,closure,shuffle_matched_001,Green,Yellow,6724,21730,5231, **,other,2,3,0.1796875,1,3043,False
g073_exception_override,73,exception_override,closure,shuffle_matched_001,Green,Yellow,6724,21730,5231, **,other,2,3,0.40625,1,3043,False
g077_closure_update,77,closure_update,closure,shuffle_matched_001,Gold,Iron,6863,17186,5231, **,other,2,3,2.1015625,1,3043,False
g077_closure_override,77,closure_override,closure,shuffle_matched_001,Gold,Iron,6863,17186,5231, **,other,2,3,1.0234375,1,3043,False
g077_exception_override,77,exception_override,closure,shuffle_matched_001,Gold,Iron,6863,17186,5231, **,other,2,3,0.6640625,1,3043,False
g079_closure_update,79,closure_update,closure,shuffle_matched_001,Green,Yellow,6724,21730,5231, **,other,2,3,1.3984375,1,3043,False
g079_closure_override,79,closure_override,closure,shuffle_matched_001,Green,Yellow,6724,21730,5231, **,other,2,3,0.015625,1,3043,False
g079_exception_override,79,exception_override,closure,shuffle_matched_001,Green,Yellow,6724,21730,5231, **,other,3,2,-0.5234375,1,3043,False
g080_closure_update,80,closure_update,closure,shuffle_matched_001,North,South,4612,4316,5231, **,other,2,3,0.203125,1,3043,False
g080_closure_override,80,closure_override,closure,shuffle_matched_001,North,South,4612,4316,4612, North,clean,1,3,0.9453125,1,3043,True
g080_exception_override,80,exception_override,closure,shuffle_matched_001,North,South,4612,4316,5231, **,other,2,3,1.1015625,1,3043,False
g085_closure_update,85,closure_update,closure,shuffle_matched_001,Green,Yellow,6724,21730,5231, **,other,2,3,1.734375,1,3043,False
g085_closure_override,85,closure_override,closure,shuffle_matched_001,Green,Yellow,6724,21730,6724, Green,clean,1,3,0.859375,1,3043,True
g085_exception_override,85,exception_override,closure,shuffle_matched_001,Green,Yellow,6724,21730,5231, **,other,2,3,0.5625,1,3043,False
g088_closure_update,88,closure_update,closure,shuffle_matched_001,Copper,Silver,38315,15934,5231, **,other,2,3,2.8046875,1,3043,False
g088_closure_override,88,closure_override,closure,shuffle_matched_001,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.9140625,1,3043,True
g088_exception_override,88,exception_override,closure,shuffle_matched_001,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.203125,1,3043,False
g094_closure_update,94,closure_update,closure,shuffle_matched_001,Copper,Silver,38315,15934,5231, **,other,2,4,3.0703125,1,3043,False
g094_closure_override,94,closure_override,closure,shuffle_matched_001,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.6171875,1,3043,True
g094_exception_override,94,exception_override,closure,shuffle_matched_001,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.7421875,1,3043,False
g000_closure_update,0,closure_update,closure,shuffle_matched_002,Red,Blue,4075,7640,5231, **,other,2,3,0.953125,2,3044,False
g000_closure_override,0,closure_override,closure,shuffle_matched_002,Red,Blue,4075,7640,5231, **,other,3,2,-1.1015625,2,3044,False
g000_exception_override,0,exception_override,closure,shuffle_matched_002,Red,Blue,4075,7640,5231, **,other,3,2,-0.6328125,2,3044,False
g004_closure_update,4,closure_update,closure,shuffle_matched_002,Copper,Silver,38315,15934,5231, **,other,2,3,2.4765625,2,3044,False
g004_closure_override,4,closure_override,closure,shuffle_matched_002,Copper,Silver,38315,15934,38315, Copper,clean,1,3,2.328125,2,3044,False
g004_exception_override,4,exception_override,closure,shuffle_matched_002,Copper,Silver,38315,15934,5231, **,other,2,3,0.7421875,2,3044,False
g009_closure_update,9,closure_update,closure,shuffle_matched_002,East,West,5571,4589,5231, **,other,2,3,2.875,2,3044,False
g009_closure_override,9,closure_override,closure,shuffle_matched_002,East,West,5571,4589,5231, **,other,2,3,0.6015625,2,3044,False
g009_exception_override,9,exception_override,closure,shuffle_matched_002,East,West,5571,4589,5231, **,other,2,3,0.296875,2,3044,False
g010_closure_update,10,closure_update,closure,shuffle_matched_002,Copper,Silver,38315,15934,5231, **,other,2,4,3.296875,2,3044,False
g010_closure_override,10,closure_override,closure,shuffle_matched_002,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.5234375,2,3044,False
g010_exception_override,10,exception_override,closure,shuffle_matched_002,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.3046875,2,3044,False
g011_closure_update,11,closure_update,closure,shuffle_matched_002,Gold,Iron,6863,17186,5231, **,other,2,3,2.1328125,2,3044,False
g011_closure_override,11,closure_override,closure,shuffle_matched_002,Gold,Iron,6863,17186,5231, **,other,2,3,0.1875,2,3044,False
g011_exception_override,11,exception_override,closure,shuffle_matched_002,Gold,Iron,6863,17186,17186, Iron,conflict,3,1,-0.59375,2,3044,False
g012_closure_update,12,closure_update,closure,shuffle_matched_002,Red,Blue,4075,7640,5231, **,other,2,3,1.0703125,2,3044,False
g012_closure_override,12,closure_override,closure,shuffle_matched_002,Red,Blue,4075,7640,5231, **,other,3,2,-0.8125,2,3044,False
g012_exception_override,12,exception_override,closure,shuffle_matched_002,Red,Blue,4075,7640,5231, **,other,3,2,-1.0078125,2,3044,False
g015_closure_update,15,closure_update,closure,shuffle_matched_002,East,West,5571,4589,5231, **,other,2,3,1.2265625,2,3044,False
g015_closure_override,15,closure_override,closure,shuffle_matched_002,East,West,5571,4589,4589, West,conflict,3,1,-1.359375,2,3044,False
g015_exception_override,15,exception_override,closure,shuffle_matched_002,East,West,5571,4589,5231, **,other,3,2,-0.921875,2,3044,False
g018_closure_update,18,closure_update,closure,shuffle_matched_002,Red,Blue,4075,7640,5231, **,other,2,3,0.84375,2,3044,False
g018_closure_override,18,closure_override,closure,shuffle_matched_002,Red,Blue,4075,7640,5231, **,other,3,2,-0.890625,2,3044,False
g018_exception_override,18,exception_override,closure,shuffle_matched_002,Red,Blue,4075,7640,5231, **,other,3,2,-0.453125,2,3044,False
g022_closure_update,22,closure_update,closure,shuffle_matched_002,Copper,Silver,38315,15934,5231, **,other,2,3,2.0234375,2,3044,False
g022_closure_override,22,closure_override,closure,shuffle_matched_002,Copper,Silver,38315,15934,5231, **,other,2,2,0.0,2,3044,False
g022_exception_override,22,exception_override,closure,shuffle_matched_002,Copper,Silver,38315,15934,38315, Copper,clean,1,3,1.5625,2,3044,False
g026_closure_update,26,closure_update,closure,shuffle_matched_002,North,South,4612,4316,5231, **,other,3,2,-0.1796875,2,3044,False
g026_closure_override,26,closure_override,closure,shuffle_matched_002,North,South,4612,4316,5231, **,other,2,3,0.3359375,2,3044,False
g026_exception_override,26,exception_override,closure,shuffle_matched_002,North,South,4612,4316,5231, **,other,3,2,-0.125,2,3044,False
g030_closure_update,30,closure_update,closure,shuffle_matched_002,Red,Blue,4075,7640,5231, **,other,2,3,1.03125,2,3044,False
g030_closure_override,30,closure_override,closure,shuffle_matched_002,Red,Blue,4075,7640,5231, **,other,3,2,-0.6171875,2,3044,False
g030_exception_override,30,exception_override,closure,shuffle_matched_002,Red,Blue,4075,7640,5231, **,other,2,3,0.03125,2,3044,False
g031_closure_update,31,closure_update,closure,shuffle_matched_002,Green,Yellow,6724,21730,5231, **,other,2,3,2.2421875,2,3044,False
g031_closure_override,31,closure_override,closure,shuffle_matched_002,Green,Yellow,6724,21730,5231, **,other,1,3,0.8203125,2,3044,False
g031_exception_override,31,exception_override,closure,shuffle_matched_002,Green,Yellow,6724,21730,5231, **,other,2,3,1.171875,2,3044,False
g033_closure_update,33,closure_update,closure,shuffle_matched_002,East,West,5571,4589,5571, East,clean,1,3,2.75,2,3044,False
g033_closure_override,33,closure_override,closure,shuffle_matched_002,East,West,5571,4589,5571, East,clean,1,3,0.5234375,2,3044,False
