prompt_index,cross_half_identity_advantage,quarter_identity_advantage,cross_half_self_cosine,lag1_cosine,lag2_cosine,task,model,init_seed
38,-0.09078386425971985,-0.02633318305015564,-0.2474760115146637,-0.020471863448619843,-0.026902571320533752,lexical_category,qwen,1801
39,-0.066992849111557,-0.025127772241830826,-0.23376807570457458,-0.023037102073431015,-0.025127051398158073,lexical_category,qwen,1801
40,-0.0863683819770813,0.008584022521972656,-0.25571760535240173,-0.024756619706749916,-0.02310801111161709,lexical_category,qwen,1801
41,-0.10313494503498077,-0.023954033851623535,-0.24977345764636993,-0.026525596156716347,-0.022182004526257515,lexical_category,qwen,1801
42,-0.0712079405784607,-0.05507202446460724,-0.25443774461746216,-0.024305719882249832,-0.02841683104634285,lexical_category,qwen,1801
43,-0.07907463610172272,-0.03507271781563759,-0.23815035820007324,-0.027703437954187393,-0.025444108992815018,lexical_category,qwen,1801
44,-0.08413293957710266,-0.023865345865488052,-0.24962246417999268,-0.020813962444663048,-0.021828792989253998,lexical_category,qwen,1801
45,-0.06290000677108765,-0.018134351819753647,-0.23857420682907104,-0.025622013956308365,-0.02496965229511261,lexical_category,qwen,1801
46,-0.0900525450706482,0.013759633526206017,-0.26061511039733887,-0.025101054459810257,-0.015780113637447357,lexical_category,qwen,1801
47,-0.09766572713851929,-0.025079715996980667,-0.24784013628959656,-0.0334017276763916,-0.021058805286884308,lexical_category,qwen,1801
48,-0.08948482573032379,-0.042930200695991516,-0.26627400517463684,-0.026685228571295738,-0.028967706486582756,lexical_category,qwen,1801
49,-0.08004054427146912,-0.04963422566652298,-0.24129390716552734,-0.02885221131145954,-0.02580348215997219,lexical_category,qwen,1801
50,-0.11343121528625488,-0.04315144941210747,-0.26188895106315613,-0.022194353863596916,-0.018322598189115524,lexical_category,qwen,1801
51,-0.06999291479587555,-0.024134162813425064,-0.23038460314273834,-0.026985319331288338,-0.02164192497730255,lexical_category,qwen,1801
52,-0.09883545339107513,-0.041046686470508575,-0.2545197606086731,-0.029447564855217934,-0.022147193551063538,lexical_category,qwen,1801
53,-0.11347343027591705,-0.02959083765745163,-0.2665034234523773,-0.030563388019800186,-0.01805303432047367,lexical_category,qwen,1801
54,-0.07240989804267883,-0.031469620764255524,-0.2572134733200073,-0.030038634315133095,-0.02696567215025425,lexical_category,qwen,1801
55,-0.09284649789333344,-0.057981569319963455,-0.25690340995788574,-0.02868480794131756,-0.023959025740623474,lexical_category,qwen,1801
56,-0.09255684912204742,-0.02610078454017639,-0.24272193014621735,-0.0254594087600708,-0.027885718271136284,lexical_category,qwen,1801
57,-0.06184409558773041,-0.023814652115106583,-0.22275638580322266,-0.027742493897676468,-0.023302871733903885,lexical_category,qwen,1801
58,-0.08676818013191223,-0.00784071534872055,-0.25764697790145874,-0.029753999784588814,-0.019836291670799255,lexical_category,qwen,1801
59,-0.10692541301250458,-0.027169108390808105,-0.2586803734302521,-0.03130341321229935,-0.0171182993799448,lexical_category,qwen,1801
60,-0.07394081354141235,-0.02881786972284317,-0.24548694491386414,-0.0271234679967165,-0.02764984779059887,lexical_category,qwen,1801
61,-0.07940502464771271,-0.017346695065498352,-0.23839814960956573,-0.021642187610268593,-0.030172206461429596,lexical_category,qwen,1801
62,-0.09907124936580658,-0.01778125762939453,-0.24149024486541748,-0.032045405358076096,-0.02215682901442051,lexical_category,qwen,1801
63,-0.08788782358169556,-0.01582980901002884,-0.2341473251581192,-0.026494959369301796,-0.020792217925190926,lexical_category,qwen,1801
64,-0.08387291431427002,-0.02756858989596367,-0.23383012413978577,-0.03028860315680504,-0.01590823382139206,lexical_category,qwen,1801
65,-0.10891057550907135,-0.012391787022352219,-0.24276778101921082,-0.03341158106923103,-0.024260735139250755,lexical_category,qwen,1801
66,-0.09196449816226959,-0.03631346672773361,-0.2717846632003784,-0.029557067900896072,-0.030740097165107727,lexical_category,qwen,1801
67,-0.09179490804672241,-0.02774667739868164,-0.23906110227108002,-0.028260748833417892,-0.024913610890507698,lexical_category,qwen,1801
68,-0.10149376094341278,-0.028045080602169037,-0.2526426613330841,-0.0285646989941597,-0.020954236388206482,lexical_category,qwen,1801
69,-0.08179238438606262,-0.008383192121982574,-0.2485402524471283,-0.026962127536535263,-0.022330420091748238,lexical_category,qwen,1801
70,-0.08649423718452454,-0.018110573291778564,-0.25470325350761414,-0.02435385435819626,-0.016365546733140945,lexical_category,qwen,1801
71,-0.104680135846138,-0.013498079031705856,-0.25317758321762085,-0.028577275574207306,-0.019101576879620552,lexical_category,qwen,1801
72,-0.05735301971435547,-0.020101018249988556,-0.23641254007816315,-0.027112580835819244,-0.029233330860733986,lexical_category,qwen,1801
73,-0.08843617141246796,-0.03935522958636284,-0.24421417713165283,-0.028535233810544014,-0.025345932692289352,lexical_category,qwen,1801
74,-0.08374075591564178,-0.01194833219051361,-0.24071577191352844,-0.021470751613378525,-0.02665255218744278,lexical_category,qwen,1801
75,-0.05294014513492584,-0.00803714245557785,-0.2171381115913391,-0.023216290399432182,-0.022504812106490135,lexical_category,qwen,1801
76,-0.08037281036376953,-0.006184183061122894,-0.24517153203487396,-0.03224857896566391,-0.018300872296094894,lexical_category,qwen,1801
77,-0.10040456056594849,-0.02389443665742874,-0.24032443761825562,-0.031697336584329605,-0.026446165516972542,lexical_category,qwen,1801
78,-0.08570548892021179,-0.03086305782198906,-0.2583637833595276,-0.02463541552424431,-0.031897611916065216,lexical_category,qwen,1801
79,-0.08084557950496674,-0.02054017037153244,-0.23263636231422424,-0.0270400233566761,-0.028364375233650208,lexical_category,qwen,1801
80,-0.09381885826587677,-0.02786615863442421,-0.2583581209182739,-0.021355770528316498,-0.025804851204156876,lexical_category,qwen,1801
81,-0.06503349542617798,-0.019607119262218475,-0.23198442161083221,-0.03146708384156227,-0.025442151352763176,lexical_category,qwen,1801
82,-0.08632786571979523,0.0010118894279003143,-0.24998506903648376,-0.026246000081300735,-0.021520046517252922,lexical_category,qwen,1801
83,-0.11702410876750946,-0.026347976177930832,-0.24222858250141144,-0.028886983171105385,-0.02288801036775112,lexical_category,qwen,1801
84,-0.08407114446163177,-0.041183553636074066,-0.26099893450737,-0.03028211183845997,-0.026295071467757225,lexical_category,qwen,1801
85,-0.07216480374336243,-0.04950292035937309,-0.2307165414094925,-0.028067048639059067,-0.025953080505132675,lexical_category,qwen,1801
86,-0.10156424343585968,-0.021602381020784378,-0.2553713619709015,-0.021720318123698235,-0.022264353930950165,lexical_category,qwen,1801
87,-0.0642460435628891,-0.031041059643030167,-0.22292330861091614,-0.02892158180475235,-0.017839686945080757,lexical_category,qwen,1801
88,-0.09658370912075043,-0.0032587312161922455,-0.2584386169910431,-0.028101006522774696,-0.019947459921240807,lexical_category,qwen,1801
89,-0.10641855001449585,-0.024755675345659256,-0.2515887916088104,-0.03182858228683472,-0.021190671250224113,lexical_category,qwen,1801
90,-0.08660845458507538,-0.0495159849524498,-0.2627396285533905,-0.02575666643679142,-0.031002528965473175,lexical_category,qwen,1801
91,-0.07426483929157257,-0.02792435884475708,-0.23716160655021667,-0.026351405307650566,-0.02698403410613537,lexical_category,qwen,1801
92,-0.10326118767261505,-0.032762836664915085,-0.2631628215312958,-0.0278402641415596,-0.02589324302971363,lexical_category,qwen,1801
93,-0.07815337181091309,-0.025249525904655457,-0.2528380751609802,-0.030315347015857697,-0.023280808702111244,lexical_category,qwen,1801
94,-0.08891941606998444,-0.015128262341022491,-0.2561042308807373,-0.031258050352334976,-0.017535807564854622,lexical_category,qwen,1801
95,-0.10522089898586273,-0.04452260211110115,-0.2539139986038208,-0.028097275644540787,-0.019651005044579506,lexical_category,qwen,1801
0,-0.023761704564094543,-0.012334533035755157,-0.25193625688552856,-0.03287108615040779,-0.03304296359419823,arithmetic_addition,qwen,1801
1,-0.029691174626350403,-0.015856124460697174,-0.2389019876718521,-0.0332174152135849,-0.02743610367178917,arithmetic_addition,qwen,1801
2,-0.04941219091415405,-0.023246459662914276,-0.2625066041946411,-0.03283577412366867,-0.02689923532307148,arithmetic_addition,qwen,1801
3,-0.03197786211967468,-0.023952797055244446,-0.25323620438575745,-0.03639660030603409,-0.02802148088812828,arithmetic_addition,qwen,1801
4,-0.05050791800022125,-0.01574273407459259,-0.2615918219089508,-0.03505050390958786,-0.03049563802778721,arithmetic_addition,qwen,1801
5,-0.06066414713859558,-0.02815946191549301,-0.2676774859428406,-0.03280959278345108,-0.03306242451071739,arithmetic_addition,qwen,1801
6,-0.021247461438179016,-0.011984512209892273,-0.251273512840271,-0.0338851734995842,-0.031684521585702896,arithmetic_addition,qwen,1801
7,-0.026962503790855408,-0.009569868445396423,-0.23588833212852478,-0.03287975862622261,-0.027449632063508034,arithmetic_addition,qwen,1801
8,-0.04466567933559418,-0.012738533318042755,-0.25696703791618347,-0.033724479377269745,-0.025231312960386276,arithmetic_addition,qwen,1801
9,-0.027307569980621338,-0.01518791913986206,-0.2415057271718979,-0.036172136664390564,-0.028848793357610703,arithmetic_addition,qwen,1801
10,-0.040700122714042664,-0.008007533848285675,-0.2560378909111023,-0.033334631472826004,-0.02950992062687874,arithmetic_addition,qwen,1801
11,-0.04838329553604126,-0.019990980625152588,-0.25695931911468506,-0.03166121989488602,-0.03139609470963478,arithmetic_addition,qwen,1801
12,-0.02260613441467285,-0.0118330717086792,-0.25441139936447144,-0.028013374656438828,-0.03379840403795242,arithmetic_addition,qwen,1801
13,-0.02624848484992981,-0.004815220832824707,-0.246962770819664,-0.029468804597854614,-0.028413109481334686,arithmetic_addition,qwen,1801
14,-0.043356746435165405,-0.013162471354007721,-0.26357701420783997,-0.030978363007307053,-0.029907383024692535,arithmetic_addition,qwen,1801
15,-0.0461089164018631,-0.008460022509098053,-0.2751918435096741,-0.030752841383218765,-0.028686024248600006,arithmetic_addition,qwen,1801
16,-0.04391297698020935,-0.011423707008361816,-0.263133704662323,-0.03041275031864643,-0.03159300982952118,arithmetic_addition,qwen,1801
17,-0.05474993586540222,-0.01084282249212265,-0.27044886350631714,-0.02824210375547409,-0.03259832412004471,arithmetic_addition,qwen,1801
18,-0.02163781225681305,-0.014450669288635254,-0.2500777840614319,-0.030267324298620224,-0.029040463268756866,arithmetic_addition,qwen,1801
19,-0.01969325542449951,-0.012435846030712128,-0.23394103348255157,-0.034363023936748505,-0.024323925375938416,arithmetic_addition,qwen,1801
20,-0.05154690146446228,-0.019000515341758728,-0.2574578523635864,-0.0343901552259922,-0.02398613840341568,arithmetic_addition,qwen,1801
21,-0.03680431842803955,-0.016574591398239136,-0.2615642547607422,-0.0357138067483902,-0.02506829984486103,arithmetic_addition,qwen,1801
22,-0.05390143394470215,-0.021823354065418243,-0.25953879952430725,-0.03519773483276367,-0.029194913804531097,arithmetic_addition,qwen,1801
23,-0.062475189566612244,-0.02043575793504715,-0.2651836574077606,-0.03157946094870567,-0.03162368759512901,arithmetic_addition,qwen,1801
24,-0.026779457926750183,-0.007854528725147247,-0.2565271854400635,-0.02994963340461254,-0.035363465547561646,arithmetic_addition,qwen,1801
25,-0.02746225893497467,-0.003085315227508545,-0.2479197382926941,-0.032966215163469315,-0.029994267970323563,arithmetic_addition,qwen,1801
26,-0.049303218722343445,-0.011666379868984222,-0.25406453013420105,-0.0299662034958601,-0.029505373910069466,arithmetic_addition,qwen,1801
27,-0.058234378695487976,-0.003259100019931793,-0.27812647819519043,-0.0317663848400116,-0.032772526144981384,arithmetic_addition,qwen,1801
28,-0.058739811182022095,-0.007682614028453827,-0.2634654939174652,-0.03286004438996315,-0.03306204825639725,arithmetic_addition,qwen,1801
29,-0.0651489645242691,-0.013850189745426178,-0.2653718590736389,-0.02974621392786503,-0.03493732586503029,arithmetic_addition,qwen,1801
30,-0.02666918933391571,-0.014022007584571838,-0.25433558225631714,-0.029558928683400154,-0.030214661732316017,arithmetic_addition,qwen,1801
31,-0.02903328835964203,-0.02426190674304962,-0.24077564477920532,-0.03158937394618988,-0.027492675930261612,arithmetic_addition,qwen,1801
32,-0.04841300845146179,-0.018004707992076874,-0.2574270963668823,-0.02885333076119423,-0.024089183658361435,arithmetic_addition,qwen,1801
33,-0.042085468769073486,-0.018354475498199463,-0.2632645070552826,-0.03248622268438339,-0.024329565465450287,arithmetic_addition,qwen,1801
34,-0.05607067048549652,-0.018342778086662292,-0.26414304971694946,-0.029160935431718826,-0.028077382594347,arithmetic_addition,qwen,1801
35,-0.052372127771377563,-0.018048740923404694,-0.26934754848480225,-0.026957502588629723,-0.03126680478453636,arithmetic_addition,qwen,1801
36,-0.027824565768241882,-0.0017838254570960999,-0.25191113352775574,-0.026931744068861008,-0.03097519837319851,arithmetic_addition,qwen,1801
37,-0.025327742099761963,0.003894701600074768,-0.23423075675964355,-0.03239552304148674,-0.024590887129306793,arithmetic_addition,qwen,1801
38,-0.052955299615859985,-0.014843575656414032,-0.2512352168560028,-0.030795376747846603,-0.0253986194729805,arithmetic_addition,qwen,1801
39,-0.043197304010391235,0.006289839744567871,-0.2570200562477112,-0.03098679892718792,-0.02914794720709324,arithmetic_addition,qwen,1801
40,-0.06341175734996796,-0.009293198585510254,-0.26288384199142456,-0.03369511291384697,-0.03034677729010582,arithmetic_addition,qwen,1801
41,-0.05934266746044159,-0.015049740672111511,-0.26281869411468506,-0.028014805167913437,-0.03220738470554352,arithmetic_addition,qwen,1801
42,-0.018340036273002625,-0.00505722314119339,-0.24412773549556732,-0.027392514050006866,-0.033960916101932526,arithmetic_addition,qwen,1801
43,-0.02022145688533783,0.00019147992134094238,-0.23330430686473846,-0.03069733828306198,-0.026123538613319397,arithmetic_addition,qwen,1801
44,-0.04134848713874817,-0.01620958000421524,-0.2500728964805603,-0.031368955969810486,-0.026520024985074997,arithmetic_addition,qwen,1801
45,-0.041689783334732056,-0.005628220736980438,-0.25794821977615356,-0.030385753139853477,-0.02955661527812481,arithmetic_addition,qwen,1801
46,-0.04953068494796753,-0.015949465334415436,-0.25671878457069397,-0.03158513084053993,-0.030726823955774307,arithmetic_addition,qwen,1801
47,-0.0509541779756546,-0.0014545023441314697,-0.26125168800354004,-0.027127262204885483,-0.03359529376029968,arithmetic_addition,qwen,1801
48,-0.022038936614990234,-0.011856429278850555,-0.24871672689914703,-0.03128376603126526,-0.030553782358765602,arithmetic_addition,qwen,1801
49,-0.024862661957740784,-0.012561514973640442,-0.24247057735919952,-0.034355178475379944,-0.026197783648967743,arithmetic_addition,qwen,1801
50,-0.044066354632377625,-0.015213489532470703,-0.2562887668609619,-0.03315257653594017,-0.023086771368980408,arithmetic_addition,qwen,1801
51,-0.03503972291946411,-0.013857774436473846,-0.25655317306518555,-0.034565623849630356,-0.026290273293852806,arithmetic_addition,qwen,1801
52,-0.04703281819820404,-0.016398459672927856,-0.2540341913700104,-0.035836972296237946,-0.027924688532948494,arithmetic_addition,qwen,1801
53,-0.053308382630348206,-0.015042319893836975,-0.2631528377532959,-0.03228684887290001,-0.03120747022330761,arithmetic_addition,qwen,1801
54,-0.02314533293247223,-0.012566007673740387,-0.24782471358776093,-0.03277910500764847,-0.029086805880069733,arithmetic_addition,qwen,1801
55,-0.027674689888954163,-0.01093071699142456,-0.23362916707992554,-0.03012014552950859,-0.027339516207575798,arithmetic_addition,qwen,1801
56,-0.03893980383872986,-0.0035095661878585815,-0.24904008209705353,-0.03261052817106247,-0.025737030431628227,arithmetic_addition,qwen,1801
57,-0.03456832468509674,-0.01943722367286682,-0.244652658700943,-0.03394754230976105,-0.02979590930044651,arithmetic_addition,qwen,1801
58,-0.034620508551597595,-0.006453081965446472,-0.2494455724954605,-0.029908437281847,-0.030848756432533264,arithmetic_addition,qwen,1801
59,-0.03742776811122894,-0.010729126632213593,-0.25118958950042725,-0.0299672894179821,-0.030642248690128326,arithmetic_addition,qwen,1801
60,-0.022945448756217957,-0.003602266311645508,-0.24530161917209625,-0.029106901958584785,-0.031132139265537262,arithmetic_addition,qwen,1801
61,-0.026585504412651062,-0.005362220108509064,-0.2353440225124359,-0.03155547007918358,-0.025960588827729225,arithmetic_addition,qwen,1801
62,-0.04931400716304779,-0.015501588582992554,-0.2604109048843384,-0.029728488996624947,-0.023743921890854836,arithmetic_addition,qwen,1801
63,-0.047751933336257935,-0.009703226387500763,-0.2576833963394165,-0.030077943578362465,-0.02791440300643444,arithmetic_addition,qwen,1801
64,-0.0532827228307724,-0.020249545574188232,-0.2614133358001709,-0.03210686147212982,-0.026328682899475098,arithmetic_addition,qwen,1801
65,-0.05346323549747467,-0.007235348224639893,-0.2645457983016968,-0.026524020358920097,-0.03131327033042908,arithmetic_addition,qwen,1801
66,-0.02382434904575348,-0.013124674558639526,-0.2557767331600189,-0.030968721956014633,-0.028905363753437996,arithmetic_addition,qwen,1801
67,-0.027439147233963013,-0.006751939654350281,-0.24336615204811096,-0.03297186270356178,-0.025760255753993988,arithmetic_addition,qwen,1801
68,-0.04550996422767639,-0.009820438921451569,-0.25195908546447754,-0.034724753350019455,-0.025863202288746834,arithmetic_addition,qwen,1801
69,-0.04486791789531708,-0.010762982070446014,-0.2699730396270752,-0.03496865928173065,-0.02795197069644928,arithmetic_addition,qwen,1801
70,-0.04779095947742462,-0.016426637768745422,-0.2597758173942566,-0.033024780452251434,-0.030627761036157608,arithmetic_addition,qwen,1801
71,-0.058303266763687134,-0.015949398279190063,-0.2651973068714142,-0.030008845031261444,-0.0324232317507267,arithmetic_addition,qwen,1801
72,-0.025811120867729187,-0.005959905683994293,-0.2493373155593872,-0.03141253814101219,-0.03143836930394173,arithmetic_addition,qwen,1801
73,-0.02896171808242798,-0.006252467632293701,-0.2367134690284729,-0.03397317975759506,-0.027961621060967445,arithmetic_addition,qwen,1801
74,-0.04144063591957092,-0.01006946712732315,-0.2526014745235443,-0.030184533447027206,-0.024926451966166496,arithmetic_addition,qwen,1801
75,-0.050272658467292786,-0.006633736193180084,-0.26428866386413574,-0.03161754831671715,-0.027504049241542816,arithmetic_addition,qwen,1801
76,-0.053492531180381775,-0.023465849459171295,-0.261083722114563,-0.029587268829345703,-0.027204547077417374,arithmetic_addition,qwen,1801
77,-0.060195937752723694,-0.015655234456062317,-0.26880526542663574,-0.026345448568463326,-0.03286300227046013,arithmetic_addition,qwen,1801
78,-0.030001550912857056,-0.00521540641784668,-0.2536424398422241,-0.0318019762635231,-0.029064109548926353,arithmetic_addition,qwen,1801
79,-0.03213949501514435,-0.013619929552078247,-0.23721595108509064,-0.03265199437737465,-0.025919651612639427,arithmetic_addition,qwen,1801
80,-0.04314123094081879,-0.011164069175720215,-0.2529619634151459,-0.03208302706480026,-0.022764379158616066,arithmetic_addition,qwen,1801
81,-0.05132412910461426,-0.01783546805381775,-0.2624388337135315,-0.03420587629079819,-0.02497580461204052,arithmetic_addition,qwen,1801
82,-0.0569220632314682,-0.01782820373773575,-0.2630639672279358,-0.030954189598560333,-0.025581205263733864,arithmetic_addition,qwen,1801
83,-0.06287868320941925,-0.0065216198563575745,-0.2733282446861267,-0.027590926736593246,-0.030919183045625687,arithmetic_addition,qwen,1801
84,-0.025437042117118835,0.0003736913204193115,-0.24555829167366028,-0.031627021729946136,-0.03127460181713104,arithmetic_addition,qwen,1801
85,-0.0265846848487854,-0.0018560141324996948,-0.2327435314655304,-0.034228865057229996,-0.027201134711503983,arithmetic_addition,qwen,1801
86,-0.03668144345283508,-0.007002256810665131,-0.23995055258274078,-0.03255022317171097,-0.02276199497282505,arithmetic_addition,qwen,1801
87,-0.038389742374420166,0.004211530089378357,-0.25469255447387695,-0.03528624400496483,-0.02838129550218582,arithmetic_addition,qwen,1801
88,-0.04920312762260437,-0.013314232230186462,-0.25400310754776,-0.034129709005355835,-0.02696000039577484,arithmetic_addition,qwen,1801
89,-0.050999924540519714,-0.004089348018169403,-0.26038843393325806,-0.029560348019003868,-0.03310983628034592,arithmetic_addition,qwen,1801
90,-0.020588651299476624,-0.0016781240701675415,-0.24161678552627563,-0.028919817879796028,-0.03152594715356827,arithmetic_addition,qwen,1801
91,-0.023052573204040527,-0.00258076936006546,-0.22746822237968445,-0.03218812495470047,-0.027235649526119232,arithmetic_addition,qwen,1801
92,-0.04112783074378967,-0.01045215129852295,-0.2453446388244629,-0.03224010393023491,-0.026667295023798943,arithmetic_addition,qwen,1801
93,-0.046422913670539856,-0.01585034281015396,-0.25163254141807556,-0.03143811970949173,-0.02988874353468418,arithmetic_addition,qwen,1801
94,-0.04781274497509003,-0.015827693045139313,-0.2533804774284363,-0.03200366348028183,-0.029144762083888054,arithmetic_addition,qwen,1801
95,-0.04948577284812927,0.0026710331439971924,-0.2545463442802429,-0.027370048686861992,-0.03424440696835518,arithmetic_addition,qwen,1801
0,-0.22211527824401855,-0.08097859472036362,-0.2508559226989746,-0.03139473870396614,-0.02287992462515831,arc_challenge,qwen,1801
1,-0.19304092228412628,-0.04171453416347504,-0.21792033314704895,-0.03826923295855522,-0.027419276535511017,arc_challenge,qwen,1801
2,-0.2012270987033844,-0.0670509785413742,-0.22106245160102844,-0.03052416443824768,-0.0271696075797081,arc_challenge,qwen,1801
3,-0.21904975175857544,-0.07553049176931381,-0.2363012433052063,-0.03504891321063042,-0.029210176318883896,arc_challenge,qwen,1801
4,-0.22529077529907227,-0.06186696141958237,-0.24264390766620636,-0.021962881088256836,-0.032104674726724625,arc_challenge,qwen,1801
5,-0.1886976808309555,-0.04742653667926788,-0.21155071258544922,-0.03030008263885975,-0.02965659648180008,arc_challenge,qwen,1801
6,-0.2296309471130371,-0.06463031470775604,-0.2617550492286682,-0.03674071282148361,-0.023907596245408058,arc_challenge,qwen,1801
7,-0.2554178833961487,-0.07592740654945374,-0.2729651927947998,-0.030841205269098282,-0.02694849669933319,arc_challenge,qwen,1801
8,-0.21673980355262756,-0.061871640384197235,-0.2459467053413391,-0.03857211023569107,-0.03601287305355072,arc_challenge,qwen,1801
9,-0.1979072391986847,-0.06918486952781677,-0.23147790133953094,-0.0276523157954216,-0.03491983562707901,arc_challenge,qwen,1801
10,-0.17657671868801117,-0.03864017128944397,-0.20483523607254028,-0.02520841546356678,-0.02787497267127037,arc_challenge,qwen,1801
11,-0.2230496108531952,-0.0899733304977417,-0.2380368411540985,-0.03919978439807892,-0.02364363707602024,arc_challenge,qwen,1801
12,-0.1896243840456009,-0.04480937123298645,-0.21732893586158752,-0.02622377686202526,-0.031785041093826294,arc_challenge,qwen,1801
13,-0.19298595190048218,-0.038762595504522324,-0.21502795815467834,-0.029500968754291534,-0.025257792323827744,arc_challenge,qwen,1801
14,-0.23012246191501617,-0.03399326652288437,-0.26170867681503296,-0.029659470543265343,-0.026519207283854485,arc_challenge,qwen,1801
15,-0.21081340312957764,-0.09052663296461105,-0.24285957217216492,-0.03458850830793381,-0.02874472364783287,arc_challenge,qwen,1801
