prompt_id,mechanism,best_action_label,best_alpha,best_beta,best_final_margin,best_margin_shift,best_crossed,best_utility
g007_clean,stable,a0.0_b0.0,0.0,0.0,0.015625,0.0,False,-0.0
g007_redundant,stable,a0.0_b0.0,0.0,0.0,0.390625,0.0,False,-0.0
g007_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.28125,0.0,False,-0.0
g007_paraphrase,stable,a0.0_b0.0,0.0,0.0,-0.046875,0.0,False,-0.0
g007_weak_distractor,competition,a0.0_b0.0,0.0,0.0,-0.1875,0.0,False,-0.0
g007_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-0.390625,0.0,False,-0.0
g007_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.046875,0.0,False,-0.0
g007_closure_update,closure,a1.0_b0.9,1.0,0.9,-0.484375,0.984375,False,0.930075
g007_closure_override,closure,a1.0_b1.2,1.0,1.2,0.265625,0.828125,True,5.754925
g007_exception_override,closure,a1.0_b1.2,1.0,1.2,0.15625,1.015625,True,5.942425
g008_clean,stable,a0.0_b0.0,0.0,0.0,1.34375,0.0,False,-0.0
g008_redundant,stable,a0.0_b0.0,0.0,0.0,1.34375,0.0,False,-0.0
g008_irrelevant,stable,a0.0_b0.0,0.0,0.0,1.453125,0.0,False,-0.0
g008_paraphrase,stable,a0.0_b0.0,0.0,0.0,2.484375,0.0,False,-0.0
g008_weak_distractor,competition,a0.0_b0.0,0.0,0.0,1.21875,0.0,False,-0.0
g008_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.890625,0.0,False,-0.0
g008_direct_conflict,competition,a0.0_b0.0,0.0,0.0,1.140625,0.0,False,-0.0
g008_closure_update,closure,a1.0_b1.2,1.0,1.2,0.796875,0.953125,True,5.879925
g008_closure_override,closure,a1.0_b1.2,1.0,1.2,1.328125,0.625,False,0.5518
g008_exception_override,closure,a0.9_b0.9,0.9,0.9,0.953125,0.640625,False,0.592025
g013_clean,stable,a0.0_b0.0,0.0,0.0,0.25,0.0,False,-0.0
g013_redundant,stable,a0.0_b0.0,0.0,0.0,0.421875,0.0,False,-0.0
g013_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.5625,0.0,False,-0.0
g013_paraphrase,stable,a0.0_b0.0,0.0,0.0,-0.140625,0.0,False,-0.0
g013_weak_distractor,competition,a0.0_b0.0,0.0,0.0,-0.078125,0.0,False,-0.0
g013_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-0.46875,0.0,False,-0.0
g013_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.15625,0.0,False,-0.0
g013_closure_update,closure,a1.0_b0.9,1.0,0.9,-0.265625,0.9375,False,0.8832
g013_closure_override,closure,a1.0_b1.2,1.0,1.2,0.53125,1.078125,True,6.004925
g013_exception_override,closure,a1.0_b1.2,1.0,1.2,0.34375,1.1875,True,6.1143
g014_clean,stable,a0.0_b0.0,0.0,0.0,1.421875,0.0,False,-0.0
g014_redundant,stable,a0.0_b0.0,0.0,0.0,1.1875,0.0,False,-0.0
g014_irrelevant,stable,a0.0_b0.0,0.0,0.0,1.4375,0.0,False,-0.0
g014_paraphrase,stable,a0.0_b0.0,0.0,0.0,1.96875,0.0,False,-0.0
g014_weak_distractor,competition,a0.0_b0.0,0.0,0.0,1.203125,0.0,False,-0.0
g014_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.796875,0.0,False,-0.0
g014_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.9375,0.0,False,-0.0
g014_closure_update,closure,a1.0_b1.2,1.0,1.2,1.109375,0.984375,False,0.911175
g014_closure_override,closure,a0.9_b0.9,0.9,0.9,1.171875,0.5,False,0.4514
g014_exception_override,closure,a0.9_b0.9,0.9,0.9,0.90625,0.5,False,0.4514
g016_clean,stable,a0.0_b0.0,0.0,0.0,1.28125,0.015625,False,-0.015625
g016_redundant,stable,a0.0_b0.0,0.0,0.0,1.234375,0.015625,False,-0.015625
g016_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.59375,0.0,False,-0.0
g016_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.96875,-0.015625,False,-0.015625
g016_weak_distractor,competition,a0.0_b0.0,0.0,0.0,1.484375,0.0,False,-0.0
g016_competition_balanced,competition,a0.0_b0.0,0.0,0.0,1.265625,0.0,False,-0.0
g016_direct_conflict,competition,a0.0_b0.0,0.0,0.0,1.25,0.0,False,-0.0
g016_closure_update,closure,a1.0_b0.9,1.0,0.9,0.921875,0.65625,False,0.60195
g016_closure_override,closure,a1.0_b1.2,1.0,1.2,0.71875,0.4375,False,0.3643
g016_exception_override,closure,a1.0_b0.6,1.0,0.6,0.609375,0.28125,False,0.24045
g017_clean,stable,a0.0_b0.0,0.0,0.0,1.125,0.0,False,-0.0
g017_redundant,stable,a0.0_b0.0,0.0,0.0,1.234375,0.0,False,-0.0
g017_irrelevant,stable,a0.0_b0.0,0.0,0.0,1.578125,0.0,False,-0.0
g017_paraphrase,stable,a0.0_b0.0,0.0,0.0,1.734375,0.0,False,-0.0
g017_weak_distractor,competition,a0.0_b0.0,0.0,0.0,1.296875,0.0,False,-0.0
g017_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.734375,0.0,False,-0.0
g017_direct_conflict,competition,a0.0_b0.0,0.0,0.0,1.546875,0.0,False,-0.0
g017_closure_update,closure,a1.0_b1.2,1.0,1.2,1.796875,0.453125,False,0.379925
g017_closure_override,closure,a1.0_b1.2,1.0,1.2,2.71875,1.140625,False,1.067425
g017_exception_override,closure,a1.0_b1.2,1.0,1.2,2.5,0.71875,False,0.64555
g019_clean,stable,a0.0_b0.0,0.0,0.0,0.390625,0.0,False,-0.0
g019_redundant,stable,a0.0_b0.0,0.0,0.0,0.5625,0.0,False,-0.0
g019_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.84375,0.0,False,-0.0
g019_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.421875,0.0,False,-0.0
g019_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.5,0.0,False,-0.0
g019_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-0.140625,0.0,False,-0.0
g019_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.140625,0.0,False,-0.0
g019_closure_update,closure,a1.0_b1.2,1.0,1.2,0.3125,1.375,True,6.3018
g019_closure_override,closure,a1.0_b1.2,1.0,1.2,1.40625,1.0625,False,0.9893
g019_exception_override,closure,a1.0_b1.2,1.0,1.2,1.390625,1.890625,True,6.817425
g020_clean,stable,a0.0_b0.0,0.0,0.0,0.9375,0.0,False,-0.0
g020_redundant,stable,a0.0_b0.0,0.0,0.0,0.890625,0.0,False,-0.0
g020_irrelevant,stable,a0.0_b0.0,0.0,0.0,1.171875,0.0,False,-0.0
g020_paraphrase,stable,a0.0_b0.0,0.0,0.0,2.015625,0.0,False,-0.0
g020_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.96875,0.0,False,-0.0
g020_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.59375,0.0,False,-0.0
g020_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.84375,0.0,False,-0.0
g020_closure_update,closure,a1.0_b0.9,1.0,0.9,0.96875,0.859375,False,0.805075
g020_closure_override,closure,a0.9_b0.9,0.9,0.9,1.328125,0.40625,False,0.35765
g020_exception_override,closure,a0.9_b0.9,0.9,0.9,0.890625,0.59375,False,0.54515
g021_clean,stable,a0.0_b0.0,0.0,0.0,-0.515625,0.0,False,-0.0
g021_redundant,stable,a0.0_b0.0,0.0,0.0,0.015625,0.0,False,-0.0
g021_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.140625,0.0,False,-0.0
g021_paraphrase,stable,a0.0_b0.0,0.0,0.0,1.375,0.0,False,-0.0
g021_weak_distractor,competition,a0.0_b0.0,0.0,0.0,-0.125,0.0,False,-0.0
g021_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-0.140625,0.0,False,-0.0
g021_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.03125,0.0,False,-0.0
g021_closure_update,closure,a1.0_b1.2,1.0,1.2,-0.5,0.390625,False,0.317425
g021_closure_override,closure,a0.0_b0.0,0.0,0.0,-0.296875,0.0,False,0.0
g021_exception_override,closure,a0.6_b0.6,0.6,0.6,-0.5625,0.28125,False,0.25965
g023_clean,stable,a0.0_b0.0,0.0,0.0,-0.59375,0.0,False,-0.0
g023_redundant,stable,a0.0_b0.0,0.0,0.0,-0.421875,0.0,False,-0.0
g023_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.375,0.0,False,-0.0
g023_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.609375,0.0,False,-0.0
g023_weak_distractor,competition,a0.0_b0.0,0.0,0.0,-0.0625,0.0,False,-0.0
g023_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-0.453125,0.0,False,-0.0
g023_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.109375,0.0,False,-0.0
g023_closure_update,closure,a1.0_b1.2,1.0,1.2,-0.078125,0.34375,False,0.27055
g023_closure_override,closure,a1.0_b0.9,1.0,0.9,0.828125,0.9375,True,5.8832
g023_exception_override,closure,a1.0_b1.2,1.0,1.2,0.875,1.046875,True,5.973675
g024_clean,stable,a0.0_b0.0,0.0,0.0,0.203125,0.0,False,-0.0
g024_redundant,stable,a0.0_b0.0,0.0,0.0,0.140625,0.0,False,-0.0
g024_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.171875,0.0,False,-0.0
g024_paraphrase,stable,a0.0_b0.0,0.0,0.0,-0.15625,0.015625,False,-0.015625
g024_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.359375,0.0,False,-0.0
g024_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-0.03125,0.0,False,-0.0
g024_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.34375,0.0,False,-0.0
g024_closure_update,closure,a1.0_b0.6,1.0,0.6,-0.53125,0.53125,False,0.49045
g024_closure_override,closure,a1.0_b1.2,1.0,1.2,-0.203125,0.4375,False,0.3643
g024_exception_override,closure,a1.0_b1.2,1.0,1.2,-0.078125,1.046875,False,0.973675
g025_clean,stable,a0.0_b0.0,0.0,0.0,0.609375,0.0,False,-0.0
g025_redundant,stable,a0.0_b0.0,0.0,0.0,0.84375,0.0,False,-0.0
g025_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.53125,0.0,False,-0.0
g025_paraphrase,stable,a0.0_b0.0,0.0,0.0,-0.328125,0.0,False,-0.0
g025_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.609375,0.0,False,-0.0
g025_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-0.265625,0.0,False,-0.0
g025_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.09375,0.0,False,-0.0
g025_closure_update,closure,a1.0_b1.2,1.0,1.2,0.609375,1.03125,True,5.95805
g025_closure_override,closure,a1.0_b1.2,1.0,1.2,1.0,1.296875,True,6.223675
g025_exception_override,closure,a1.0_b1.2,1.0,1.2,1.03125,1.96875,True,6.89555
g027_clean,stable,a0.0_b0.0,0.0,0.0,0.109375,0.0,False,-0.0
g027_redundant,stable,a0.0_b0.0,0.0,0.0,0.109375,0.0,False,-0.0
g027_irrelevant,stable,a0.0_b0.0,0.0,0.0,-0.125,0.0,False,-0.0
g027_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.953125,0.0,False,-0.0
g027_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.328125,0.0,False,-0.0
g027_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-0.5,0.0,False,-0.0
g027_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.203125,0.0,False,-0.0
g027_closure_update,closure,a0.9_b0.9,0.9,0.9,-0.171875,0.34375,False,0.29515
g027_closure_override,closure,a0.0_b0.0,0.0,0.0,-0.21875,0.0,False,0.0
g027_exception_override,closure,a0.6_b0.6,0.6,0.6,-0.703125,0.21875,False,0.19715
g028_clean,stable,a0.0_b0.0,0.0,0.0,1.3125,0.0,False,-0.0
g028_redundant,stable,a0.0_b0.0,0.0,0.0,1.703125,0.0,False,-0.0
g028_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.03125,0.0,False,-0.0
g028_paraphrase,stable,a0.0_b0.0,0.0,0.0,1.484375,0.0,False,-0.0
g028_weak_distractor,competition,a0.0_b0.0,0.0,0.0,1.765625,0.0,False,-0.0
g028_competition_balanced,competition,a0.0_b0.0,0.0,0.0,1.4375,0.0,False,-0.0
g028_direct_conflict,competition,a0.0_b0.0,0.0,0.0,1.796875,0.0,False,-0.0
g028_closure_update,closure,a1.0_b1.2,1.0,1.2,1.40625,0.34375,False,0.27055
g028_closure_override,closure,a1.0_b0.9,1.0,0.9,1.046875,0.328125,False,0.273825
g028_exception_override,closure,a1.0_b1.2,1.0,1.2,0.953125,0.515625,False,0.442425
g029_clean,stable,a0.0_b0.0,0.0,0.0,0.6875,0.0,False,-0.0
g029_redundant,stable,a0.0_b0.0,0.0,0.0,1.234375,0.0,False,-0.0
g029_irrelevant,stable,a0.0_b0.0,0.0,0.0,1.09375,0.0,False,-0.0
g029_paraphrase,stable,a0.0_b0.0,0.0,0.0,1.875,0.0,False,-0.0
g029_weak_distractor,competition,a0.0_b0.0,0.0,0.0,1.203125,0.0,False,-0.0
g029_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.859375,0.0,False,-0.0
g029_direct_conflict,competition,a0.0_b0.0,0.0,0.0,1.234375,0.0,False,-0.0
g029_closure_update,closure,a0.9_b0.9,0.9,0.9,1.375,0.265625,False,0.217025
g029_closure_override,closure,a1.0_b1.2,1.0,1.2,2.0,0.515625,False,0.442425
g029_exception_override,closure,a1.0_b1.2,1.0,1.2,1.953125,0.78125,False,0.70805
g032_clean,stable,a0.0_b0.0,0.0,0.0,0.859375,0.0,False,-0.0
g032_redundant,stable,a0.0_b0.0,0.0,0.0,0.859375,0.0,False,-0.0
g032_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.984375,0.0,False,-0.0
g032_paraphrase,stable,a0.0_b0.0,0.0,0.0,2.265625,0.0,False,-0.0
g032_weak_distractor,competition,a0.0_b0.0,0.0,0.0,1.1875,0.0,False,-0.0
g032_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.359375,0.0,False,-0.0
g032_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.71875,0.0,False,-0.0
g032_closure_update,closure,a1.0_b1.2,1.0,1.2,0.9375,1.03125,True,5.95805
g032_closure_override,closure,a1.0_b1.2,1.0,1.2,1.203125,0.109375,False,0.036175
g032_exception_override,closure,a0.9_b0.9,0.9,0.9,0.765625,0.5,False,0.4514
g034_clean,stable,a0.0_b0.0,0.0,0.0,1.359375,0.0,False,-0.0
g034_redundant,stable,a0.0_b0.0,0.0,0.0,1.09375,0.0,False,-0.0
g034_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.515625,0.0,False,-0.0
g034_paraphrase,stable,a0.0_b0.0,0.0,0.0,1.578125,0.0,False,-0.0
g034_weak_distractor,competition,a0.0_b0.0,0.0,0.0,1.765625,0.0,False,-0.0
g034_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.75,0.0,False,-0.0
g034_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.953125,0.0,False,-0.0
g034_closure_update,closure,a1.0_b1.2,1.0,1.2,1.296875,0.921875,False,0.848675
g034_closure_override,closure,a1.0_b1.2,1.0,1.2,1.640625,0.78125,False,0.70805
g034_exception_override,closure,a1.0_b1.2,1.0,1.2,1.359375,0.921875,False,0.848675
g035_clean,stable,a0.0_b0.0,0.0,0.0,-0.21875,0.0,False,-0.0
g035_redundant,stable,a0.0_b0.0,0.0,0.0,0.3125,0.0,False,-0.0
g035_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.265625,0.0,False,-0.0
g035_paraphrase,stable,a0.0_b0.0,0.0,0.0,1.328125,0.015625,False,-0.015625
g035_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.671875,0.0,False,-0.0
g035_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.078125,0.0,False,-0.0
g035_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.578125,0.0,False,-0.0
g035_closure_update,closure,a1.0_b0.9,1.0,0.9,0.71875,0.28125,False,0.22694999999999999
g035_closure_override,closure,a1.0_b1.2,1.0,1.2,1.171875,0.53125,False,0.45805
g035_exception_override,closure,a1.0_b1.2,1.0,1.2,1.359375,0.796875,False,0.723675
g036_clean,stable,a0.0_b0.0,0.0,0.0,-0.25,0.0,False,-0.0
g036_redundant,stable,a0.0_b0.0,0.0,0.0,-0.1875,0.0,False,-0.0
g036_irrelevant,stable,a0.0_b0.0,0.0,0.0,-0.109375,-0.015625,False,-0.015625
g036_paraphrase,stable,a0.0_b0.0,0.0,0.0,-0.109375,0.0,False,-0.0
g036_weak_distractor,competition,a0.0_b0.0,0.0,0.0,-0.015625,0.0,False,-0.0
g036_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-0.453125,0.0,False,-0.0
g036_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.328125,-0.015625,False,-0.015625
g036_closure_update,closure,a0.9_b0.9,0.9,0.9,-0.578125,0.859375,False,0.810775
g036_closure_override,closure,a1.0_b1.2,1.0,1.2,-0.4375,0.484375,False,0.411175
g036_exception_override,closure,a1.0_b0.9,1.0,0.9,-0.484375,1.578125,False,1.523825
g037_clean,stable,a0.0_b0.0,0.0,0.0,-0.953125,0.0,False,-0.0
g037_redundant,stable,a0.0_b0.0,0.0,0.0,-0.640625,0.0,False,-0.0
g037_irrelevant,stable,a0.0_b0.0,0.0,0.0,-0.28125,0.015625,False,-0.015625
g037_paraphrase,stable,a0.0_b0.0,0.0,0.0,-0.5,0.015625,False,-0.015625
g037_weak_distractor,competition,a0.0_b0.0,0.0,0.0,-0.890625,0.0,False,-0.0
g037_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-1.34375,0.0,False,-0.0
g037_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.859375,0.0,False,-0.0
g037_closure_update,closure,a1.0_b1.2,1.0,1.2,-0.609375,0.859375,False,0.786175
g037_closure_override,closure,a1.0_b1.2,1.0,1.2,0.046875,0.640625,True,5.567425
g037_exception_override,closure,a1.0_b1.2,1.0,1.2,-0.125,1.75,False,1.6768
g038_clean,stable,a0.0_b0.0,0.0,0.0,0.984375,0.0,False,-0.0
g038_redundant,stable,a0.0_b0.0,0.0,0.0,0.75,0.0,False,-0.0
g038_irrelevant,stable,a0.0_b0.0,0.0,0.0,1.28125,0.0,False,-0.0
g038_paraphrase,stable,a0.0_b0.0,0.0,0.0,2.0,0.0,False,-0.0
g038_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.921875,0.0,False,-0.0
g038_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.3125,0.0,False,-0.0
g038_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.859375,0.0,False,-0.0
g038_closure_update,closure,a1.0_b1.2,1.0,1.2,1.203125,0.921875,False,0.848675
g038_closure_override,closure,a0.9_b0.9,0.9,0.9,1.5,0.140625,False,0.092025
g038_exception_override,closure,a0.9_b0.9,0.9,0.9,1.265625,0.6875,False,0.6389
g041_clean,stable,a0.0_b0.0,0.0,0.0,-0.328125,0.0,False,-0.0
g041_redundant,stable,a0.0_b0.0,0.0,0.0,-0.234375,0.0,False,-0.0
g041_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.265625,-0.015625,False,-0.015625
g041_paraphrase,stable,a0.0_b0.0,0.0,0.0,1.734375,0.0,False,-0.0
g041_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.15625,0.0,False,-0.0
g041_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-0.578125,0.0,False,-0.0
g041_direct_conflict,competition,a0.0_b0.0,0.0,0.0,-0.03125,0.015625,False,-0.015625
g041_closure_update,closure,a1.0_b1.2,1.0,1.2,0.734375,0.65625,False,0.58305
g041_closure_override,closure,a1.0_b1.2,1.0,1.2,1.375,0.75,False,0.6768
g041_exception_override,closure,a1.0_b0.9,1.0,0.9,1.515625,1.203125,False,1.148825
g043_clean,stable,a0.0_b0.0,0.0,0.0,0.453125,0.015625,False,-0.015625
g043_redundant,stable,a0.0_b0.0,0.0,0.0,0.71875,0.0,False,-0.0
g043_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.75,0.0,False,-0.0
g043_paraphrase,stable,a0.0_b0.0,0.0,0.0,0.234375,0.0,False,-0.0
g043_weak_distractor,competition,a0.0_b0.0,0.0,0.0,0.78125,0.0,False,-0.0
g043_competition_balanced,competition,a0.0_b0.0,0.0,0.0,-0.265625,0.0,False,-0.0
g043_direct_conflict,competition,a0.0_b0.0,0.0,0.0,0.234375,0.0,False,-0.0
g043_closure_update,closure,a1.0_b1.2,1.0,1.2,0.390625,0.984375,True,5.911175
g043_closure_override,closure,a1.0_b1.2,1.0,1.2,0.90625,1.3125,True,6.2393
g043_exception_override,closure,a1.0_b1.2,1.0,1.2,0.875,2.03125,True,6.95805
g044_clean,stable,a0.0_b0.0,0.0,0.0,1.296875,0.0,False,-0.0
g044_redundant,stable,a0.0_b0.0,0.0,0.0,1.5,0.0,False,-0.0
g044_irrelevant,stable,a0.0_b0.0,0.0,0.0,1.46875,0.0,False,-0.0
g044_paraphrase,stable,a0.0_b0.0,0.0,0.0,2.8125,0.0,False,-0.0
g044_weak_distractor,competition,a0.0_b0.0,0.0,0.0,1.546875,0.0,False,-0.0
g044_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.46875,0.0,False,-0.0
g044_direct_conflict,competition,a0.0_b0.0,0.0,0.0,1.03125,0.0,False,-0.0
g044_closure_update,closure,a1.0_b1.2,1.0,1.2,1.25,1.125,False,1.0518
g044_closure_override,closure,a1.0_b1.2,1.0,1.2,1.15625,0.4375,False,0.3643
g044_exception_override,closure,a0.9_b0.9,0.9,0.9,1.171875,0.65625,False,0.60765
g046_clean,stable,a0.0_b0.0,0.0,0.0,1.734375,-0.015625,False,-0.015625
g046_redundant,stable,a0.0_b0.0,0.0,0.0,1.78125,0.0,False,-0.0
g046_irrelevant,stable,a0.0_b0.0,0.0,0.0,0.125,0.0,False,-0.0
g046_paraphrase,stable,a0.0_b0.0,0.0,0.0,1.890625,0.0,False,-0.0
g046_weak_distractor,competition,a0.0_b0.0,0.0,0.0,1.90625,0.0,False,-0.0
g046_competition_balanced,competition,a0.0_b0.0,0.0,0.0,0.9375,0.0,False,-0.0
g046_direct_conflict,competition,a0.0_b0.0,0.0,0.0,1.625,0.0,False,-0.0
g046_closure_update,closure,a1.0_b1.2,1.0,1.2,0.921875,0.390625,False,0.317425
g046_closure_override,closure,a1.0_b1.2,1.0,1.2,0.828125,0.125,False,0.0518
g046_exception_override,closure,a1.0_b1.2,1.0,1.2,0.890625,0.390625,False,0.317425
g047_clean,stable,a0.0_b0.0,0.0,0.0,0.828125,0.0,False,-0.0
